"75030DO003_201718 Value of Agricultural Commodities Produced, Australia–2017-18",,,,,,,
Released at 11:30 am (Canberra time) 30 April 2019,,,,,,,
"Value of Agricultural Commodities Produced–Australia, States and Territories and ASGS regions–2017-18",,,,,,,
,,,,,,,
Region code,Region label,Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors
0,Australia,9019959,Total agriculture,58930656245,,54834644661,
0,Australia,9013959,Total value of crops,29346046157,,26979312218,
0,Australia,1910758,Broadacre crops - Total,16466208561,,15403027336,
0,Australia,1500158,Broadacre crops - Cereal crops - Wheat for grain,5695054664,,5217356272,
0,Australia,1500858,Broadacre crops - Cereal crops - Oats for grain,272050385.1,,244493639.1,
0,Australia,1501758,Broadacre crops - Cereal crops - Barley for grain,2280727125,,2075207841,
0,Australia,1504158,Broadacre crops - Cereal crops - Sorghum for grain,391254714.4,,351691317.2,
0,Australia,1505358,Broadacre crops - Cereal crops - Maize for grain,130500766.2,,119451586.6,
0,Australia,1508558,Broadacre crops - Cereal crops - Rice for grain,245744273.1,,227829107.6,
0,Australia,1508858,Broadacre crops - Cereal crops - Triticale for grain,20418036.12,^,18253771.33,^
0,Australia,1510316,Broadacre crops - Cereal crops - All other cereals for grain or seed,7127269.77,^,6556339.47,^
0,Australia,1803258,Broadacre crops - Non-cereal crops - Cotton lint (irrigated and non-irrigated),2512419428,,2466945422,
0,Australia,1808158,Broadacre crops - Non-cereal crops - Peanuts in shell,19914320.69,^,19557901.78,^
0,Australia,1901916,Broadacre crops - Non-cereal crops - Other pulses,1323420312,,1256375225,
0,Australia,1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,2098816820,,2008871707,
0,Australia,1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,43983529.25,^,42595523.92,^
0,Australia,1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,1319460328,,1253056890,
0,Australia,1510458,Broadacre crops - All other crops n.e.c.,105316588.1,,94784792.02,
0,Australia,3307859,Hay - Total,1171507582,,1171507582,
0,Australia,1005158,Hay - Lucerne cut for hay,186978746.4,,186978746.4,
0,Australia,3308558,Hay - Other pasture cut for hay,309002219.8,,309002219.8,
0,Australia,3308058,Hay - Cereal cut for hay,571326928.8,,571326928.8,
0,Australia,3308158,Hay - Other crops cut for hay,104199687.3,,104199687.3,
0,Australia,1919559,"Nurseries, cut flowers or cultivated turf - Total",1646395388,,1506511879,
0,Australia,1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",1136342581,,1022708323,
0,Australia,1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",303934896.7,,273541407.1,
0,Australia,1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",832407684.3,,749166915.8,
0,Australia,1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",260547214.3,,234492492.9,
0,Australia,1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",91260500.11,,82134450.1,
0,Australia,1919458,"Nurseries, cut flowers or cultivated turf - Cut flowers - Outdoor",169286714.2,,152358042.8,
0,Australia,1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",249505593,,249311062.7,
0,Australia,4309359,Fruit and nuts (excluding grapes) - Total,4568102511,,4066565008,
0,Australia,4201458,Fruit and nuts - Citrus fruit - Mandarins,296451941.4,,254041468.4,
0,Australia,4200758,Fruit and nuts - Citrus fruit - Oranges,475662434.7,,394790671.8,
0,Australia,4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,155242930.6,,137203582.2,
0,Australia,4202258,Fruit and nuts - Pome fruit - Apples,490813911.6,,418281290.4,
0,Australia,4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),91359976.98,,80148801.23,
0,Australia,4203458,Fruit and nuts - Pome fruit - All other pome fruit n.e.c.,127892.44,*,114741.37,*
0,Australia,4203958,Fruit and nuts - Stone fruit - Apricots,14259556.48,,12656490.47,
0,Australia,4204358,Fruit and nuts - Stone fruit - Cherries,174025575,,158686991.4,
0,Australia,4205558,Fruit and nuts - Stone fruit - Nectarines,120446323.9,,103141316.9,
0,Australia,4206258,Fruit and nuts - Stone fruit - Peaches,66204589.49,,57889634.8,
0,Australia,4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,53300625.43,,47179838.91,
0,Australia,4204158,Fruit and nuts - Orchard fruit - Avocados,404650297.1,,349633418.8,
0,Australia,4205358,Fruit and nuts - Orchard fruit - Mangoes,149563892.1,,127306112.2,
0,Australia,4205758,Fruit and nuts - Orchard fruit - Olives,64298183.78,,62724245.66,
0,Australia,4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,56978204.57,^,55280791.29,^
0,Australia,4302258,Fruit and nuts - Other fruit - Strawberries,348526359,,302614008.8,
0,Australia,4304658,Fruit and nuts - Other fruit - Bananas,487559281.4,^,434172320.9,^
0,Australia,4306058,Fruit and nuts - Other fruit - Pineapples,64963783.89,,48849172.04,
0,Australia,4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,297057829.5,,278087460.7,
0,Australia,4208158,Fruit and nuts - Nuts - Almonds,444606317.9,,441003724.3,
0,Australia,4209058,Fruit and nuts - Nuts - Macadamias,246426356.6,,241791147.6,
0,Australia,4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,65576246.97,,60967777.37,
0,Australia,5110058,Fruit and nuts - Grapes - Total,1397283610,,1375459193,
0,Australia,5109958,Fruit and nuts - Grapes - Wine production,942453507.6,,942453507.6,
0,Australia,4800558,Fruit and nuts - Grapes - All other uses,454830102.2,,433005685,
0,Australia,3630059,Vegetables for human consumption - Total,4096548505,,3456241222,
0,Australia,3601358,Vegetables for human consumption - Beans (including french and runner),193613978.7,,169195090.5,
0,Australia,3601758,Vegetables for human consumption - Broccoli,93486179.65,,79100062.51,
0,Australia,3601858,Vegetables for human consumption - Brussels sprouts,32829648.15,*,29746916.36,*
0,Australia,3601958,Vegetables for human consumption - Cabbages,70487413.46,,50898871.59,
