"75030DO004_201617 Value of Agricultural Commodities Produced, Australia–2016-17",,,,,,,
Released at 11:30 am (Canberra time) 21 May 2018,,,,,,,
"Value of Agricultural Commodities Produced–Australia, States and Territories and NRM regions–2016-17",,,,,,,
,,,,,,,
Region code,Region label,Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors
0,Australia,9019959,Total agriculture,60842289228,,56485626745,
0,Australia,9013959,Total value of crops,32845027057,,30170084390,
0,Australia,1910758,Broadacre crops - Total,19886532007,,18453573245,
0,Australia,1500158,Broadacre crops - Cereal crops - Wheat for grain,7365815831,,6653666179,
0,Australia,1500858,Broadacre crops - Cereal crops - Oats for grain,547240908.6,,497057448.6,
0,Australia,1501758,Broadacre crops - Cereal crops - Barley for grain,2657821197,,2355482299,
0,Australia,1504158,Broadacre crops - Cereal crops - Sorghum for grain,236813042.1,,206836783.9,
0,Australia,1505358,Broadacre crops - Cereal crops - Maize for grain,139790631.4,,127455063.5,
0,Australia,1508558,Broadacre crops - Cereal crops - Rice for grain,252436031.1,,230131742.2,
0,Australia,1508858,Broadacre crops - Cereal crops - Triticale for grain,26716155.23,^,23035564.07,^
0,Australia,1510316,Broadacre crops - Cereal crops - All other cereals for grain or seed,19306279.94,^,17310012.11,^
0,Australia,1803258,Broadacre crops - Non-cereal crops - Cotton lint (irrigated and non-irrigated),1681239899,,1652227480,
0,Australia,1808158,Broadacre crops - Non-cereal crops - Peanuts in shell,20696484.02,^,20300157.8,^
0,Australia,1901916,Broadacre crops - Non-cereal crops - Other pulses,2726318878,,2607555220,
0,Australia,1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,2412068909,,2314453018,
0,Australia,1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,48374322.36,,46935175.49,
0,Australia,1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,1624455610,,1588290216,
0,Australia,1510458,Broadacre crops - All other crops n.e.c.,127437829.3,,112836887.2,
0,Australia,3307859,Hay - Total,1773662243,,1773662243,
0,Australia,1005158,Hay - Lucerne cut for hay,238982124.3,,238982124.3,
0,Australia,3308558,Hay - Other pasture cut for hay,538689830.8,,538689830.8,
0,Australia,3308058,Hay - Cereal cut for hay,890601848.3,,890601848.3,
0,Australia,3308158,Hay - Other crops cut for hay,105388439.1,,105388439.1,
0,Australia,1919559,"Nurseries, cut flowers or cultivated turf - Total",1572126335,,1437779500,
0,Australia,1919259,"Nurseries, cut flowers or cultivated turf - Nurseries",1102259588,,992033629.4,
0,Australia,1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",283166975.4,,254850277.8,
0,Australia,1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",819092612.9,,737183351.6,
0,Australia,1919459,"Nurseries, cut flowers or cultivated turf - Cut flowers",239430588,,215487529.2,
0,Australia,1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",103813195.8,,93431876.25,
0,Australia,1919458,"Nurseries, cut flowers or cultivated turf - Cut flowers - Outdoor",135617392.1,,122055652.9,
0,Australia,1908558,"Nurseries, cut flowers or cultivated turf - Cultivated turf",230436158.5,,230258341.5,
0,Australia,4309359,Fruit and nuts (excluding grapes) - Total,4234058263,,3770381462,
0,Australia,4201458,Fruit and nuts - Citrus fruit - Mandarins,223987718.6,^,185917249.4,^
0,Australia,4200758,Fruit and nuts - Citrus fruit - Oranges,431897987.4,,350941490.7,
0,Australia,4201658,Fruit and nuts - Citrus fruit - All other citrus fruit n.e.c.,102908543.2,,89902114.98,
0,Australia,4202258,Fruit and nuts - Pome fruit - Apples,511740063.7,,435579373.3,
0,Australia,4202658,Fruit and nuts - Pome fruit - Pears (including Nashi),120606043.3,,106634281.4,
0,Australia,4203458,Fruit and nuts - Pome fruit - All other pome fruit n.e.c.,1499574.23,^,1351549.43,^
0,Australia,4203958,Fruit and nuts - Stone fruit - Apricots,7000448.36,,6269036.66,
0,Australia,4204358,Fruit and nuts - Stone fruit - Cherries,146909870.3,,133446860,
0,Australia,4205558,Fruit and nuts - Stone fruit - Nectarines,109732997.1,,93066467.85,
0,Australia,4206258,Fruit and nuts - Stone fruit - Peaches,62846573.79,,54863717,
0,Australia,4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,45920458.66,,40327438.36,
0,Australia,4204158,Fruit and nuts - Orchard fruit - Avocados,299254520.5,,255920853.1,
0,Australia,4205358,Fruit and nuts - Orchard fruit - Mangoes,133767221.2,,112394972.1,
0,Australia,4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,33579468.72,^,31132845.78,^
0,Australia,4302258,Fruit and nuts - Other fruit - Strawberries,287535100.4,,250412069.1,
0,Australia,4304658,Fruit and nuts - Other fruit - Bananas,538536891.5,,479309053.4,
0,Australia,4306058,Fruit and nuts - Other fruit - Pineapples,62107755.56,,47311354.45,
0,Australia,4307058,Fruit and nuts - Other fruit - All other fruit n.e.c.,276128841.1,^,268653869.5,
0,Australia,4208158,Fruit and nuts - Nuts - Almonds,515783745.7,,513302967.9,
0,Australia,4209058,Fruit and nuts - Nuts - Macadamias,245481850.5,,240712988,
0,Australia,4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,76832589.46,^,72930909.78,^
0,Australia,5110058,Fruit and nuts - Grapes - Total,1474842116,,1449225135,
0,Australia,5109958,Fruit and nuts - Grapes - Wine production,970637922.2,,970637922.2,
0,Australia,4800558,Fruit and nuts - Grapes - All other uses,504204194.2,^,478587212.4,^
0,Australia,3630059,Vegetables for human consumption - Total,3903806093,,3285462806,
0,Australia,3601358,Vegetables for human consumption - Beans (including french and runner),189681509.1,,166222618.2,
0,Australia,3601758,Vegetables for human consumption - Broccoli,159442709.4,^,135087163.7,^
0,Australia,3601858,Vegetables for human consumption - Brussels sprouts,24482709.41,,22194659.19,
0,Australia,3601958,Vegetables for human consumption - Cabbages,86182617.39,,64329530.32,
0,Australia,3613658,Vegetables for human consumption - Capsicum (excluding chillies),121155272.3,,102182680.8,
0,Australia,3602458,Vegetables for human consumption - Carrots,229953993.3,,164389758.9,
0,Australia,3602758,Vegetables for human consumption - Cauliflowers,71788960.25,^,55384018.2,^
0,Australia,3610658,Vegetables for human consumption - Lettuces - Total,234254639.6,,194430052.4,
0,Australia,3614058,Vegetables for human consumption - Melons,220752556.8,,188841315.6,
0,Australia,3605858,Vegetables for human consumption - Mushrooms,330844693,,283115237.9,
0,Australia,3611558,Vegetables for human consumption - Onions,255943216.2,,226101201.9,
0,Australia,3606658,Vegetables for human consumption - Peas - Green - Processing,8777715.76,,8777715.76,
0,Australia,3606758,Vegetables for human consumption - Peas - Green - Fresh market,14285362.47,^,12506084,^
0,Australia,3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,551581609.1,,510822812.7,
0,Australia,3607158,Vegetables for human consumption - Pumpkins,78241912.04,,53880699.49,
0,Australia,3611758,Vegetables for human consumption - Sweet corn,154094214,,101348550.9,
0,Australia,3608458,Vegetables for human consumption - Tomatoes - Processing,20611909.55,,20611909.55,
0,Australia,3612558,Vegetables for human consumption - Tomatoes - Fresh market (outdoor and undercover),452262058.1,,380688624.1,
0,Australia,3630016,Vegetables for human consumption - All other vegetables n.e.c.,699468435.6,,594548172.5,
0,Australia,9017959,Livestock products - Total,7972157017,,7731426867,
0,Australia,9200159,Livestock Products - Wool,3457796040,,3322860891,
0,Australia,9200258,Livestock products - Milk,3694764223,,3694764223,
0,Australia,9200348,Livestock products - Eggs,819596754.6,,713801753.3,
0,Australia,9015959,Livestock slaughtered and other disposals - Total,20025105153,,18584115487,
0,Australia,9100258,Livestock slaughtered and other disposals - Sheep and lambs,3564786376,,3252087218,
0,Australia,9100158,Livestock slaughtered and other disposals - Cattle and calves,12139339124,,11138443435,
0,Australia,9100358,Livestock slaughtered and other disposals - Pigs,1341994521,,1269998457,
0,Australia,9100658,Livestock slaughtered and other disposals - Poultry,2728949375,,2687883520,
0,Australia,9100916,Livestock slaughtered and other disposals - Other n.e.c.,250035757.2,^,235702857.5,^
1,New South Wales,9019959,Total agriculture,14500990122,,13465003948,
1,New South Wales,9013959,Total value of crops,8397077099,,7695778820,
1,New South Wales,1910758,Broadacre crops - Total,6141750448,,5631385488,
1,New South Wales,1500158,Broadacre crops - Cereal crops - Wheat for grain,2259734969,,1988497500,
1,New South Wales,1500858,Broadacre crops - Cereal crops - Oats for grain,132843052.3,,119151318.7,
1,New South Wales,1501758,Broadacre crops - Cereal crops - Barley for grain,600773031.7,,522540125.1,
1,New South Wales,1504158,Broadacre crops - Cereal crops - Sorghum for grain,96625019.93,,85945123.89,
1,New South Wales,1505358,Broadacre crops - Cereal crops - Maize for grain,63909788.2,,58315844.68,
1,New South Wales,1508558,Broadacre crops - Cereal crops - Rice for grain,252153528.7,,229877991.3,
1,New South Wales,1508858,Broadacre crops - Cereal crops - Triticale for grain,15321513.54,^,13034785.49,^
1,New South Wales,1510316,Broadacre crops - Cereal crops - All other cereals for grain or seed,2516052.55,^,2241738.21,^
1,New South Wales,1803258,Broadacre crops - Non-cereal crops - Cotton lint (irrigated and non-irrigated),1059466388,,1042321267,
1,New South Wales,1808158,Broadacre crops - Non-cereal crops - Peanuts in shell,1307160.94,**,1271099.84,**
1,New South Wales,1901916,Broadacre crops - Non-cereal crops - Other pulses,816395325.1,,779968858.4,
1,New South Wales,1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,682430057.9,,647949747.4,
1,New South Wales,1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,32070105.01,^,31116012.24,^
1,New South Wales,1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,97194976.2,^,83044149.3,^
1,New South Wales,1510458,Broadacre crops - All other crops n.e.c.,29009478.98,^,26109925.77,^
1,New South Wales,3307859,Hay - Total,302400015.1,,302400015.1,
1,New South Wales,1005158,Hay - Lucerne cut for hay,106355606.9,,106355606.9,
1,New South Wales,3308558,Hay - Other pasture cut for hay,77670905.54,,77670905.54,
1,New South Wales,3308058,Hay - Cereal cut for hay,106532035.8,,106532035.8,
1,New South Wales,3308158,Hay - Other crops cut for hay,11841466.91,^,11841466.91,^
1,New South Wales,1919559,"Nurseries, cut flowers or cultivated turf - Total",449756687.9,,416949434.5,
