sa2_name_2011,date,Establishments (no.),Rooms (no.),Bed spaces (no.)
Darwin City,2015-07-01,33,3891,10074
Fannie Bay - The Gardens,2015-07-01,1,,
Larrakeyah,2015-07-01,1,,
Parap,2015-07-01,3,142,315
Woolner - Bayview - Winnellie,2015-07-01,2,,
Berrimah,2015-07-01,1,,
Jingili,2015-07-01,1,,
Lyons (NT),2015-07-01,1,,
Malak - Marrara,2015-07-01,2,,
Humpty Doo,2015-07-01,1,,
Palmerston - North,2015-07-01,2,,
Barkly,2015-07-01,2,,
Tennant Creek,2015-07-01,6,,
Charles,2015-07-01,7,,
East Side,2015-07-01,1,,
Mount Johns,2015-07-01,8,876,2541
Alligator,2015-07-01,9,,
Anindilyakwa,2015-07-01,1,,
Nhulunbuy,2015-07-01,2,,
Elsey,2015-07-01,1,,
Gulf,2015-07-01,1,,
Katherine,2015-07-01,7,,
Sandover - Plenty,2015-07-01,1,,
Petermann - Simpson,2015-07-01,7,898,3026
Darwin City,2015-10-01,33,3904,10115
Fannie Bay - The Gardens,2015-10-01,1,,
Larrakeyah,2015-10-01,1,,
Parap,2015-10-01,3,141,313
Woolner - Bayview - Winnellie,2015-10-01,2,,
Berrimah,2015-10-01,1,,
Jingili,2015-10-01,1,,
Lyons (NT),2015-10-01,1,,
Malak - Marrara,2015-10-01,2,,
Humpty Doo,2015-10-01,1,,
Palmerston - North,2015-10-01,2,,
Barkly,2015-10-01,2,,
Tennant Creek,2015-10-01,6,,
Charles,2015-10-01,7,,
East Side,2015-10-01,1,,
Mount Johns,2015-10-01,8,876,2541
Alligator,2015-10-01,9,523,1588
Anindilyakwa,2015-10-01,1,,
Nhulunbuy,2015-10-01,2,,
Elsey,2015-10-01,1,,
Gulf,2015-10-01,1,,
Katherine,2015-10-01,7,,
Sandover - Plenty,2015-10-01,1,,
Petermann - Simpson,2015-10-01,7,898,3026
Darwin City,2016-01-01,33,3894,10044
Fannie Bay - The Gardens,2016-01-01,1,,
Larrakeyah,2016-01-01,1,,
Parap,2016-01-01,3,141,313
Woolner - Bayview - Winnellie,2016-01-01,2,,
Berrimah,2016-01-01,1,,
Jingili,2016-01-01,1,,
Lyons (NT),2016-01-01,1,,
Malak - Marrara,2016-01-01,2,,
Humpty Doo,2016-01-01,1,,
Palmerston - North,2016-01-01,2,,
Barkly,2016-01-01,2,,
