tr_code_2015,date,Room nights occupied (no.),Room nights available (no.),Room occupancy rate (%),Guest nights occupied (no.),Guest nights available (no.),Bed occupancy rate (%),Takings from accommodation ($),Average takings per room night occupied ($),Average takings per room night available ($)
7R010,2015-07-01,127303,153760,82.8,200361,396755,50.5,27694280,217.55,180.11
7R050,2015-07-01,,,,,,,,,
7R070,2015-07-01,30078,42408,70.9,53245,122078,43.6,3651501,121.4,86.1
7R100,2015-07-01,12696,20367,62.3,25635,58559,43.8,2297688,180.98,112.81
7R110,2015-07-01,11256,14477,77.8,18198,43400,41.9,1661154,147.57,114.74
7R140,2015-07-01,,,,,,,,,
7R150,2015-07-01,22017,27710,79.5,50632,93378,54.2,5884556,267.27,212.36
7R010,2015-08-01,121317,158360,76.6,187206,407818,45.9,25353358,208.98,160.1
7R050,2015-08-01,,,,,,,,,
7R070,2015-08-01,31399,42408,74,54102,122078,44.3,3935750,125.35,92.81
7R100,2015-08-01,12202,20367,59.9,21955,58559,37.5,2143408,175.65,105.24
7R110,2015-08-01,11082,14477,76.5,17023,43400,39.2,1682125,151.79,116.19
7R140,2015-08-01,,,,,,,,,
7R150,2015-08-01,23092,27710,83.3,50068,93378,53.6,6232979,269.92,224.94
7R010,2015-09-01,112065,154800,72.4,162989,398386,40.9,21669241,193.36,139.98
7R050,2015-09-01,,,,,,,,,
7R070,2015-09-01,29461,41040,71.8,47508,118140,40.2,3595801,122.05,87.62
7R100,2015-09-01,10142,19710,51.5,17478,56670,30.8,1544344,152.27,78.35
7R110,2015-09-01,9629,14010,68.7,14864,42000,35.4,1457132,151.32,104.01
7R140,2015-09-01,,,,,,,,,
7R150,2015-09-01,22172,26940,82.3,45053,90780,49.6,5582715,251.79,207.23
7R010,2015-10-01,100875,159526,63.2,143160,412587,34.7,15859116,157.22,99.41
7R050,2015-10-01,,,,,,,,,
7R070,2015-10-01,28393,42408,67,45990,122078,37.7,3376529,118.92,79.62
7R100,2015-10-01,9738,19623,49.6,14795,56575,26.2,1295416,133.02,66.02
7R110,2015-10-01,8962,14477,61.9,13851,43338,32,1258200,140.39,86.91
7R140,2015-10-01,,,,,,,,,
7R150,2015-10-01,21423,27710,77.3,44663,93378,47.8,5803589,270.9,209.44
7R010,2015-11-01,86103,154380,55.8,119460,399278,29.9,12144182,141.04,78.66
7R050,2015-11-01,,,,,,,,,
7R070,2015-11-01,25412,41040,61.9,39852,118140,33.7,2851087,112.19,69.47
7R100,2015-11-01,6731,18990,35.4,9672,54750,17.7,873126,129.72,45.98
7R110,2015-11-01,8020,14010,57.2,12779,41940,30.5,1074514,133.98,76.7
7R140,2015-11-01,,,,,,,,,
7R150,2015-11-01,18755,26940,69.6,38376,90780,42.3,4983831,265.73,185
7R010,2015-12-01,71774,159526,45,106807,412587,25.9,9808393,136.66,61.48
7R050,2015-12-01,,,,,,,,,
7R070,2015-12-01,18273,42408,43.1,30541,122078,25,2086478,114.18,49.2
7R100,2015-12-01,5313,19623,27.1,7674,56575,13.6,714969,134.57,36.44
7R110,2015-12-01,5488,14477,37.9,9101,43338,21,846360,154.21,58.46
7R140,2015-12-01,,,,,,,,,
7R150,2015-12-01,15532,27710,56.1,32107,93378,34.4,3955176,254.65,142.73
7R010,2016-01-01,64998,156367,41.6,96236,404084,23.8,8653367,133.13,55.34
7R050,2016-01-01,,,,,,,,,
7R070,2016-01-01,17554,42408,41.4,29256,122078,24,1988481,113.28,46.89
7R100,2016-01-01,5076,19623,25.9,7336,56575,13,645899,127.25,32.92
7R110,2016-01-01,4376,14477,30.2,7330,43338,16.9,684309,156.38,47.27
7R140,2016-01-01,,,,,,,,,
7R150,2016-01-01,16492,27772,59.4,31818,93564,34,3847996,233.33,138.56
7R010,2016-02-01,73629,147447,49.9,99254,381932,26,9732916,132.19,66.01
7R050,2016-02-01,,,,,,,,,
7R070,2016-02-01,23977,39672,60.4,37169,114202,32.5,2642160,110.2,66.6
7R100,2016-02-01,5162,18333,28.2,7418,52845,14,667675,129.35,36.42
7R110,2016-02-01,4781,13517,35.4,7664,40462,18.9,653744,136.74,48.36
7R140,2016-02-01,,,,,,,,,
7R150,2016-02-01,17507,26100,67.1,34181,87928,38.9,4208056,240.36,161.23
7R010,2016-03-01,82847,158317,52.3,121936,410144,29.7,10943485,132.09,69.12
7R050,2016-03-01,,,,,,,,,
7R070,2016-03-01,26549,42408,62.6,41978,122078,34.4,3132595,117.99,73.87
7R100,2016-03-01,6046,19623,30.8,9580,56575,16.9,688496,113.87,35.09
7R110,2016-03-01,6406,14477,44.3,10197,43338,23.5,707310,110.41,48.86
7R140,2016-03-01,,,,,,,,,
7R150,2016-03-01,19945,27772,71.8,41617,93564,44.5,4814806,241.4,173.37
7R010,2016-04-01,91204,157170,58,131513,409536,32.1,12746850,139.76,81.1
7R050,2016-04-01,,,,,,,,,
7R070,2016-04-01,26236,41040,63.9,42371,118140,35.9,3381326,128.88,82.39
7R100,2016-04-01,7308,19680,37.1,12448,56820,21.9,882423,120.75,44.84
7R110,2016-04-01,7338,13980,52.5,11719,41850,28,1044312,142.32,74.7
7R140,2016-04-01,,,,,,,,,
7R150,2016-04-01,20948,27000,77.6,45682,90960,50.2,5408355,258.18,200.31
7R010,2016-05-01,109105,162409,67.2,159432,423187,37.7,17834982,163.47,109.82
7R050,2016-05-01,,,,,,,,,
7R070,2016-05-01,29124,42408,68.7,49338,122078,40.4,3963632,136.1,93.46
7R100,2016-05-01,9375,20336,46.1,15699,58714,26.7,1122462,119.73,55.2
7R110,2016-05-01,8302,14446,57.5,12715,43245,29.4,1091515,131.48,75.56
7R140,2016-05-01,,,,,,,,,
7R150,2016-05-01,21341,27772,76.8,45863,93564,49,5381378,252.16,193.77
7R010,2016-06-01,116634,157170,74.2,181201,409536,44.2,22348187,191.61,142.19
7R050,2016-06-01,,,,,,,,,
7R070,2016-06-01,30593,41040,74.5,51505,118140,43.6,4471413,146.16,108.95
7R100,2016-06-01,10722,19680,54.5,18916,56820,33.3,1583063,147.64,80.44
7R110,2016-06-01,10155,13980,72.6,15844,41850,37.9,1397873,137.65,99.99
7R140,2016-06-01,,,,,,,,,
7R150,2016-06-01,21868,27000,81,48536,90960,53.4,5865729,268.23,217.25
5R120,2015-07-01,257341,365854,70.3,393668,939967,41.9,47834423,185.88,130.75
