ste_name_2011,date,Holiday,Visiting friends and relatives,Business,Other,Total
NSW,2015-07-01,3705.627,3174.96,2659.269,532.139,9771.987
VIC,2015-07-01,2349.253,2095.497,1967.959,409.551,6634.127
QLD,2015-07-01,2761.89,1910.633,1358.524,352.05,6193.056
SA,2015-07-01,733.378,683.698,722.94,123.372,2243.192
WA,2015-07-01,376.063,469.684,678.709,np,1508.036
TAS,2015-07-01,592.697,286.149,222.21,np,1110.74
NT,2015-07-01,327.799,146.422,355.159,np,851.132
ACT,2015-07-01,662.591,834.956,819.805,211.227,2514.902
NSW,2016-07-01,3594.658,3315.147,2666.912,638.054,9917.351
VIC,2016-07-01,2352.916,2303.224,2275.375,401.965,7145.99
QLD,2016-07-01,2699.863,2058.421,1509.665,364.62,6407.318
SA,2016-07-01,782.265,750.954,617.008,187.726,2315.874
WA,2016-07-01,348.008,425.122,565.868,np,1326.779
TAS,2016-07-01,696.202,317.503,257.948,np,1259.411
NT,2016-07-01,397.663,180.484,320.157,np,927.595
ACT,2016-07-01,787.008,839.381,834.489,177.059,2643.7
