ste_name_2011,date,Holiday,Visiting friends and relatives,Business,Other,Total
NSW,2015-07-01,8054.347,6992.286,2642.337,1363.068,18751.902
VIC,2015-07-01,7115.234,5102.728,1625.832,823.971,14598.431
QLD,2015-07-01,5531.773,4991.485,2734.098,908.644,14011.628
SA,2015-07-01,1750.791,1240.787,615.942,302.661,3884.7
WA,2015-07-01,3471.803,2412.267,2141.82,549.538,8471.504
TAS,2015-07-01,617.667,361.53,170.484,75.115,1219.606
NT,2015-07-01,273.214,84.946,271.985,70.157,692.388
ACT,2015-07-01,-,-,-,-,-
NSW,2016-07-01,8236.049,7533.75,3160.644,1572.125,20204.365
VIC,2016-07-01,7748.158,5605.521,1785.653,980.797,16033.746
QLD,2016-07-01,5562.796,5351.929,3267.178,1112.74,15045.219
SA,2016-07-01,1736.501,1216.811,563.709,362.222,3842.594
WA,2016-07-01,3324.332,2268.483,2061.242,623.008,8128.764
TAS,2016-07-01,651.648,473.638,251.022,68.112,1441.631
NT,2016-07-01,230.682,102.859,292.096,64.227,684.392
ACT,2016-07-01,-,-,-,-,-
