ste_name_2011,date,Holiday,Visiting friends and relatives,Business,Other,Total
NSW,2015-07-01,11759.975,10167.246,5301.606,1895.206,28523.888
VIC,2015-07-01,9464.487,7198.225,3593.791,1233.522,21232.558
QLD,2015-07-01,8293.663,6902.117,4092.622,1260.694,20204.684
SA,2015-07-01,2484.17,1924.485,1338.882,426.034,6127.892
WA,2015-07-01,3847.867,2881.951,2820.529,579.4,9979.54
TAS,2015-07-01,1210.364,647.678,392.694,118.674,2330.346
NT,2015-07-01,601.013,231.368,627.144,97.59,1543.52
ACT,2015-07-01,662.591,838.28,819.805,211.227,2518.226
NSW,2016-07-01,11830.707,10848.897,5827.556,2210.179,30121.716
VIC,2016-07-01,10101.074,7908.745,4061.028,1382.762,23179.736
QLD,2016-07-01,8262.659,7410.35,4776.843,1477.36,21452.537
SA,2016-07-01,2518.767,1967.765,1180.717,549.948,6158.468
WA,2016-07-01,3672.34,2693.605,2627.11,683.729,9455.543
TAS,2016-07-01,1347.85,791.142,508.971,114.458,2701.042
NT,2016-07-01,628.344,283.343,612.253,113.099,1611.987
ACT,2016-07-01,789.866,839.381,834.489,179.151,2648.65
