tr_code_2015,date,Visitors (thousands),Visitor nights (thousands),Regional expenditure ($ millions)
1R040,2015-07-01,8877.899,23010.149,6402.719
2R010,2015-07-01,8200.18,23384.218,6623.123
3R020,2015-07-01,5740.682,17213.383,3337.076
3R010,2015-07-01,3688.198,13082.969,2971.15
5R120,2015-07-01,4180.94,14521.692,3124.276
3R030,2015-07-01,3265.426,11839.362,2108.743
1R010,2015-07-01,3511.785,11218.15,1422.913
5R140,2015-07-01,2963.215,9895.938,1508.388
5R160,2015-07-01,1185.288,10603.56,1565.01
3R120,2015-07-01,1880.388,9611.825,2057.244
1R100,2015-07-01,3228.815,8346.656,1431.123
4R040,2015-07-01,2647.799,8470.586,2142.332
8R990,2015-07-01,2514.428,6409.648,1382.648
1R090,2015-07-01,2070.506,5806.369,860.051
3R060,2015-07-01,1811.62,4827.341,595.741
3R080,2015-07-01,1415.796,5518.948,796.145
6R100,2015-07-01,1200.342,4402.694,912.738
5R130,2015-07-01,1105.352,4871.158,538.76
5R170,2015-07-01,1139.983,5358.258,784.467
2R100,2015-07-01,1517.385,4509.322,630.502
7R010,2015-07-01,725.376,3845.42,944.323
1R140,2015-07-01,1367.118,3753.779,476.785
2R070,2015-07-01,1429.935,4354.544,485.25
1R180,2015-07-01,1252.909,3347.855,504.979
3R110,2015-07-01,1205.675,4275.629,877.743
2R120,2015-07-01,982.583,2523.681,260.162
3R090,2015-07-01,761.023,2563.118,291.82
1R050,2015-07-01,748.986,2571.228,418.127
3R140,2015-07-01,707.426,2999.603,454.474
1R070,2015-07-01,1091.245,2892.323,400.971
1R080,2015-07-01,1063.067,2857.736,360.95
1R060,2015-07-01,1295.477,3025.25,396.035
2R060,2015-07-01,922.555,2079.341,252.449
2R210,2015-07-01,829.341,2428.649,303.117
4R070,2015-07-01,685.569,2862.46,354.703
3R040,2015-07-01,633.299,2208.512,263.059
3R100,2015-07-01,512.28,2057.565,494.235
2R080,2015-07-01,708.048,2037.556,248.486
1R190,2015-07-01,945.474,2214.494,347.415
6R110,2015-07-01,669.474,1966.4,361.011
2R110,2015-07-01,680.424,2194.479,224.284
4R030,2015-07-01,687.633,2046.288,233.728
3R070,2015-07-01,489.906,1508.747,159.701
6R060,2015-07-01,542.186,1987.505,272.059
2R030,2015-07-01,697.132,1937.343,296.948
1R150,2015-07-01,451.676,1696.227,210.502
4R110,2015-07-01,389.666,1402.35,167.833
1R040,2016-07-01,9456.109,26215.152,6683.964
2R010,2016-07-01,8727.998,23802.881,7448.687
3R020,2016-07-01,6416.48,18976.662,3853.771
3R010,2016-07-01,3953.087,14634.916,3091.577
5R120,2016-07-01,3740.888,12630.117,3170.847
3R030,2016-07-01,3424.496,12358.881,2064.722
1R010,2016-07-01,3735.404,11419.476,1773.629
5R140,2016-07-01,2960.529,9857.894,1608.969
5R160,2016-07-01,1251.165,9477.634,1086.695
3R120,2016-07-01,1805.45,8822.484,1869.804
1R100,2016-07-01,3346.285,8647.995,1562.785
4R040,2016-07-01,2676.649,8302.234,2167.614
8R990,2016-07-01,2648.65,6703.123,1620.453
1R090,2016-07-01,2331.833,6358.309,899.748
3R060,2016-07-01,1875.667,5531.281,712.722
3R080,2016-07-01,1481.217,5436.111,844.588
6R100,2016-07-01,1448.807,5308.657,1273.083
5R130,2016-07-01,1045.372,4651.087,526.296
5R170,2016-07-01,992.206,4566.776,708.022
2R100,2016-07-01,1538.096,4492.674,624.037
7R010,2016-07-01,715.804,4322.797,927.239
1R140,2016-07-01,1548.177,4190.47,532.163
2R070,2016-07-01,1415.535,4063.096,463.696
1R180,2016-07-01,1384.811,3879.392,511.164
3R110,2016-07-01,1096.01,3715.669,755.916
2R120,2016-07-01,1247.567,3396.999,339.678
3R090,2016-07-01,882.935,3390.949,380.364
1R050,2016-07-01,883.015,3090.664,576.735
3R140,2016-07-01,792.051,3058.159,501.593
1R070,2016-07-01,1108.375,2898.491,363.712
1R080,2016-07-01,1033.16,2846.657,367.158
1R060,2016-07-01,1181.494,2721.06,346.627
2R060,2016-07-01,1056.776,2647.128,269.998
2R210,2016-07-01,873.202,2627.662,351.039
4R070,2016-07-01,643.897,2564.299,301.124
3R040,2016-07-01,571.226,2427.189,318.402
3R100,2016-07-01,518.422,2411.373,525.943
2R080,2016-07-01,775.248,2317.811,277.688
1R190,2016-07-01,961.789,2265.75,385.675
6R110,2016-07-01,827.742,2179.489,557.624
2R110,2016-07-01,752.624,2091.722,224.718
4R030,2016-07-01,719.595,2027.368,246.522
3R070,2016-07-01,556.482,1990.027,245.58
6R060,2016-07-01,531.459,1927.649,304.07
2R030,2016-07-01,733.374,1922.346,320.538
1R150,2016-07-01,490.063,1856.608,342.709
4R110,2016-07-01,409.744,1743.538,232.388
