ste_name_2011,date,Holiday,Visiting friends and relatives,Business,Employment,Education,Other purpose,In transit,Total
New South Wales,2015-07-01,26182.009,21839.713,3350.722,11942.812,23023.881,285.406,234.378,86858.92
Victoria,2015-07-01,14758.771,17223.886,2482.569,5854.539,17847.59,506.202,119.03,58792.588
Queensland,2015-07-01,22112.701,12293.786,1397.249,5158.78,10721.415,np,112.935,51967.85
South Australia,2015-07-01,2309.367,3005.237,291.048,1252.609,2628.221,np,20.763,9627.229
Western Australia,2015-07-01,8883.776,8668.64,1848.808,3743.472,4565.507,np,89.187,27901.21
Tasmania,2015-07-01,1672.18,691.887,88.261,np,638.457,np,np,3411.604
Northern Territory,2015-07-01,1819.586,547.29,132.275,1079.976,np,np,11.044,3799.849
Australian Capital Territory,2015-07-01,715.84,1094.182,180.433,np,2052.344,np,np,4981.632
New South Wales,2016-07-01,27800.554,23024.615,3584.307,11547.496,26110.043,263.095,185.655,92515.764
Victoria,2016-07-01,16542.257,18706.665,2507.462,6432.585,21917.125,1150.719,123.643,67380.455
Queensland,2016-07-01,23371.312,11319.824,1277.959,5539.149,12124.626,182.02,97.091,53911.98
South Australia,2016-07-01,2343.245,3069.267,536.617,1208.755,3735.87,np,np,10934.589
Western Australia,2016-07-01,8944.268,8267.307,1621.406,3326.645,5816.69,np,60.149,28198.415
Tasmania,2016-07-01,1926.361,907.422,113.861,np,764.054,np,np,3949.374
Northern Territory,2016-07-01,1999.443,461.456,214.712,1012.777,np,np,11.286,3911.86
Australian Capital Territory,2016-07-01,590.663,990.975,426.433,np,2185.653,np,np,4583.584
