ste_name_2011,date,Holiday,Visiting friends and relatives,Business,Employment,Education,Other purpose,In transit,Total
New South Wales,2015-07-01,3066.993,1239.857,683.48,910.708,3054.466,29.874,69.666,9078.988
Victoria,2015-07-01,1823.453,1235.107,505.099,380.44,2657.353,81.59,np,6722.799
Queensland,2015-07-01,2744.887,593.349,219.415,254.856,1207.768,np,np,5071.779
South Australia,2015-07-01,265.055,188.468,53.198,61.739,367.311,np,np,945.097
Western Australia,2015-07-01,799.027,501.665,249.688,215.901,522.336,np,np,2321.709
Tasmania,2015-07-01,217.635,33.378,np,np,83.274,np,np,367.657
Northern Territory,2015-07-01,306.54,np,np,52.294,np,np,np,417.19
Australian Capital Territory,2015-07-01,45.694,45.762,33.243,np,234.915,np,np,420.478
New South Wales,2016-07-01,3376.931,1311.613,763.702,884.253,3634.035,28.314,73.399,10098.653
Victoria,2016-07-01,1916.861,1226.476,537.117,469.906,3231.665,68.559,np,7494.558
Queensland,2016-07-01,2755.735,610.067,228.352,300.579,1276.393,np,np,5231.956
South Australia,2016-07-01,241.221,183.752,78.473,67.234,485.962,np,np,1062.815
Western Australia,2016-07-01,854.959,547.217,195.228,181.427,701.293,np,np,2506.482
Tasmania,2016-07-01,272.766,63.055,np,np,87.406,np,np,456.659
Northern Territory,2016-07-01,363.146,np,np,58.616,np,np,np,484.622
Australian Capital Territory,2016-07-01,58.946,57.624,44.038,np,350.863,np,np,535.412
