lga_code_2016,lga_name_2016,New Zealand,Japan,Hong Kong,Singapore,Malaysia,Indonesia,Taiwan,Thailand,Korea,China,India,United States of America,Canada,United Kingdom,Germany,Scandinavia,France,Italy,Netherlands,Switzerland
10050,Albury (C),67305,73547,6621,3739,24815,24191,546,12897,14024,30999,28342,83890,9847,75237,32690,6222,7823,200,8976,1045
10130,Armidale Regional (A),37627,0,2672,170,657,20255,90467,8319,493,185867,60922,240307,37248,96320,36693,15293,15789,10091,1088,1881
10250,Ballina (A),65003,16268,21048,239,5232,4102,17706,168,0,646,112,58812,42586,54575,65295,16480,9942,19208,6256,7693
10300,Balranald (A),4257,497,0,2010,24417,0,0,0,0,0,0,390,0,488,975,212,548,234,61,467
10470,Bathurst Regional (A),106659,2742,9161,5816,0,0,0,899,9596,8976,8661,24116,2361,73440,23338,9868,6928,2082,5232,1781
10550,Bega Valley (A),39831,29209,2528,3516,1728,345,0,2342,1580,22053,92202,73486,28439,66709,35319,10133,14396,3134,14995,7296
10600,Bellingen (A),6067,552,0,2760,117,0,0,10118,599,380,762,34525,3182,26551,8126,1445,5102,347,1395,3253
10650,Berrigan (A),12369,1802,0,0,1303,0,0,465,254,0,0,5569,0,29384,8978,2228,0,2490,1823,0
10750,Blacktown (C),666355,68787,56732,58003,49568,50425,1661,32394,117908,299511,1029863,275117,103582,208347,25524,85472,9909,8181,13739,3617
10800,Bland (A),0,0,0,0,0,0,0,0,0,0,0,1920,0,980,3235,0,0,57,0,116
10850,Blayney (A),919,0,0,0,0,0,0,0,0,0,0,3721,0,2268,0,0,0,7657,191,47
10900,Blue Mountains (C),90343,59156,38953,72896,29038,28186,29262,11988,23660,46751,26297,238680,67772,310947,133063,40652,106833,9748,31004,28226
10950,Bogan (A),295,0,0,0,0,0,0,0,0,0,0,1253,0,42178,0,4750,27214,0,33,0
11100,Botany Bay (C),205244,124575,37522,33172,78307,194344,34526,51977,198572,811838,81989,226826,36281,105992,24671,21596,28128,3022,3599,4949
11150,Bourke (A),1270,0,0,0,0,0,0,0,20754,0,0,40104,227,13282,233,260,5099,8949,98,1083
11200,Brewarrina (A),0,0,0,0,0,0,0,0,0,1477,0,0,0,4055,2407,0,0,0,0,0
11250,Broken Hill (C),23863,9208,0,96,0,47,8826,0,0,5047,0,11276,4201,12689,8163,31390,7192,631,10626,1688
11300,Burwood (A),59512,99152,157945,29971,17342,47451,185323,33067,197667,2159660,278171,36134,2561,35793,2747,2006,137535,26095,0,3884
11350,Byron (A),194280,202671,37204,14471,4915,3479,48032,43421,27737,19705,3502,348053,330364,1053379,638838,375061,375910,182232,141779,300196
11400,Cabonne (A),403,0,0,0,0,0,15268,0,4806,0,0,1975,0,86616,9294,1831,9349,0,659,0
11450,Camden (A),39843,4043,2693,18121,12416,5102,0,20105,38008,1914,1803,14848,135124,48768,13513,1541,103347,0,721,0
11500,Campbelltown (C) (NSW),413332,110228,14883,66364,84296,30367,0,102937,23754,103502,227372,76146,74516,197736,53343,8221,4105,1669,17220,276
11520,Canada Bay (A),185015,133054,197864,33303,32598,68081,30664,140681,454463,1897778,109215,111821,9777,142866,63652,64570,7351,211317,22874,6855
11570,Canterbury-Bankstown (A),433522,142459,100378,80309,141346,144727,149910,145885,155917,1565724,234633,95909,83157,136472,95548,3136,63221,99613,17606,6259
11600,Carrathool (A),0,6058,3812,0,0,0,57802,0,0,0,0,517,0,15284,11830,0,0,2250,0,80
11650,Central Coast (C) (NSW),237691,45225,11201,36460,27934,63629,5681,43526,230251,28345,157457,211602,136100,666674,87130,34440,60215,4098,34222,14019
11700,Central Darling (A),139,0,13195,0,0,0,6741,0,0,22310,0,4328,571,435,664,12120,53,0,28,392
11720,Cessnock (C),34588,0,1654,4396,0,0,3070,8506,0,4556,0,39248,11490,29315,7665,38757,9731,141,7335,1876
11730,Clarence Valley (A),24466,1218,1417,479,468,1800,549,71,0,47744,11967,34681,19873,41574,58581,10835,3084,601,13219,7890
11750,Cobar (A),4706,9484,0,0,0,0,130,11529,152,718,0,868,5178,37390,884,1019,254,17769,0,163
11800,Coffs Harbour (C),106415,74871,167582,3833,38896,20369,206339,29098,108690,18349,38077,190318,110416,291117,226064,76113,125211,34385,62054,22055
12000,Coolamon (A),0,0,0,180,0,0,0,0,0,0,0,0,4287,233,0,0,0,0,0,0
12150,Coonamble (A),0,0,6905,0,1475,0,0,0,0,520,0,676,247,14334,1327,6933,337,0,1855,211
12350,Cowra (A),1065,13122,0,5628,0,0,27326,0,1059,0,495,1335,1839,8296,2735,6038,904,0,225,144
12380,Cumberland (A),362973,82359,307905,51930,150073,75576,649618,134486,1747934,1236895,1739593,68146,38871,59055,132707,113170,20818,7347,6350,154
12700,Dungog (A),2413,495,0,0,0,0,0,0,0,24069,0,3124,0,1076,941,0,589,0,0,1943
12730,Edward River (A),1702,0,0,37,952,0,5284,0,564,0,48,2465,1765,3789,2291,255,0,0,188,11
12750,Eurobodalla (A),22515,487,652,4299,2873,68743,16646,14747,3078,8172,267,34572,24985,114815,67295,10790,18702,41958,4588,10637
12850,Fairfield (C),160476,301,31790,4826,25084,38385,6468,47903,12387,182764,31538,67499,31523,25033,14081,28702,25652,47329,107,5201
12870,Federation (A),2939,0,0,8524,0,0,0,0,0,3047,990,6402,987,25611,0,24501,0,0,1941,0
12900,Forbes (A),17423,0,0,0,145,0,0,0,0,549,0,7212,1337,15303,1188,0,988,0,35,0
12930,Georges River (A),252191,47391,428395,58402,138617,171735,253167,61394,83106,4883784,72966,74433,12153,88672,6171,9598,75208,15222,2016,5387
12950,Gilgandra (A),364,0,0,0,0,0,0,0,194,0,0,1299,0,9439,88,5173,0,786,4333,0
13010,Glen Innes Severn (A),15338,7658,1441,0,0,0,0,853,0,0,0,246,207,13390,3022,14372,0,0,1197,929
13310,Goulburn Mulwaree (A),25790,33269,471,11276,1116,0,1632,8216,71208,86159,483,11200,3129,89027,10795,2003,608,8021,1309,1373
13340,Greater Hume Shire (A),3546,0,0,0,0,0,0,0,0,130,0,1939,3398,1369,0,0,0,0,0,0
13450,Griffith (C),86492,11301,0,0,13081,0,83476,0,26730,20689,0,4630,11974,75255,89875,22345,99581,29212,5183,0
13510,Gundagai (A),12702,247,0,0,0,0,14860,0,19858,314,1661,30746,2664,23799,2478,1848,119,0,290,1886
13550,Gunnedah (A),145,10790,27657,0,0,0,13223,0,8724,3728,0,3711,753,599,1338,20,0,0,25,0
13660,Gwydir (A),0,0,0,0,0,0,0,0,0,0,0,0,360,11621,5408,422,3862,0,0,763
13800,Hawkesbury (C),31450,1390,4229,3126,1446,22818,17072,36833,23146,27410,16145,116447,6027,75749,18690,15354,8267,75534,3132,430
13850,Hay (A),2392,0,2992,0,0,0,132,0,732,163,352,521,789,2238,2013,733,424,0,0,179
13910,Hilltops (A),80265,273,2379,0,1063,0,87100,12461,1346,17282,465,7670,77610,20660,50509,31252,50804,6549,10931,0
14000,Hornsby (A),255549,144620,133273,56552,56884,10408,20423,44352,314746,1320002,468917,158293,54799,234500,34498,7205,39476,1204,0,6812
14100,Hunters Hill (A),7223,0,2827,265,0,0,0,0,0,17015,0,2634,2402,11911,8233,0,783,0,0,87
14170,Inner West (A),579415,391880,184283,329543,190731,113482,98707,257837,173261,2342503,271512,651115,183944,1526550,273887,111060,156307,223367,65204,64614
14200,Inverell (A),24576,952,13185,0,0,0,0,0,1692,2080,0,5846,10641,7169,16783,2440,17082,28,199,3757
14300,Junee (A),406,0,0,0,0,0,8726,0,0,0,0,366,692,0,0,0,0,0,0,0
14350,Kempsey (A),17023,300,7449,196,9713,2555,31034,805,158,5848,21795,7967,4532,41975,23477,5876,3743,4913,2001,1825
14400,Kiama (A),8735,162,2148,459,2464,14934,233,13499,13860,4144,626,30685,12059,85089,16263,9139,21754,1553,5402,3021
14500,Ku-ring-gai (A),100527,189591,77306,87114,44346,25126,113228,42718,329343,283385,24365,244536,56043,448083,74842,43381,174718,22022,23463,5774
14550,Kyogle (A),16126,0,1448,1206,0,0,0,1880,804,32360,0,13030,460,646,669,255,167,0,42,1343
14600,Lachlan (A),20026,0,0,12087,0,0,0,0,0,0,0,0,120,1282,2515,161,3870,1378,0,121
14650,Lake Macquarie (C),67231,5954,4208,6732,97,3084,0,14321,32763,5242,11891,25370,116692,108099,8671,23988,6000,140,5843,2473
14700,Lane Cove (A),24836,88965,35195,24686,3301,218,24486,3036,44462,126091,63985,140049,12426,121796,19764,11344,35288,117264,7800,8725
14750,Leeton (A),25783,495,5307,0,0,0,2729,1105,0,0,0,648,0,24289,20666,4686,56579,0,0,0
14850,Lismore (C),35324,43833,10839,893,37536,9411,20581,33522,3696,156972,5255,43814,28518,94035,48210,8805,29023,12995,9237,5997
14870,Lithgow (C),10927,0,0,408,137,831,0,0,84,1413,271,5020,4138,3561,1253,79,10089,310,0,273
14900,Liverpool (C),437378,3123,1824,18335,138038,40742,7355,5504,29106,117321,236584,104751,12958,64253,19439,30502,8512,48449,727,5991
14920,Liverpool Plains (A),0,0,0,0,0,0,0,0,0,1185,0,1363,55,27850,6837,0,0,0,0,0
14950,Lockhart (A),0,101,0,2035,0,0,4342,0,1791,2689,0,10603,0,4174,1857,2381,0,0,440,0
15050,Maitland (C),27313,1108,186,3278,0,134,25330,0,0,0,0,32228,2125,61542,5148,5332,757,4150,4049,373
15240,Mid-Coast (A),106153,4373,3197,5611,27559,34193,0,15099,4512,5812,2225,61979,22958,134027,19959,25700,20846,2860,11879,7705
15270,Mid-Western Regional (A),18746,1005,0,3032,0,0,2851,39314,57,288,0,8788,2463,33767,30998,47285,7133,30683,480,1223
15300,Moree Plains (A),59877,0,877,351,1401,0,23154,0,564,730,0,19814,25965,240019,13636,31231,11850,12117,3515,183
15350,Mosman (A),54528,15725,17898,20880,23305,34223,2014,1957,35862,35097,40228,30115,12120,136188,61235,3698,1369,45729,7812,12453
15520,Murray River (A),1051,0,0,0,0,309,0,253,0,0,0,2178,216,37606,1653,321,0,0,0,16376
