lga_code_2016,lga_name_2016,New Zealand,Japan,Hong Kong,Singapore,Malaysia,Indonesia,Taiwan,Thailand,Korea,China,India,United States of America,Canada,United Kingdom,Germany,Scandinavia,France,Italy,Netherlands,Switzerland
10050,Albury (C),9979,1058,1774,1450,718,1837,477,1622,1009,3235,896,4100,1837,8213,5360,2071,1836,160,1014,433
10130,Armidale Regional (A),4233,0,222,170,387,961,462,126,82,2019,1836,3760,2053,5748,2929,855,2017,337,870,1246
10250,Ballina (A),8896,975,839,172,557,64,98,168,0,416,56,5607,3707,10662,4468,2603,3141,811,2681,1110
10300,Balranald (A),703,71,0,287,317,0,0,0,0,0,0,195,0,301,98,71,191,161,61,233
10470,Bathurst Regional (A),13727,1177,133,564,0,0,0,323,779,464,96,2562,620,4355,1296,253,404,288,839,370
10550,Bega Valley (A),5957,1259,1162,2589,915,345,0,210,1088,4716,1048,13736,4137,18275,13690,3465,5659,1395,3445,4251
10600,Bellingen (A),685,92,0,314,117,0,0,414,67,38,254,2696,1027,2662,4077,817,1056,347,580,939
10650,Berrigan (A),1176,325,0,0,93,0,0,233,127,0,0,816,0,1028,159,186,0,83,83,0
10750,Blacktown (C),47750,2280,2474,7663,3496,2246,564,866,5785,11322,18009,12321,6121,8056,1476,1166,1180,834,346,625
10800,Bland (A),0,0,0,0,0,0,0,0,0,0,0,633,0,396,108,0,0,57,0,116
10850,Blayney (A),306,0,0,0,0,0,0,0,0,0,0,306,0,393,0,0,0,64,132,47
10900,Blue Mountains (C),19604,6147,7103,12579,5592,4059,19181,1222,4577,20423,2737,44028,15570,66668,37508,13602,19069,4570,11134,10856
10950,Bogan (A),295,0,0,0,0,0,0,0,0,0,0,358,0,831,0,59,227,0,33,0
11100,Botany Bay (C),62561,31111,5087,6994,8964,5249,2628,4143,54113,54812,3468,58757,20128,31447,11651,4414,10666,1939,2258,2540
11150,Bourke (A),854,0,0,0,0,0,0,0,94,0,0,772,227,587,233,87,165,114,65,403
11200,Brewarrina (A),0,0,0,0,0,0,0,0,0,14,0,0,0,344,80,0,0,0,0,0
11250,Broken Hill (C),3705,575,0,96,0,47,119,0,0,410,0,2986,939,4165,3214,1405,2249,361,435,1024
11300,Burwood (A),4940,1480,2294,1223,1571,1815,1658,526,4777,22976,2269,2114,164,2631,202,26,1015,250,0,51
11350,Byron (A),31756,8218,2281,4601,1763,958,2502,1045,3308,7097,1454,56375,41552,185643,108511,54938,43848,16966,27546,32512
11400,Cabonne (A),134,0,0,0,0,0,848,0,96,0,0,247,0,1282,602,334,381,0,31,0
11450,Camden (A),4610,378,661,1485,345,44,0,234,428,188,129,1903,2591,2997,705,167,1045,0,144,0
11500,Campbelltown (C) (NSW),23101,1678,1703,2654,1945,1309,0,1164,1802,2979,3195,5930,3689,7430,843,947,374,139,664,39
11520,Canada Bay (A),11106,2502,2398,1800,2193,1843,864,1224,8653,21248,3445,4188,951,7501,2961,1371,606,1589,507,552
11570,Canterbury-Bankstown (A),30597,4444,6965,4374,6113,5653,1891,3666,5633,23652,3784,5963,3793,7813,3374,374,1402,1575,635,209
11600,Carrathool (A),0,50,97,0,0,0,375,0,0,0,0,196,0,804,240,0,0,106,0,80
11650,Central Coast (C) (NSW),29470,1998,1385,2938,1709,2135,173,2099,4976,4201,999,16485,6764,33516,6252,4216,3470,627,3700,2962
11700,Central Darling (A),139,0,68,0,0,0,1730,0,0,166,0,570,571,435,664,135,53,0,28,392
11720,Cessnock (C),5505,0,1023,1777,0,0,121,508,0,728,0,3992,3667,6673,2196,1520,1556,141,1219,743
11730,Clarence Valley (A),5756,663,634,479,67,290,183,71,0,2131,57,5323,3918,10753,6760,3448,1627,329,3187,3151
11750,Cobar (A),947,415,0,0,0,0,130,130,152,359,0,534,969,1889,700,539,254,118,0,27
11800,Coffs Harbour (C),22463,2142,4692,2545,1561,555,4013,948,1876,7991,2822,28079,16750,69017,42355,17057,14460,4295,10025,10104
12000,Coolamon (A),0,0,0,90,0,0,0,0,0,0,0,0,110,78,0,0,0,0,0,0
12150,Coonamble (A),0,0,64,0,147,0,0,0,0,130,0,251,247,711,424,94,112,0,62,105
12350,Cowra (A),487,885,0,268,0,0,969,0,118,0,99,1074,1075,1337,362,97,558,0,225,144
12380,Cumberland (A),17385,711,7595,2152,4857,2244,4727,1392,20820,12929,16180,4666,2844,4148,1243,720,1051,425,280,77
12700,Dungog (A),733,247,0,0,0,0,0,0,0,420,0,708,0,438,134,0,196,0,0,115
12730,Edward River (A),337,0,0,19,476,0,83,0,564,0,48,1041,206,798,254,193,0,0,94,11
12750,Eurobodalla (A),7603,122,181,1483,1344,1174,1263,1191,473,4162,204,9955,5871,17931,17648,4131,6453,682,2982,3937
