State,StateName,lga_code_2016,lga_name_2016,Visitors_000,Nights_000,AvNightsStay,Spend_M,AvSpendTrip,AvSpendNight,AvSpendNight_AccomCM_M
1,NSW,10050,Albury (C),723.25,0,,127.75401825,176.6388085,,
1,NSW,10130,Armidale Regional (A),312.5,0,,48.352532077,154.72810265,,
1,NSW,10250,Ballina (A),309,0,,30.099242721,97.408552494,,
1,NSW,10470,Bathurst Regional (A),581,0,,81.885137806,140.93827505,,
1,NSW,10550,Bega Valley (A),350.75,0,,48.810842162,139.16134615,,
1,NSW,10600,Bellingen (A),118,0,,8.1382367135,68.968107741,,
1,NSW,10650,Berrigan (A),,0,,,,,
1,NSW,10900,Blue Mountains (C),2172.25,0,,173.52214243,79.881294707,,
1,NSW,11250,Broken Hill (C),,0,,,,,
1,NSW,11350,Byron (A),838,0,,69.843450075,83.345405817,,
1,NSW,11650,Central Coast (C) (NSW),3302,0,,265.49608117,80.404627854,,
1,NSW,11720,Cessnock (C),683,0,,89.842650058,131.54121531,,
1,NSW,11730,Clarence Valley (A),449.75,0,,48.296249492,107.38465701,,
1,NSW,11800,Coffs Harbour (C),742,0,,105.89331987,142.71336909,,
1,NSW,12350,Cowra (A),115.25,0,,14.427713396,125.18623337,,
1,NSW,12750,Eurobodalla (A),518,0,,57.400493635,110.81176377,,
1,NSW,12870,Federation (A),99.5,0,,8.5341318992,85.770169841,,
1,NSW,13010,Glen Innes Severn (A),,0,,,,,
1,NSW,13310,Goulburn Mulwaree (A),391,0,,37.352204873,95.529935737,,
1,NSW,13450,Griffith (C),193,0,,32.293675499,167.32474352,,
1,NSW,13510,Gundagai (A),,0,,,,,
1,NSW,13800,Hawkesbury (C),764,0,,50.099941215,65.575839287,,
1,NSW,13910,Hilltops (A),265.75,0,,26.652758904,100.29260171,,
1,NSW,14200,Inverell (A),114,0,,19.46065644,170.70751263,,
1,NSW,14350,Kempsey (A),235.25,0,,17.766420311,75.521446593,,
1,NSW,14400,Kiama (A),782.25,0,,52.156951414,66.675553102,,
