State,StateName,lga_code_2016,lga_name_2016,Holiday (visitors '000),Visiting friends or relatives (visitors '000),Business (visitors '000),Other (visitors '000)
1,NSW,10050,Albury (C),264.25,137.25,,234.75
1,NSW,10130,Armidale Regional (A),,,,96
1,NSW,10250,Ballina (A),169.25,,,
1,NSW,10470,Bathurst Regional (A),286.5,106,,130.5
1,NSW,10550,Bega Valley (A),176.75,,,89.75
1,NSW,10600,Bellingen (A),,,,
1,NSW,10650,Berrigan (A),,,,
1,NSW,10900,Blue Mountains (C),1574.75,424.5,127.5,
1,NSW,11250,Broken Hill (C),,,,
1,NSW,11350,Byron (A),590.75,176.5,,
1,NSW,11650,Central Coast (C) (NSW),1472.75,1308.5,180.75,340
1,NSW,11720,Cessnock (C),447,169.75,,
1,NSW,11730,Clarence Valley (A),193,177.5,,
1,NSW,11800,Coffs Harbour (C),366.75,130,,176.5
1,NSW,12350,Cowra (A),,,,
1,NSW,12750,Eurobodalla (A),331.75,84,,77.25
1,NSW,12870,Federation (A),,,,
1,NSW,13010,Glen Innes Severn (A),,,,
1,NSW,13310,Goulburn Mulwaree (A),197.75,111.75,,
1,NSW,13450,Griffith (C),,,,
1,NSW,13510,Gundagai (A),,,,
1,NSW,13800,Hawkesbury (C),413.5,220,,
1,NSW,13910,Hilltops (A),151.5,,,
1,NSW,14200,Inverell (A),,,,
1,NSW,14350,Kempsey (A),116,,,
1,NSW,14400,Kiama (A),540.25,196.25,,
1,NSW,14650,Lake Macquarie (C),352.75,291.5,,100
1,NSW,14850,Lismore (C),229.75,,,105
1,NSW,14870,Lithgow (C),189.75,79,,
1,NSW,15050,Maitland (C),196.25,180.5,,
1,NSW,15240,Mid-Coast (A),468.5,269.25,,117.25
1,NSW,15270,Mid-Western Regional (A),121.5,,,
1,NSW,15300,Moree Plains (A),,,,
1,NSW,15520,Murray River (A),,,,
1,NSW,15700,Nambucca (A),,,,
1,NSW,15750,Narrabri (A),,,,
1,NSW,15900,Newcastle (C),957,728.75,367.5,425
1,NSW,16150,Orange (C),187.75,135.25,,212.75
1,NSW,16200,Parkes (A),,,,
