State,StateName,lga_code_2016,lga_name_2016,Holiday (visitors '000),Visiting friends or relatives (visitors '000),Business (visitors '000),Other (visitors '000)
1,NSW,10050,Albury (C),7.687,3.66575,,
1,NSW,10130,Armidale Regional (A),4.27525,2.899,,1.21075
1,NSW,10250,Ballina (A),8.52625,4.522,,
1,NSW,10470,Bathurst Regional (A),4.6575,2.0665,,
1,NSW,10550,Bega Valley (A),21.1565,2.458,,
1,NSW,10600,Bellingen (A),4.14575,,,
1,NSW,10650,Berrigan (A),,,,
1,NSW,10900,Blue Mountains (C),80.2235,8.03175,,1.55775
1,NSW,11250,Broken Hill (C),4.3405,,,
1,NSW,11350,Byron (A),167.57025,11.216,,2.899
1,NSW,11650,Central Coast (C) (NSW),14.83725,20.703,2.36325,
1,NSW,11720,Cessnock (C),5.966,2.225,,
1,NSW,11730,Clarence Valley (A),12.27725,1.96475,,
1,NSW,11800,Coffs Harbour (C),64.56625,6.9075,,
1,NSW,12350,Cowra (A),,,,
1,NSW,12750,Eurobodalla (A),20.909,3.11825,,
1,NSW,12870,Federation (A),,,,
1,NSW,13010,Glen Innes Severn (A),,,,
1,NSW,13310,Goulburn Mulwaree (A),3.394,,,
1,NSW,13450,Griffith (C),2.66975,2.0595,,
1,NSW,13510,Gundagai (A),,,,
1,NSW,13800,Hawkesbury (C),2.529,3.9515,,
1,NSW,13910,Hilltops (A),1.644,,,
1,NSW,14200,Inverell (A),1.8705,,,
1,NSW,14350,Kempsey (A),7.1525,,,
1,NSW,14400,Kiama (A),9.05025,1.91275,,
1,NSW,14650,Lake Macquarie (C),3.5295,4.57075,,
1,NSW,14850,Lismore (C),7.63925,2.7855,,
1,NSW,14870,Lithgow (C),,,,
1,NSW,15050,Maitland (C),,2.43025,,
1,NSW,15240,Mid-Coast (A),15.03975,5.288,,
1,NSW,15270,Mid-Western Regional (A),2.035,,,
1,NSW,15300,Moree Plains (A),2.243,,,
1,NSW,15520,Murray River (A),,,,
1,NSW,15700,Nambucca (A),3.275,,,
1,NSW,15750,Narrabri (A),,,,
1,NSW,15900,Newcastle (C),42.25225,25.8395,8.5495,8.8935
1,NSW,16150,Orange (C),4.36,2.9825,,
1,NSW,16200,Parkes (A),,,,
1,NSW,16380,Port Macquarie-Hastings (A),46.334,7.0105,,
1,NSW,16400,Port Stephens (A),23.06725,3.09775,,
1,NSW,16490,Queanbeyan-Palerang Regional (A),,1.91375,,
1,NSW,16610,Richmond Valley (A),2.02675,,,
1,NSW,16900,Shellharbour (C),,,,
1,NSW,16950,Shoalhaven (C),16.141,7.08275,,
1,NSW,17000,Singleton (A),2.75225,,,
1,NSW,17040,Snowy Monaro Regional (A),11.74225,1.875,,
1,NSW,17080,Snowy Valleys (A),1.792,,,
1,NSW,17310,Tamworth Regional (A),7.018,3.0115,,
1,NSW,17550,Tweed (A),10.64825,7.36475,,
1,NSW,17620,Upper Hunter Shire (A),,,,
1,NSW,17750,Wagga Wagga (C),4.821,3.1205,,1.4815
1,NSW,18020,Warrumbungle Shire (A),,,,
1,NSW,18230,Western Plains Regional (A),5.3035,2.66925,,
1,NSW,18350,Wingecarribee (A),3.84175,4.45775,,
1,NSW,18450,Wollongong (C),21.061,17.53125,3.83675,8.07075
1,NSW,18710,Yass Valley (A),2.32475,,,
2,VIC,20110,Alpine (S),4.76525,,,
2,VIC,20570,Ballarat (C),12.90275,7.5165,,1.49375
2,VIC,20740,Bass Coast (S),34.69475,3.04125,,
2,VIC,20830,Baw Baw (S),,2.76825,,
2,VIC,21010,Benalla (RC),,,,
2,VIC,21370,Campaspe (S),5.54175,2.373,,
2,VIC,21450,Cardinia (S),,6.45825,,
2,VIC,21750,Colac-Otway (S),58.75775,,,
2,VIC,21830,Corangamite (S),33.3595,,,
2,VIC,22110,East Gippsland (S),28.79525,2.96375,,
2,VIC,22170,Frankston (C),3.47475,12.378,,1.2445
2,VIC,22410,Glenelg (S),8.951,,,
2,VIC,22620,Greater Bendigo (C),6.53375,5.4835,,
2,VIC,22750,Greater Geelong (C),20.73375,17.3555,3.679,3.6085
2,VIC,22830,Greater Shepparton (C),4.11975,4.49375,,1.9765
2,VIC,22910,Hepburn (S),2.9685,,,
2,VIC,23190,Horsham (RC),2.7335,,,
2,VIC,23350,Indigo (S),1.8955,,,
2,VIC,23810,Latrobe (C) (Vic.),,3.216,,
2,VIC,24130,Macedon Ranges (S),,3.01775,,
2,VIC,24250,Mansfield (S),,,,
2,VIC,24780,Mildura (RC),10.8025,3.5195,,2.13675
2,VIC,24850,Mitchell (S),,,,
2,VIC,24900,Moira (S),,,,
2,VIC,25340,Mornington Peninsula (S),17.15725,12.71275,,
2,VIC,25430,Mount Alexander (S),,,,
2,VIC,25490,Moyne (S),19.27975,,,
2,VIC,25620,Murrindindi (S),5.50275,,,
2,VIC,25710,Nillumbik (S),,4.394,,
2,VIC,25810,Northern Grampians (S),29.9645,,,
2,VIC,26080,Queenscliffe (B),,,,
2,VIC,26170,South Gippsland (S),16.0205,2.28025,,
2,VIC,26260,Southern Grampians (S),3.21675,,,
2,VIC,26430,Strathbogie (S),,,,
2,VIC,26490,Surf Coast (S),30.78125,3.547,,
2,VIC,26610,Swan Hill (RC),2.59925,,,
2,VIC,26700,Wangaratta (RC),2.10275,,,
2,VIC,26730,Warrnambool (C),23.571,2.20425,,
2,VIC,26810,Wellington (S),5.48525,2.93725,,
2,VIC,27170,Wodonga (C),,,,
2,VIC,27450,Yarra Ranges (S),5.57425,9.88675,,
3,QLD,30370,Banana (S),2.99325,,,
3,QLD,31820,Bundaberg (R),26.0415,5.19575,,2.60125
3,QLD,31900,Burdekin (S),4.0395,,,
3,QLD,32080,Cairns (R),671.12725,28.106,15.158,11.09975
3,QLD,32260,Cassowary Coast (R),44.4715,,,
3,QLD,32270,Central Highlands (R) (Qld),5.684,1.759,,
3,QLD,32310,Charters Towers (R),4.34725,,,
3,QLD,32500,Cook (S),5.9025,,,
3,QLD,32810,Douglas (S),88.25425,2.5085,,1.40025
3,QLD,33220,Fraser Coast (R),122.45675,6.905,,1.34775
3,QLD,33360,Gladstone (R),39.8245,5.152,2.3855,5.72125
3,QLD,33430,Gold Coast (C),696.66675,120.42625,30.54625,27.42525
3,QLD,33610,Goondiwindi (R),,,,
3,QLD,33620,Gympie (R),46.1935,2.2245,,
3,QLD,33800,Hinchinbrook (S),3.22475,,,
3,QLD,33960,Ipswich (C),2.81425,12.79275,,
3,QLD,33980,Isaac (R),2.0525,,,
3,QLD,34530,Livingstone (S),11.9295,,,
3,QLD,34590,Logan (C),2.968,23.3645,,1.561
3,QLD,34770,Mackay (R),28.53125,8.67625,2.0695,1.66525
3,QLD,34860,Maranoa (R),3.07225,,,2.554
3,QLD,34880,Mareeba (S),7.87175,1.64725,,
3,QLD,35300,Mount Isa (C),8.32625,,,
3,QLD,35740,Noosa (S),119.685,10.99325,,2.211
3,QLD,36370,Rockhampton (R),41.5385,4.38025,1.499,1.34025
3,QLD,36510,Scenic Rim (R),8.94425,3.5795,,
3,QLD,36580,Somerset (R),,,,
3,QLD,36630,South Burnett (R),,,,
3,QLD,36660,Southern Downs (R),4.645,2.42425,,
3,QLD,36720,Sunshine Coast (R),69.0815,35.9135,3.663,4.43675
3,QLD,36820,Tablelands (R),11.77775,,,0.92025
3,QLD,36910,Toowoomba (R),6.84525,8.7635,2.3145,3.76675
3,QLD,37010,Townsville (C),86.1765,15.709,3.23925,5.3185
3,QLD,37310,Western Downs (R),3.5315,1.94675,,2.21825
3,QLD,37340,Whitsunday (R),203.55725,4.6225,,2.8885
4,SA,40120,Adelaide Hills (DC),,1.8975,,
4,SA,40220,Alexandrina (DC),2.49,1.81075,,
4,SA,40310,Barossa (DC),9.02675,,,
4,SA,40520,Berri and Barmera (DC),,,,
4,SA,41010,Ceduna (DC),4.15225,,,
4,SA,41140,Clare and Gilbert Valleys (DC),2.65175,,,
4,SA,41330,Coober Pedy (DC),18.83425,,,
4,SA,41560,Copper Coast (DC),,,,
4,SA,41830,Flinders Ranges (DC),5.2265,,,
4,SA,42750,Kangaroo Island (DC),38.33325,,,
4,SA,43790,Loxton Waikerie (DC),,,,
4,SA,44210,Mid Murray (DC),2.3795,,,
4,SA,44550,Mount Barker (DC),3.1215,1.445,,
4,SA,44620,Mount Gambier (C),18.3045,1.76875,,
4,SA,45040,Murray Bridge (RC),2.88125,,,
4,SA,46090,Port Augusta (C),10.1375,,,
4,SA,46300,Port Lincoln (C),6.01825,,,
4,SA,46450,Port Pirie City and Dists (M),1.55675,,,
4,SA,46670,Renmark Paringa (DC),2.20825,,,
4,SA,46860,Robe (DC),12.068,,,
4,SA,48050,Victor Harbor (C),8.658,,,
4,SA,48340,Wattle Range (DC),3.8435,,,
4,SA,48540,Whyalla (C),,,,
4,SA,48750,Yankalilla (DC),2.433,,,
4,SA,48830,Yorke Peninsula (DC),,,,
5,WA,50080,Albany (C),37.036,3.593,,
5,WA,50250,Ashburton (S),14.3555,,4.7335,6.25525
5,WA,50280,Augusta-Margaret River (S),71.99075,4.72075,,
5,WA,50980,Broome (S),25.67075,1.90425,2.0445,1.6385
5,WA,51190,Bunbury (C),13.079,5.81525,,
5,WA,51260,Busselton (C),32.801,6.1275,,
5,WA,51540,Carnarvon (S),24.53825,,,
5,WA,52590,Dandaragan (S),18.772,,,
5,WA,52730,Denmark (S),11.501,,,
5,WA,52800,Derby-West Kimberley (S),9.0625,,,
5,WA,53080,Dundas (S),5.04425,,,
5,WA,53220,East Pilbara (S),3.49,,,
5,WA,53290,Esperance (S),18.73075,,,
5,WA,53360,Exmouth (S),24.23975,,,
5,WA,53570,Gingin (S),6.75,,,
5,WA,53800,Greater Geraldton (C),22.72125,3.58275,,
5,WA,53920,Halls Creek (S),7.137,,,
5,WA,53990,Harvey (S),,,,
5,WA,54060,Irwin (S),3.84775,,,
5,WA,54280,Kalgoorlie/Boulder (C),8.64525,3.84925,,1.30525
5,WA,54310,Karratha (C),4.712,1.8985,3.35625,4.9645
5,WA,54620,Kondinin (S),6.494,,,
5,WA,55110,Mandurah (C),11.4225,11.74525,,
5,WA,55180,Manjimup (S),18.4865,,,
5,WA,56230,Murray (S),,,,
5,WA,56790,Northampton (S),25.21125,,,
5,WA,57280,Port Hedland (T),10.00875,1.395,2.34625,2.187
5,WA,57770,Shark Bay (S),28.4305,,,
5,WA,59340,Wyndham-East Kimberley (S),11.4385,,,
6,TAS,60210,Break O'Day (M),11.546,,,
6,TAS,60610,Burnie (C),4.95725,,,
6,TAS,60810,Central Coast (M) (Tas.),,,,
6,TAS,61010,Central Highlands (M) (Tas.),4.362,,,
6,TAS,61210,Circular Head (M),6.47225,,,
6,TAS,61610,Devonport (C),7.54925,,,
6,TAS,61810,Dorset (M),2.045,,,
6,TAS,62410,Glamorgan/Spring Bay (M),33.8885,,,
6,TAS,63010,Huon Valley (M),3.36025,,,
6,TAS,63210,Kentish (M),23.88,,,
6,TAS,63610,Kingborough (M),5.44475,,,
6,TAS,64010,Launceston (C),58.06525,8.067,1.98375,2.57025
6,TAS,64210,Meander Valley (M),2.95325,,,
6,TAS,64610,Northern Midlands (M),1.639,,,
6,TAS,65210,Tasman (M),16.808,,,
