State,StateName,lga_code_2016,lga_name_2016,Holiday (visitors '000),Visiting friends or relatives (visitors '000),Business (visitors '000),Other (visitors '000)
1,NSW,10050,Albury (C),383.437,310.41575,,
1,NSW,10130,Armidale Regional (A),,,,
1,NSW,10250,Ballina (A),303.02625,,,
1,NSW,10470,Bathurst Regional (A),414.1575,218.8165,,
1,NSW,10550,Bega Valley (A),512.6565,,,
1,NSW,10600,Bellingen (A),,,,
1,NSW,10650,Berrigan (A),,,,
1,NSW,10900,Blue Mountains (C),2061.2235,613.78175,,
1,NSW,11250,Broken Hill (C),,,,
1,NSW,11350,Byron (A),1225.07025,368.716,,
1,NSW,11650,Central Coast (C) (NSW),2081.33725,1889.703,250.86325,
1,NSW,11720,Cessnock (C),699.716,286.225,,
1,NSW,11730,Clarence Valley (A),458.52725,332.96475,,
1,NSW,11800,Coffs Harbour (C),779.81625,378.6575,,
1,NSW,12350,Cowra (A),,,,
1,NSW,12750,Eurobodalla (A),813.159,236.86825,,
1,NSW,12870,Federation (A),,,,
1,NSW,13010,Glen Innes Severn (A),,,,
1,NSW,13310,Goulburn Mulwaree (A),275.144,,,
1,NSW,13450,Griffith (C),,,,
1,NSW,13510,Gundagai (A),,,,
1,NSW,13800,Hawkesbury (C),493.779,289.4515,,
1,NSW,13910,Hilltops (A),200.144,,,
1,NSW,14200,Inverell (A),,,,
1,NSW,14350,Kempsey (A),290.6525,,,
1,NSW,14400,Kiama (A),719.80025,286.41275,,
1,NSW,14650,Lake Macquarie (C),468.7795,462.57075,,
1,NSW,14850,Lismore (C),270.63925,,,
1,NSW,14870,Lithgow (C),,,,
1,NSW,15050,Maitland (C),,258.93025,,
1,NSW,15240,Mid-Coast (A),1078.28975,571.788,,
1,NSW,15270,Mid-Western Regional (A),263.035,,,
1,NSW,15300,Moree Plains (A),,,,
1,NSW,15520,Murray River (A),,,,
1,NSW,15700,Nambucca (A),,,,
1,NSW,15750,Narrabri (A),,,,
1,NSW,15900,Newcastle (C),1238.00225,1244.3395,602.7995,514.1435
1,NSW,16150,Orange (C),268.61,259.9825,,
1,NSW,16200,Parkes (A),,,,
1,NSW,16380,Port Macquarie-Hastings (A),761.834,426.0105,,
1,NSW,16400,Port Stephens (A),869.56725,356.59775,,
1,NSW,16490,Queanbeyan-Palerang Regional (A),,194.41375,,
1,NSW,16610,Richmond Valley (A),,,,
1,NSW,16900,Shellharbour (C),,,,
1,NSW,16950,Shoalhaven (C),1640.141,664.33275,,
1,NSW,17000,Singleton (A),142.50225,,,
1,NSW,17040,Snowy Monaro Regional (A),761.74225,,,
1,NSW,17080,Snowy Valleys (A),217.542,,,
1,NSW,17310,Tamworth Regional (A),372.768,,,
1,NSW,17550,Tweed (A),871.39825,627.36475,,
1,NSW,17620,Upper Hunter Shire (A),,,,
1,NSW,17750,Wagga Wagga (C),449.571,331.1205,,304.4815
1,NSW,18020,Warrumbungle Shire (A),,,,
1,NSW,18230,Western Plains Regional (A),410.0535,,,
1,NSW,18350,Wingecarribee (A),679.34175,527.45775,,
1,NSW,18450,Wollongong (C),1761.561,1256.03125,373.58675,217.57075
1,NSW,18710,Yass Valley (A),167.32475,,,
2,VIC,20110,Alpine (S),399.01525,,,
2,VIC,20570,Ballarat (C),896.40275,813.5165,,237.74375
2,VIC,20740,Bass Coast (S),1412.94475,465.29125,,
2,VIC,20830,Baw Baw (S),,334.26825,,
2,VIC,21010,Benalla (RC),,,,
2,VIC,21370,Campaspe (S),526.54175,320.873,,
2,VIC,21450,Cardinia (S),,354.70825,,
2,VIC,21750,Colac-Otway (S),552.50775,,,
2,VIC,21830,Corangamite (S),210.6095,,,
2,VIC,22110,East Gippsland (S),615.29525,243.71375,,
2,VIC,22170,Frankston (C),,397.378,,
2,VIC,22410,Glenelg (S),210.451,,,
2,VIC,22620,Greater Bendigo (C),873.28375,830.9835,,
2,VIC,22750,Greater Geelong (C),1707.48375,1361.8555,354.679,375.8585
2,VIC,22830,Greater Shepparton (C),329.86975,326.99375,,
2,VIC,22910,Hepburn (S),676.7185,,,
2,VIC,23190,Horsham (RC),173.7335,,,
2,VIC,23350,Indigo (S),249.8955,,,
2,VIC,23810,Latrobe (C) (Vic.),,373.966,,
2,VIC,24130,Macedon Ranges (S),,358.51775,,
2,VIC,24250,Mansfield (S),,,,
2,VIC,24780,Mildura (RC),322.3025,,,
2,VIC,24850,Mitchell (S),,,,
2,VIC,24900,Moira (S),,,,
2,VIC,25340,Mornington Peninsula (S),2814.65725,1379.71275,,
2,VIC,25430,Mount Alexander (S),,,,
2,VIC,25490,Moyne (S),,,,
2,VIC,25620,Murrindindi (S),709.00275,,,
2,VIC,25710,Nillumbik (S),,167.144,,
2,VIC,25810,Northern Grampians (S),357.4645,,,
2,VIC,26080,Queenscliffe (B),,,,
2,VIC,26170,South Gippsland (S),494.2705,258.53025,,
2,VIC,26260,Southern Grampians (S),126.96675,,,
2,VIC,26430,Strathbogie (S),,,,
2,VIC,26490,Surf Coast (S),1372.53125,362.547,,
2,VIC,26610,Swan Hill (RC),,,,
2,VIC,26700,Wangaratta (RC),276.60275,,,
2,VIC,26730,Warrnambool (C),441.821,229.20425,,
2,VIC,26810,Wellington (S),406.98525,286.18725,,
2,VIC,27170,Wodonga (C),,,,
2,VIC,27450,Yarra Ranges (S),1604.07425,702.88675,,
3,QLD,30370,Banana (S),,,,
3,QLD,31820,Bundaberg (R),529.7915,285.19575,,
3,QLD,31900,Burdekin (S),,,,
3,QLD,32080,Cairns (R),1684.87725,414.606,334.158,264.59975
3,QLD,32260,Cassowary Coast (R),300.7215,,,
3,QLD,32270,Central Highlands (R) (Qld),264.934,,,
3,QLD,32310,Charters Towers (R),,,,
3,QLD,32500,Cook (S),,,,
3,QLD,32810,Douglas (S),540.75425,,,
3,QLD,33220,Fraser Coast (R),733.20675,409.155,,
3,QLD,33360,Gladstone (R),411.0745,,,
3,QLD,33430,Gold Coast (C),6537.66675,2594.42625,986.54625,589.67525
3,QLD,33610,Goondiwindi (R),,,,
3,QLD,33620,Gympie (R),600.9435,292.2245,,
3,QLD,33800,Hinchinbrook (S),,,,
3,QLD,33960,Ipswich (C),410.56425,488.79275,,
3,QLD,33980,Isaac (R),,,,
3,QLD,34530,Livingstone (S),283.4295,,,
3,QLD,34590,Logan (C),396.718,687.8645,,
3,QLD,34770,Mackay (R),486.28125,,,
3,QLD,34860,Maranoa (R),,,,
3,QLD,34880,Mareeba (S),,,,
3,QLD,35300,Mount Isa (C),,,,
3,QLD,35740,Noosa (S),1313.685,504.74325,,
3,QLD,36370,Rockhampton (R),460.5385,299.38025,,266.59025
3,QLD,36510,Scenic Rim (R),861.19425,280.0795,,
3,QLD,36580,Somerset (R),,,,
3,QLD,36630,South Burnett (R),,,,
3,QLD,36660,Southern Downs (R),435.895,274.42425,,
3,QLD,36720,Sunshine Coast (R),3590.8315,1694.1635,384.163,428.68675
3,QLD,36820,Tablelands (R),323.27775,,,
3,QLD,36910,Toowoomba (R),873.59525,955.2635,413.5645,426.76675
3,QLD,37010,Townsville (C),830.6765,563.959,,378.0685
3,QLD,37310,Western Downs (R),265.7815,,,
3,QLD,37340,Whitsunday (R),687.55725,,,
4,SA,40120,Adelaide Hills (DC),,140.6475,,
4,SA,40220,Alexandrina (DC),479.49,314.31075,,
4,SA,40310,Barossa (DC),497.52675,,,
4,SA,40520,Berri and Barmera (DC),,,,
4,SA,41010,Ceduna (DC),,,,
4,SA,41140,Clare and Gilbert Valleys (DC),157.65175,,,
4,SA,41330,Coober Pedy (DC),,,,
4,SA,41560,Copper Coast (DC),,,,
4,SA,41830,Flinders Ranges (DC),,,,
4,SA,42750,Kangaroo Island (DC),,,,
4,SA,43790,Loxton Waikerie (DC),,,,
4,SA,44210,Mid Murray (DC),339.1295,,,
4,SA,44550,Mount Barker (DC),392.8715,194.695,,
4,SA,44620,Mount Gambier (C),255.5545,,,
4,SA,45040,Murray Bridge (RC),307.38125,,,
4,SA,46090,Port Augusta (C),186.3875,,,
4,SA,46300,Port Lincoln (C),,,,
4,SA,46450,Port Pirie City and Dists (M),106.55675,,,
4,SA,46670,Renmark Paringa (DC),,,,
4,SA,46860,Robe (DC),,,,
4,SA,48050,Victor Harbor (C),821.158,,,
4,SA,48340,Wattle Range (DC),96.0935,,,
4,SA,48540,Whyalla (C),,,,
4,SA,48750,Yankalilla (DC),223.683,,,
4,SA,48830,Yorke Peninsula (DC),,,,
5,WA,50080,Albany (C),374.286,,,
5,WA,50250,Ashburton (S),,,,
5,WA,50280,Augusta-Margaret River (S),751.74075,,,
5,WA,50980,Broome (S),,,,
5,WA,51190,Bunbury (C),573.329,422.56525,,
5,WA,51260,Busselton (C),954.801,364.8775,,
5,WA,51540,Carnarvon (S),,,,
