State,StateName,lga_code_2016,lga_name_2016,Unaccompanied (nights '000),Couple (nights '000),Family group (nights '000),Friends/relatives travelling together (nights '000)
1,NSW,10050,Albury (C),,,,
1,NSW,10130,Armidale Regional (A),,,,
1,NSW,10250,Ballina (A),,,,
1,NSW,10470,Bathurst Regional (A),,,,
1,NSW,10550,Bega Valley (A),,,,
1,NSW,10600,Bellingen (A),,,,
1,NSW,10650,Berrigan (A),,,,
1,NSW,10900,Blue Mountains (C),,,,
1,NSW,11250,Broken Hill (C),,,,
1,NSW,11350,Byron (A),,,,
1,NSW,11650,Central Coast (C) (NSW),,,,
1,NSW,11720,Cessnock (C),,,,
1,NSW,11730,Clarence Valley (A),,,,
1,NSW,11800,Coffs Harbour (C),,,,
1,NSW,12350,Cowra (A),,,,
1,NSW,12750,Eurobodalla (A),,,,
1,NSW,12870,Federation (A),,,,
1,NSW,13010,Glen Innes Severn (A),,,,
1,NSW,13310,Goulburn Mulwaree (A),,,,
1,NSW,13450,Griffith (C),,,,
1,NSW,13510,Gundagai (A),,,,
1,NSW,13800,Hawkesbury (C),,,,
1,NSW,13910,Hilltops (A),,,,
1,NSW,14200,Inverell (A),,,,
1,NSW,14350,Kempsey (A),,,,
1,NSW,14400,Kiama (A),,,,
1,NSW,14650,Lake Macquarie (C),,,,
1,NSW,14850,Lismore (C),,,,
1,NSW,14870,Lithgow (C),,,,
1,NSW,15050,Maitland (C),,,,
1,NSW,15240,Mid-Coast (A),,,,
1,NSW,15270,Mid-Western Regional (A),,,,
1,NSW,15300,Moree Plains (A),,,,
1,NSW,15520,Murray River (A),,,,
1,NSW,15700,Nambucca (A),,,,
1,NSW,15750,Narrabri (A),,,,
1,NSW,15900,Newcastle (C),,,,
1,NSW,16150,Orange (C),,,,
1,NSW,16200,Parkes (A),,,,
1,NSW,16380,Port Macquarie-Hastings (A),,,,
1,NSW,16400,Port Stephens (A),,,,
1,NSW,16490,Queanbeyan-Palerang Regional (A),,,,
1,NSW,16610,Richmond Valley (A),,,,
1,NSW,16900,Shellharbour (C),,,,
1,NSW,16950,Shoalhaven (C),,,,
1,NSW,17000,Singleton (A),,,,
1,NSW,17040,Snowy Monaro Regional (A),,,,
1,NSW,17080,Snowy Valleys (A),,,,
1,NSW,17310,Tamworth Regional (A),,,,
1,NSW,17550,Tweed (A),,,,
1,NSW,17620,Upper Hunter Shire (A),,,,
1,NSW,17750,Wagga Wagga (C),,,,
1,NSW,18020,Warrumbungle Shire (A),,,,
1,NSW,18230,Western Plains Regional (A),,,,
1,NSW,18350,Wingecarribee (A),,,,
1,NSW,18450,Wollongong (C),,,,
1,NSW,18710,Yass Valley (A),,,,
2,VIC,20110,Alpine (S),,,,
2,VIC,20570,Ballarat (C),,,,
2,VIC,20740,Bass Coast (S),,,,
2,VIC,20830,Baw Baw (S),,,,
2,VIC,21010,Benalla (RC),,,,
2,VIC,21370,Campaspe (S),,,,
2,VIC,21450,Cardinia (S),,,,
2,VIC,21750,Colac-Otway (S),,,,
2,VIC,21830,Corangamite (S),,,,
2,VIC,22110,East Gippsland (S),,,,
2,VIC,22170,Frankston (C),,,,
2,VIC,22410,Glenelg (S),,,,
2,VIC,22620,Greater Bendigo (C),,,,
2,VIC,22750,Greater Geelong (C),,,,
2,VIC,22830,Greater Shepparton (C),,,,
2,VIC,22910,Hepburn (S),,,,
2,VIC,23190,Horsham (RC),,,,
2,VIC,23350,Indigo (S),,,,
2,VIC,23810,Latrobe (C) (Vic.),,,,
2,VIC,24130,Macedon Ranges (S),,,,
2,VIC,24250,Mansfield (S),,,,
2,VIC,24780,Mildura (RC),,,,
2,VIC,24850,Mitchell (S),,,,
2,VIC,24900,Moira (S),,,,
2,VIC,25340,Mornington Peninsula (S),,,,
2,VIC,25430,Mount Alexander (S),,,,
2,VIC,25490,Moyne (S),,,,
2,VIC,25620,Murrindindi (S),,,,
2,VIC,25710,Nillumbik (S),,,,
2,VIC,25810,Northern Grampians (S),,,,
2,VIC,26080,Queenscliffe (B),,,,
2,VIC,26170,South Gippsland (S),,,,
2,VIC,26260,Southern Grampians (S),,,,
2,VIC,26430,Strathbogie (S),,,,
2,VIC,26490,Surf Coast (S),,,,
2,VIC,26610,Swan Hill (RC),,,,
2,VIC,26700,Wangaratta (RC),,,,
2,VIC,26730,Warrnambool (C),,,,
2,VIC,26810,Wellington (S),,,,
2,VIC,27170,Wodonga (C),,,,
2,VIC,27450,Yarra Ranges (S),,,,
3,QLD,30370,Banana (S),,,,
3,QLD,31820,Bundaberg (R),,,,
3,QLD,31900,Burdekin (S),,,,
3,QLD,32080,Cairns (R),,,,
3,QLD,32260,Cassowary Coast (R),,,,
3,QLD,32270,Central Highlands (R) (Qld),,,,
3,QLD,32310,Charters Towers (R),,,,
3,QLD,32500,Cook (S),,,,
3,QLD,32810,Douglas (S),,,,
3,QLD,33220,Fraser Coast (R),,,,
3,QLD,33360,Gladstone (R),,,,
3,QLD,33430,Gold Coast (C),,,,
3,QLD,33610,Goondiwindi (R),,,,
3,QLD,33620,Gympie (R),,,,
3,QLD,33800,Hinchinbrook (S),,,,
3,QLD,33960,Ipswich (C),,,,
3,QLD,33980,Isaac (R),,,,
3,QLD,34530,Livingstone (S),,,,
3,QLD,34590,Logan (C),,,,
3,QLD,34770,Mackay (R),,,,
3,QLD,34860,Maranoa (R),,,,
3,QLD,34880,Mareeba (S),,,,
3,QLD,35300,Mount Isa (C),,,,
3,QLD,35740,Noosa (S),,,,
3,QLD,36370,Rockhampton (R),,,,
3,QLD,36510,Scenic Rim (R),,,,
3,QLD,36580,Somerset (R),,,,
3,QLD,36630,South Burnett (R),,,,
3,QLD,36660,Southern Downs (R),,,,
3,QLD,36720,Sunshine Coast (R),,,,
3,QLD,36820,Tablelands (R),,,,
3,QLD,36910,Toowoomba (R),,,,
3,QLD,37010,Townsville (C),,,,
3,QLD,37310,Western Downs (R),,,,
3,QLD,37340,Whitsunday (R),,,,
4,SA,40120,Adelaide Hills (DC),,,,
4,SA,40220,Alexandrina (DC),,,,
4,SA,40310,Barossa (DC),,,,
4,SA,40520,Berri and Barmera (DC),,,,
4,SA,41010,Ceduna (DC),,,,
4,SA,41140,Clare and Gilbert Valleys (DC),,,,
4,SA,41330,Coober Pedy (DC),,,,
4,SA,41560,Copper Coast (DC),,,,
4,SA,41830,Flinders Ranges (DC),,,,
4,SA,42750,Kangaroo Island (DC),,,,
4,SA,43790,Loxton Waikerie (DC),,,,
4,SA,44210,Mid Murray (DC),,,,
4,SA,44550,Mount Barker (DC),,,,
4,SA,44620,Mount Gambier (C),,,,
4,SA,45040,Murray Bridge (RC),,,,
4,SA,46090,Port Augusta (C),,,,
4,SA,46300,Port Lincoln (C),,,,
4,SA,46450,Port Pirie City and Dists (M),,,,
4,SA,46670,Renmark Paringa (DC),,,,
4,SA,46860,Robe (DC),,,,
4,SA,48050,Victor Harbor (C),,,,
4,SA,48340,Wattle Range (DC),,,,
4,SA,48540,Whyalla (C),,,,
4,SA,48750,Yankalilla (DC),,,,
4,SA,48830,Yorke Peninsula (DC),,,,
5,WA,50080,Albany (C),,,,
5,WA,50250,Ashburton (S),,,,
5,WA,50280,Augusta-Margaret River (S),,,,
5,WA,50980,Broome (S),,,,
5,WA,51190,Bunbury (C),,,,
5,WA,51260,Busselton (C),,,,
5,WA,51540,Carnarvon (S),,,,
5,WA,52590,Dandaragan (S),,,,
5,WA,52730,Denmark (S),,,,
5,WA,52800,Derby-West Kimberley (S),,,,
5,WA,53080,Dundas (S),,,,
5,WA,53220,East Pilbara (S),,,,
5,WA,53290,Esperance (S),,,,
5,WA,53360,Exmouth (S),,,,
5,WA,53570,Gingin (S),,,,
5,WA,53800,Greater Geraldton (C),,,,
5,WA,53920,Halls Creek (S),,,,
5,WA,53990,Harvey (S),,,,
5,WA,54060,Irwin (S),,,,
5,WA,54280,Kalgoorlie/Boulder (C),,,,
5,WA,54310,Karratha (C),,,,
5,WA,54620,Kondinin (S),,,,
5,WA,55110,Mandurah (C),,,,
5,WA,55180,Manjimup (S),,,,
5,WA,56230,Murray (S),,,,
5,WA,56790,Northampton (S),,,,
5,WA,57280,Port Hedland (T),,,,
5,WA,57770,Shark Bay (S),,,,
5,WA,59340,Wyndham-East Kimberley (S),,,,
6,TAS,60210,Break O'Day (M),,,,
6,TAS,60610,Burnie (C),,,,
6,TAS,60810,Central Coast (M) (Tas.),,,,
6,TAS,61010,Central Highlands (M) (Tas.),,,,
6,TAS,61210,Circular Head (M),,,,
6,TAS,61610,Devonport (C),,,,
6,TAS,61810,Dorset (M),,,,
6,TAS,62410,Glamorgan/Spring Bay (M),,,,
6,TAS,63010,Huon Valley (M),,,,
6,TAS,63210,Kentish (M),,,,
6,TAS,63610,Kingborough (M),,,,
6,TAS,64010,Launceston (C),,,,
6,TAS,64210,Meander Valley (M),,,,
6,TAS,64610,Northern Midlands (M),,,,
6,TAS,65210,Tasman (M),,,,
6,TAS,65410,Waratah/Wynyard (M),,,,
6,TAS,65610,West Coast (M),,,,
6,TAS,65810,West Tamar (M),,,,
7,NT,70200,Alice Springs (T),,,,
7,NT,70420,Barkly (R),,,,
7,NT,70700,Coomalie (S),,,,
7,NT,72200,Katherine (T),,,,
7,NT,72330,MacDonnell (R),,,,
7,NT,73600,Roper Gulf (R),,,,
7,NT,74550,Victoria Daly (R),,,,
7,NT,74660,West Arnhem (R),,,,
