State,StateName,lga_code_2016,lga_name_2016,Unaccompanied (visitors '000),Couple (visitors '000),Family group (visitors '000),Friends/relatives travelling together (visitors '000)
1,NSW,10050,Albury (C),141.8985,144.094,,
1,NSW,10130,Armidale Regional (A),75.70925,83.69525,,
1,NSW,10250,Ballina (A),85.264,116.184,,62.03325
1,NSW,10470,Bathurst Regional (A),87.0785,,,
1,NSW,10550,Bega Valley (A),84.43175,183.174,123.2445,104.65475
1,NSW,10600,Bellingen (A),,,,
1,NSW,10650,Berrigan (A),,,,
1,NSW,10900,Blue Mountains (C),160.681,246.56475,131.66375,185.25175
1,NSW,11250,Broken Hill (C),37.76175,47.87075,,
1,NSW,11350,Byron (A),219.2475,231.528,123.75475,297.66
1,NSW,11650,Central Coast (C) (NSW),314.0135,382.9675,288.12175,278.65075
1,NSW,11720,Cessnock (C),61.08475,147.6485,,
1,NSW,11730,Clarence Valley (A),108.99975,153.706,,102.42675
1,NSW,11800,Coffs Harbour (C),189.82225,259.46925,179.8835,159.2115
1,NSW,12350,Cowra (A),,,,
1,NSW,12750,Eurobodalla (A),84.0865,235.73675,181.41575,179.85
1,NSW,12870,Federation (A),,,,
1,NSW,13010,Glen Innes Severn (A),,,,
1,NSW,13310,Goulburn Mulwaree (A),68.303,,,
1,NSW,13450,Griffith (C),51.152,,,
1,NSW,13510,Gundagai (A),,,,
1,NSW,13800,Hawkesbury (C),51.1905,57.512,,
1,NSW,13910,Hilltops (A),34.73625,,,
1,NSW,14200,Inverell (A),,,,
1,NSW,14350,Kempsey (A),54.9695,108.20325,,61.56275
1,NSW,14400,Kiama (A),44.8685,91.68625,,84.6725
1,NSW,14650,Lake Macquarie (C),97.6585,112.14175,,
1,NSW,14850,Lismore (C),69.23975,37.30225,,33.5485
1,NSW,14870,Lithgow (C),,,,
1,NSW,15050,Maitland (C),53.82175,,,
1,NSW,15240,Mid-Coast (A),167.87,328.42475,,233.74325
1,NSW,15270,Mid-Western Regional (A),54.96425,,,
1,NSW,15300,Moree Plains (A),41.68225,,,
1,NSW,15520,Murray River (A),,,,
1,NSW,15700,Nambucca (A),36.74925,,,
1,NSW,15750,Narrabri (A),,,,
1,NSW,15900,Newcastle (C),447.721,254.86025,170.32575,171.60975
1,NSW,16150,Orange (C),100.964,,,
1,NSW,16200,Parkes (A),,,,
1,NSW,16380,Port Macquarie-Hastings (A),181.349,264.74025,167.425,137.76325
1,NSW,16400,Port Stephens (A),88.35675,223.39,168.03025,166.94975
1,NSW,16490,Queanbeyan-Palerang Regional (A),63.9315,,,
1,NSW,16610,Richmond Valley (A),,,,
1,NSW,16900,Shellharbour (C),,,,
1,NSW,16950,Shoalhaven (C),161.319,390.90275,343.67925,301.3555
1,NSW,17000,Singleton (A),46.163,,,
1,NSW,17040,Snowy Monaro Regional (A),95.979,131.49825,,213.63025
1,NSW,17080,Snowy Valleys (A),34.344,,,
1,NSW,17310,Tamworth Regional (A),129.349,144.19925,,
1,NSW,17550,Tweed (A),121.5225,199.90275,,117.32475
1,NSW,17620,Upper Hunter Shire (A),,,,
1,NSW,17750,Wagga Wagga (C),154.556,137.75775,,
1,NSW,18020,Warrumbungle Shire (A),,,,
1,NSW,18230,Western Plains Regional (A),150.51275,145.6015,,
1,NSW,18350,Wingecarribee (A),86.161,131.493,,
1,NSW,18450,Wollongong (C),221.10175,161.31075,152.81225,136.608
1,NSW,18710,Yass Valley (A),,,,
2,VIC,20110,Alpine (S),30.2425,,,
2,VIC,20570,Ballarat (C),180.761,174.74625,103.25025,82.24075
2,VIC,20740,Bass Coast (S),113.216,255.76325,210.07475,221.04125
2,VIC,20830,Baw Baw (S),48.7035,,,
