DATE,LGA_CODE,LGA Name,"Agriculture, forestry and fishing (%)",Mining (%),Manufacturing  (%),"Electricity, Gas, Water & Waste Services (%)",Construction (%),Wholesale trade (%),Retail trade (%),Accommodation and food services (%),"Transport, Postal and Warehousing (%)",Information media and telecommunications (%),Financial and insurance services (%),"Rental, Hiring, & Real Estate Services (%)",Professional Scientific & Technical Services (%),Administrative and support services (%),Public administration and safety (%),Education and training (%),Health care and social assistance (%),Arts and recreation services (%),Other services (%),Total persons employed (no.)
2011,10050,Albury (C),1,0.2,12.6,0.8,8.6,3.3,12.6,7.9,4.2,1.3,2.1,1.3,4.5,2.8,7.5,8.7,13.7,1,4,22434
2011,10130,Armidale Regional (A),10.3,0.5,3.3,0.8,5.7,2.4,11.9,8.1,2.2,0.9,2.6,1.1,5.4,2.3,5.1,18.7,12.4,1,3.4,12193
2011,10250,Ballina (A),4.3,0.5,5.8,0.9,9.1,2.7,13,9,2.9,1.3,2.3,1.8,5.1,3,5.7,10.5,15.4,1.4,3.7,16590
2011,10300,Balranald (A),31.1,0.4,4.7,2,5.5,1.8,9.5,7.1,4.6,0.5,1.6,0.7,1.5,1.8,5.2,5.1,9.9,1.3,2.4,1028
2011,10470,Bathurst Regional (A),3.9,1.8,10.8,2.2,7,2.2,11.1,7.4,4.1,1.7,1.4,1.3,3.7,2.6,8.5,12.1,11.7,1,3.8,17531
2011,10500,Bayside (A),0.1,0.1,7.1,0.7,6.1,5,10.1,8.3,9.6,2.4,6.2,1.8,7.5,4.3,5.8,6,10.7,1.6,3.8,63353
2011,10550,Bega Valley (A),6.6,0.2,9.3,1.1,8.7,2.8,12.3,11.1,4.1,0.8,1.5,1.4,4.3,2.6,5.2,7.8,13.1,1.5,3.4,13041
2011,10600,Bellingen (A),7.6,0.4,6.9,0.9,8.5,2.4,10.5,8.7,3.1,0.9,1.3,1.2,4.8,3.2,5.5,11.4,15,1.7,3.2,4778
2011,10650,Berrigan (A),18.9,0.1,8.5,1.6,6.7,2.5,10.2,8.8,5.8,0.3,0.9,0.7,2.7,2,3.7,7.3,11.8,0.8,3.8,3412
2011,10750,Blacktown (C),0.5,0.1,12.7,1.2,7,6.3,10.8,5.3,7.5,1.9,5.8,1.2,5.5,3.3,6.2,5.7,11.4,1,3.8,133790
2011,10800,Bland (A),28.2,9.3,3.5,0.7,4.2,3.2,9,6.1,5.6,0.3,1,0.3,2.3,1.4,5.5,6.9,5.9,0.5,3.5,2695
