Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
1510458,Broadacre crops - All other crops n.e.c.,2372265.68,*,2135153.16,*,101,Central Tablelands
1510458,Broadacre crops - All other crops n.e.c.,8342989.43,^,7509091.6,^,102,Central West
1510458,Broadacre crops - All other crops n.e.c.,14395.88,*,12956.99,*,103,Greater Sydney
1510458,Broadacre crops - All other crops n.e.c.,896940.91,*,807289.94,*,104,Hunter
1510458,Broadacre crops - All other crops n.e.c.,1814343.74,*,1632996.59,*,105,Murray
1510458,Broadacre crops - All other crops n.e.c.,367433.75,*,330708.04,*,106,North Coast
1510458,Broadacre crops - All other crops n.e.c.,7413349.82,^,6672371.25,^,108,North West NSW
1510458,Broadacre crops - All other crops n.e.c.,2044523.2,^,1840169.17,^,109,Northern Tablelands
1510458,Broadacre crops - All other crops n.e.c.,3215156.66,*,2893795.57,*,110,Riverina
1510458,Broadacre crops - All other crops n.e.c.,2349187.9,*,2114382.05,*,111,South East NSW
1510458,Broadacre crops - All other crops n.e.c.,178892.01,**,161011.41,**,112,Western
1510458,Broadacre crops - All other crops n.e.c.,1657361.73,*,1268105.11,*,201,Corangamite
1510458,Broadacre crops - All other crops n.e.c.,81192.67,,62123.34,,202,East Gippsland
1510458,Broadacre crops - All other crops n.e.c.,178303.44,**,136426.16,**,203,Glenelg Hopkins
1510458,Broadacre crops - All other crops n.e.c.,163849.34,**,125366.83,**,204,Goulburn Broken
1510458,Broadacre crops - All other crops n.e.c.,725605.86,**,555186.28,**,205,Mallee
1510458,Broadacre crops - All other crops n.e.c.,8663510.94,*,6628753.58,*,206,North Central
1510458,Broadacre crops - All other crops n.e.c.,220354.89,*,168601.19,*,207,North East
1510458,Broadacre crops - All other crops n.e.c.,147654.92,**,112975.91,**,208,Port Phillip and Western Port
1510458,Broadacre crops - All other crops n.e.c.,85953.95,*,65766.36,*,209,West Gippsland
1510458,Broadacre crops - All other crops n.e.c.,1870240.08,**,1430985.74,**,210,Wimmera
1510458,Broadacre crops - All other crops n.e.c.,474017.36,*,426638.42,*,301,Burnett Mary
1510458,Broadacre crops - All other crops n.e.c.,28018.67,*,25218.15,*,302,Cape York
1510458,Broadacre crops - All other crops n.e.c.,4313390,^,3882258.38,^,303,Condamine
1510458,Broadacre crops - All other crops n.e.c.,109101.46,**,98196.56,**,304,Cooperative Management Area
1510458,Broadacre crops - All other crops n.e.c.,15952.7,^,14358.19,^,305,Desert Channels
1510458,Broadacre crops - All other crops n.e.c.,940782.95,*,846749.88,*,306,Fitzroy Basin
1510458,Broadacre crops - All other crops n.e.c.,30132.87,^,27121.03,^,307,North Queensland Dry Tropics
1510458,Broadacre crops - All other crops n.e.c.,65520,,58971.15,,308,Northern Gulf
1510458,Broadacre crops - All other crops n.e.c.,14164863.7,*,12749058.33,*,309,Queensland Murray Darling Basin
1510458,Broadacre crops - All other crops n.e.c.,64486.12,**,58040.61,**,311,South East Queensland
1510458,Broadacre crops - All other crops n.e.c.,118206.78,*,106391.78,*,314,Terrain NRM
1510458,Broadacre crops - All other crops n.e.c.,120895.62,**,108811.87,**,401,Adelaide and Mount Lofty Ranges
1510458,Broadacre crops - All other crops n.e.c.,3382699.58,**,3044592.25,**,403,Eyre Peninsula
1510458,Broadacre crops - All other crops n.e.c.,79446.72,,71505.86,,404,Kangaroo Island
1510458,Broadacre crops - All other crops n.e.c.,1537670.53,*,1383977.4,*,405,Northern and Yorke
1510458,Broadacre crops - All other crops n.e.c.,131872,,118691.14,,406,South Australian Arid Lands
1510458,Broadacre crops - All other crops n.e.c.,4436002.89,**,3992615.87,**,407,South Australian Murray Darling Basin
1510458,Broadacre crops - All other crops n.e.c.,1245721.01,*,1121208.8,*,408,South East
1510458,Broadacre crops - All other crops n.e.c.,954911.98,**,859466.69,**,501,Northern Agricultural
1510458,Broadacre crops - All other crops n.e.c.,763034.4,*,686767.64,*,502,Peel-Harvey
1510458,Broadacre crops - All other crops n.e.c.,306176,,275573.12,,504,Rangelands
1510458,Broadacre crops - All other crops n.e.c.,169033.5,**,152138.28,**,505,South Coast
1510458,Broadacre crops - All other crops n.e.c.,1333971.17,**,1200638.18,**,506,South West
1510458,Broadacre crops - All other crops n.e.c.,9287973.13,^,8359185.49,^,601,Cradle Coast
1510458,Broadacre crops - All other crops n.e.c.,,,,,602,North
1510458,Broadacre crops - All other crops n.e.c.,,,,,603,South
1510458,Broadacre crops - All other crops n.e.c.,1001611.98,^,901451.66,^,701,Northern Territory
1510458,Broadacre crops - All other crops n.e.c.,,,,,801,ACT
