Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRMR_Code,NRMR name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,20904294.43,^,19848088.66,^,Broadacre crops,Canola,101,Central Tablelands,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,132261649.2,^,125579026.3,^,Broadacre crops,Canola,102,Central West,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,352939.24,,335106.71,,Broadacre crops,Canola,103,Greater Sydney,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,1554801.54,*,1476243.98,*,Broadacre crops,Canola,104,Hunter,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,182394186.9,,173178578.5,,Broadacre crops,Canola,105,Murray,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,39737870.61,^,37730083.74,^,Broadacre crops,Canola,108,North West NSW,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,2234990.13,**,2122065.51,**,Broadacre crops,Canola,109,Northern Tablelands,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,288687381.5,,274101226.6,,Broadacre crops,Canola,110,Riverina,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,11334920.17,*,10762214.5,*,Broadacre crops,Canola,111,South East NSW,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,2967024.18,**,2817112.97,**,Broadacre crops,Canola,112,Western,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,44089220.12,^,42040577.45,^,Broadacre crops,Canola,201,Corangamite,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,448595.71,**,427751.34,**,Broadacre crops,Canola,202,East Gippsland,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,73733718.32,^,70307619.14,^,Broadacre crops,Canola,203,Glenelg Hopkins,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,40255417,^,38384915.22,^,Broadacre crops,Canola,204,Goulburn Broken,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,29142001.93,*,27787894.32,*,Broadacre crops,Canola,205,Mallee,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,85299746.21,^,81336221.83,^,Broadacre crops,Canola,206,North Central,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,4223426.52,*,4027181.46,*,Broadacre crops,Canola,207,North East,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,4860182.36,*,4634349.9,*,Broadacre crops,Canola,208,Port Phillip and Western Port,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,2169344.92,*,2068544.49,*,Broadacre crops,Canola,209,West Gippsland,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,57353071.01,^,54688112.37,^,Broadacre crops,Canola,210,Wimmera,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,15727.43,*,14823.67,*,Broadacre crops,Canola,311,South East Queensland,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,3088243.46,^,2993659.26,^,Broadacre crops,Canola,401,Adelaide and Mount Lofty Ranges,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,93866673.05,,90991801.25,,Broadacre crops,Canola,403,Eyre Peninsula,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,2325193.82,^,2253979.69,^,Broadacre crops,Canola,404,Kangaroo Island,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,46422917.62,^,45001114.42,^,Broadacre crops,Canola,405,Northern and Yorke,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,32684483.74,^,31683450.07,^,Broadacre crops,Canola,407,South Australian Murray Darling Basin,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,29937961.82,^,29021046.38,^,Broadacre crops,Canola,408,South East,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,296746708.8,,286459941.8,,Broadacre crops,Canola,501,Northern Agricultural,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,33536393.92,^,32373850.04,^,Broadacre crops,Canola,502,Peel-Harvey,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,183721.14,^,177352.42,^,Broadacre crops,Canola,503,Perth,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,603355.06,,582439.67,,Broadacre crops,Canola,504,Rangelands,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,347301913.6,,335262643.2,,Broadacre crops,Canola,505,South Coast,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,110521665.9,^,106690416.6,^,Broadacre crops,Canola,506,South West,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,389114163.7,,375625465.7,,Broadacre crops,Canola,507,Wheatbelt,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,96712.17,*,94068.21,*,Broadacre crops,Canola,601,Cradle Coast,,,
1900958,Broadacre crops - Non-cereal crops - Oilseeds - Canola,1618291.97,^,1574050.29,^,Broadacre crops,Canola,602,North,,,
