Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
1505358,Broadacre crops - Cereal crops - Maize for grain,989326.97,**,902732.43,**,102,Central West
1505358,Broadacre crops - Cereal crops - Maize for grain,18208.29,**,16614.54,**,104,Hunter
1505358,Broadacre crops - Cereal crops - Maize for grain,22756098.7,^,20764285.95,^,105,Murray
1505358,Broadacre crops - Cereal crops - Maize for grain,1479600.17,*,1350092.63,*,106,North Coast
1505358,Broadacre crops - Cereal crops - Maize for grain,8317048.4,^,7589067.6,^,108,North West NSW
1505358,Broadacre crops - Cereal crops - Maize for grain,2526435.22,^,2305299.51,^,109,Northern Tablelands
1505358,Broadacre crops - Cereal crops - Maize for grain,26896528.89,^,24542309.49,^,110,Riverina
1505358,Broadacre crops - Cereal crops - Maize for grain,926541.56,**,845442.54,**,111,South East NSW
1505358,Broadacre crops - Cereal crops - Maize for grain,1569991.54,**,1459975.61,**,201,Corangamite
1505358,Broadacre crops - Cereal crops - Maize for grain,1193484.45,*,1109851.95,*,202,East Gippsland
1505358,Broadacre crops - Cereal crops - Maize for grain,1432465.19,**,1332086.31,**,203,Glenelg Hopkins
1505358,Broadacre crops - Cereal crops - Maize for grain,11950046.1,**,11112655.94,**,204,Goulburn Broken
1505358,Broadacre crops - Cereal crops - Maize for grain,423214.12,^,393557.72,^,205,Mallee
1505358,Broadacre crops - Cereal crops - Maize for grain,2770819.12,,2576656.13,,206,North Central
1505358,Broadacre crops - Cereal crops - Maize for grain,223162.37,**,207524.44,**,207,North East
1505358,Broadacre crops - Cereal crops - Maize for grain,4464570.85,^,4151719.53,^,208,Port Phillip and Western Port
1505358,Broadacre crops - Cereal crops - Maize for grain,547637.68,,509262.39,,209,West Gippsland
1505358,Broadacre crops - Cereal crops - Maize for grain,3546500.03,*,3181614.41,*,301,Burnett Mary
1505358,Broadacre crops - Cereal crops - Maize for grain,22036280.49,^,19769053.1,^,303,Condamine
1505358,Broadacre crops - Cereal crops - Maize for grain,9891163.73,*,8873500.28,*,306,Fitzroy Basin
1505358,Broadacre crops - Cereal crops - Maize for grain,1074581.81,*,964022.26,*,307,North Queensland Dry Tropics
1505358,Broadacre crops - Cereal crops - Maize for grain,1687177.39,*,1513590.26,*,309,Queensland Murray Darling Basin
1505358,Broadacre crops - Cereal crops - Maize for grain,88039.87,**,78981.79,**,310,Reef Catchments
1505358,Broadacre crops - Cereal crops - Maize for grain,1973284.24,*,1770260.68,*,311,South East Queensland
1505358,Broadacre crops - Cereal crops - Maize for grain,4935662.47,*,4427851.31,*,314,Terrain NRM
1505358,Broadacre crops - Cereal crops - Maize for grain,175265.55,,175265.55,,407,South Australian Murray Darling Basin
1505358,Broadacre crops - Cereal crops - Maize for grain,4897985.72,,4598219.71,,504,Rangelands
1505358,Broadacre crops - Cereal crops - Maize for grain,486202.52,^,456446,^,506,South West
1505358,Broadacre crops - Cereal crops - Maize for grain,144481.3,**,136581.06,**,601,Cradle Coast
1505358,Broadacre crops - Cereal crops - Maize for grain,200448.58,**,189488.04,**,602,North
1505358,Broadacre crops - Cereal crops - Maize for grain,168378.11,*,151054.34,*,701,Northern Territory
1505358,Broadacre crops - Cereal crops - Maize for grain,1569991.54,**,1459975.61,**,201,Corangamite
