Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRMR_Code,NRMR name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
1500858,Broadacre crops - Cereal crops - Oats for grain,8030884.5,^,7203165.4,^,Broadacre crops,Oats for grain,101,Central Tablelands,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,49170907.15,^,44103009.76,^,Broadacre crops,Oats for grain,102,Central West,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,40202.11,,36058.6,,Broadacre crops,Oats for grain,103,Greater Sydney,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,1683842.66,**,1510294.06,**,Broadacre crops,Oats for grain,104,Hunter,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,18247841.65,^,16367091.54,^,Broadacre crops,Oats for grain,105,Murray,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,20581.07,,18459.84,,Broadacre crops,Oats for grain,106,North Coast,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,11451861.13,^,10271552.27,^,Broadacre crops,Oats for grain,108,North West NSW,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,1154808.36,*,1035785.74,*,Broadacre crops,Oats for grain,109,Northern Tablelands,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,38441186.25,,34479168.89,,Broadacre crops,Oats for grain,110,Riverina,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,1771664.45,*,1589064.33,*,Broadacre crops,Oats for grain,111,South East NSW,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,2829272.92,*,2537668.28,*,Broadacre crops,Oats for grain,112,Western,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,11577410.15,^,10502524.38,^,Broadacre crops,Oats for grain,201,Corangamite,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,6785.53,**,6155.54,**,Broadacre crops,Oats for grain,202,East Gippsland,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,21561294.26,^,19559471.04,^,Broadacre crops,Oats for grain,203,Glenelg Hopkins,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,3836267.66,*,3480095.64,*,Broadacre crops,Oats for grain,204,Goulburn Broken,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,12633629.35,*,11460680.63,*,Broadacre crops,Oats for grain,205,Mallee,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,52414659.88,^,47548306.22,^,Broadacre crops,Oats for grain,206,North Central,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,1055279.92,*,957304.17,*,Broadacre crops,Oats for grain,207,North East,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,33215.91,**,30132.04,**,Broadacre crops,Oats for grain,208,Port Phillip and Western Port,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,1350.95,,1225.52,,Broadacre crops,Oats for grain,209,West Gippsland,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,30081978.12,^,27289065.89,^,Broadacre crops,Oats for grain,210,Wimmera,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,43079.47,,38305.89,,Broadacre crops,Oats for grain,301,Burnett Mary,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,1839301.63,^,1635490.81,^,Broadacre crops,Oats for grain,303,Condamine,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,18112.96,^,16105.88,^,Broadacre crops,Oats for grain,305,Desert Channels,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,155278.32,*,138072.11,*,Broadacre crops,Oats for grain,306,Fitzroy Basin,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,14060871.02,*,12502802.63,*,Broadacre crops,Oats for grain,309,Queensland Murray Darling Basin,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,53465.08,**,47540.68,**,Broadacre crops,Oats for grain,311,South East Queensland,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,47749.68,*,42458.59,*,Broadacre crops,Oats for grain,312,South West Queensland,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,1250964.65,^,1171132.77,^,Broadacre crops,Oats for grain,401,Adelaide and Mount Lofty Ranges,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,13075196.13,^,12240786.06,^,Broadacre crops,Oats for grain,403,Eyre Peninsula,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,766302.21,^,717399.67,^,Broadacre crops,Oats for grain,404,Kangaroo Island,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,12165666.91,^,11389299.59,^,Broadacre crops,Oats for grain,405,Northern and Yorke,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,252723.7,**,236595.82,**,Broadacre crops,Oats for grain,406,South Australian Arid Lands,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,10507679.77,^,9837118.98,^,Broadacre crops,Oats for grain,407,South Australian Murray Darling Basin,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,8987727.34,*,8414164.23,*,Broadacre crops,Oats for grain,408,South East,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,9867398.65,^,8986624.24,^,Broadacre crops,Oats for grain,501,Northern Agricultural,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,37424290.8,,34083759.17,,Broadacre crops,Oats for grain,502,Peel-Harvey,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,348558.51,^,317445.81,^,Broadacre crops,Oats for grain,503,Perth,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,19380.6,,17650.66,,Broadacre crops,Oats for grain,504,Rangelands,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,25111318.18,^,22869855.46,^,Broadacre crops,Oats for grain,505,South Coast,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,61319138.68,,55845727.75,,Broadacre crops,Oats for grain,506,South West,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,82434151.43,,75075992.2,,Broadacre crops,Oats for grain,507,Wheatbelt,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,45965.09,*,45940.04,*,Broadacre crops,Oats for grain,601,Cradle Coast,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,824405.89,^,823956.55,^,Broadacre crops,Oats for grain,602,North,,,
1500858,Broadacre crops - Cereal crops - Oats for grain,577257.94,^,576943.3,^,Broadacre crops,Oats for grain,603,South,,,
