Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRMR_Code,NRMR name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,326214.27,**,309648.59,**,Fruit and nuts,All other nuts n.e.c.,102,Central West,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,110.55,**,104.93,**,Fruit and nuts,All other nuts n.e.c.,103,Greater Sydney,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,43386.08,**,41182.86,**,Fruit and nuts,All other nuts n.e.c.,104,Hunter,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,7231.01,,6863.81,,Fruit and nuts,All other nuts n.e.c.,105,Murray,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,602807.77,*,572196.24,*,Fruit and nuts,All other nuts n.e.c.,106,North Coast,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,4233810.65,,4018811.09,,Fruit and nuts,All other nuts n.e.c.,108,North West NSW,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,30521195.53,,28971281.24,,Fruit and nuts,All other nuts n.e.c.,110,Riverina,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,30499.32,*,28950.51,*,Fruit and nuts,All other nuts n.e.c.,111,South East NSW,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,17305917.93,**,16427096.22,**,Fruit and nuts,All other nuts n.e.c.,112,Western,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,816178.48,*,774731.66,*,Fruit and nuts,All other nuts n.e.c.,205,Mallee,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,7644405.95,**,7256211,**,Fruit and nuts,All other nuts n.e.c.,206,North Central,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,2468863.95,*,2343491.16,*,Fruit and nuts,All other nuts n.e.c.,207,North East,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,34627.77,**,32869.32,**,Fruit and nuts,All other nuts n.e.c.,209,West Gippsland,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,894997.43,^,849548.05,^,Fruit and nuts,All other nuts n.e.c.,301,Burnett Mary,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,261166.48,,247904.03,,Fruit and nuts,All other nuts n.e.c.,311,South East Queensland,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,26324.85,**,24988.04,**,Fruit and nuts,All other nuts n.e.c.,401,Adelaide and Mount Lofty Ranges,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,368895.13,**,350162.06,**,Fruit and nuts,All other nuts n.e.c.,407,South Australian Murray Darling Basin,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,3988009.76,**,3785492.36,**,Fruit and nuts,All other nuts n.e.c.,506,South West,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,13506.84,,12820.95,,Fruit and nuts,All other nuts n.e.c.,507,Wheatbelt,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,567854.62,*,539018.07,*,Fruit and nuts,All other nuts n.e.c.,602,North,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,6676585.08,^,6337537.6,^,Fruit and nuts,All other nuts n.e.c.,603,South,,,
