Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRMR_Code,NRMR name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
4800558,Fruit and nuts - Grapes - All other uses,2844077.19,**,2586272.71,**,Fruit and nuts,All other uses,105,Murray,,,
4800558,Fruit and nuts - Grapes - All other uses,2106272.29,*,1915346.94,*,Fruit and nuts,All other uses,108,North West NSW,,,
4800558,Fruit and nuts - Grapes - All other uses,5446667.77,**,4952948.63,**,Fruit and nuts,All other uses,110,Riverina,,,
4800558,Fruit and nuts - Grapes - All other uses,75290839.73,*,68466019.38,*,Fruit and nuts,All other uses,112,Western,,,
4800558,Fruit and nuts - Grapes - All other uses,272583.65,*,263219.05,*,Fruit and nuts,All other uses,204,Goulburn Broken,,,
4800558,Fruit and nuts - Grapes - All other uses,355386663.6,^,343177370.5,^,Fruit and nuts,All other uses,205,Mallee,,,
4800558,Fruit and nuts - Grapes - All other uses,5401719.23,**,5216143.41,**,Fruit and nuts,All other uses,206,North Central,,,
4800558,Fruit and nuts - Grapes - All other uses,4990185.28,**,4818747.69,**,Fruit and nuts,All other uses,208,Port Phillip and Western Port,,,
4800558,Fruit and nuts - Grapes - All other uses,4955364.52,,4423654.44,,Fruit and nuts,All other uses,301,Burnett Mary,,,
4800558,Fruit and nuts - Grapes - All other uses,16900427.81,,15087013.72,,Fruit and nuts,All other uses,306,Fitzroy Basin,,,
4800558,Fruit and nuts - Grapes - All other uses,797473.03,^,711904.26,^,Fruit and nuts,All other uses,307,North Queensland Dry Tropics,,,
4800558,Fruit and nuts - Grapes - All other uses,563820.17,,503322.33,,Fruit and nuts,All other uses,308,Northern Gulf,,,
4800558,Fruit and nuts - Grapes - All other uses,8960597.21,^,7999126.09,^,Fruit and nuts,All other uses,309,Queensland Murray Darling Basin,,,
4800558,Fruit and nuts - Grapes - All other uses,267485.75,,238784.55,,Fruit and nuts,All other uses,312,South West Queensland,,,
4800558,Fruit and nuts - Grapes - All other uses,605007.81,**,591138.59,**,Fruit and nuts,All other uses,407,South Australian Murray Darling Basin,,,
4800558,Fruit and nuts - Grapes - All other uses,3917457.57,,3534246.07,,Fruit and nuts,All other uses,501,Northern Agricultural,,,
4800558,Fruit and nuts - Grapes - All other uses,260687.96,,235187.07,,Fruit and nuts,All other uses,502,Peel-Harvey,,,
4800558,Fruit and nuts - Grapes - All other uses,3639364.89,*,3283356.84,*,Fruit and nuts,All other uses,503,Perth,,,
4800558,Fruit and nuts - Grapes - All other uses,5826862.96,*,5256870.61,*,Fruit and nuts,All other uses,504,Rangelands,,,
4800558,Fruit and nuts - Grapes - All other uses,442171.87,*,398917.97,*,Fruit and nuts,All other uses,506,South West,,,
4800558,Fruit and nuts - Grapes - All other uses,5328463.89,,4927621.62,,Fruit and nuts,All other uses,701,Northern Territory,,,
