Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRMR_Code,NRMR name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
4208158,Fruit and nuts - Nuts - Almonds,1888688.56,**,1888682.75,**,Fruit and nuts,Almonds,105,Murray,,,
4208158,Fruit and nuts - Nuts - Almonds,1942019.27,**,1942013.29,**,Fruit and nuts,Almonds,106,North Coast,,,
4208158,Fruit and nuts - Nuts - Almonds,22072808.79,,22072740.86,,Fruit and nuts,Almonds,110,Riverina,,,
4208158,Fruit and nuts - Nuts - Almonds,40565562.82,,40565437.99,,Fruit and nuts,Almonds,112,Western,,,
4208158,Fruit and nuts - Nuts - Almonds,368463712.5,,366114994.9,,Fruit and nuts,Almonds,205,Mallee,,,
4208158,Fruit and nuts - Nuts - Almonds,5823718.39,,5786595.95,,Fruit and nuts,Almonds,208,Port Phillip and Western Port,,,
4208158,Fruit and nuts - Nuts - Almonds,5237234.42,*,5230536.45,*,Fruit and nuts,Almonds,401,Adelaide and Mount Lofty Ranges,,,
4208158,Fruit and nuts - Nuts - Almonds,68835982.48,,68747947.21,,Fruit and nuts,Almonds,407,South Australian Murray Darling Basin,,,
4208158,Fruit and nuts - Nuts - Almonds,953992.95,^,953992.95,^,Fruit and nuts,Almonds,501,Northern Agricultural,,,
4208158,Fruit and nuts - Nuts - Almonds,25.54,**,25.54,**,Fruit and nuts,Almonds,506,South West,,,
