Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRMR_Code,NRMR name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
4204358,Fruit and nuts - Stone fruit - Cherries,11874056.25,^,10582233.95,^,Fruit and nuts,Cherries,101,Central Tablelands,,,
4204358,Fruit and nuts - Stone fruit - Cherries,6765.37,^,6029.34,^,Fruit and nuts,Cherries,102,Central West,,,
4204358,Fruit and nuts - Stone fruit - Cherries,31041.03,*,27663.96,*,Fruit and nuts,Cherries,103,Greater Sydney,,,
4204358,Fruit and nuts - Stone fruit - Cherries,21719.59,,19356.64,,Fruit and nuts,Cherries,105,Murray,,,
4204358,Fruit and nuts - Stone fruit - Cherries,173667.18,*,154773.29,*,Fruit and nuts,Cherries,109,Northern Tablelands,,,
4204358,Fruit and nuts - Stone fruit - Cherries,15155360.7,^,13506553.2,^,Fruit and nuts,Cherries,110,Riverina,,,
4204358,Fruit and nuts - Stone fruit - Cherries,3386.42,*,3018,*,Fruit and nuts,Cherries,111,South East NSW,,,
4204358,Fruit and nuts - Stone fruit - Cherries,694.72,**,624.25,**,Fruit and nuts,Cherries,201,Corangamite,,,
4204358,Fruit and nuts - Stone fruit - Cherries,11877.12,**,10672.27,**,Fruit and nuts,Cherries,202,East Gippsland,,,
4204358,Fruit and nuts - Stone fruit - Cherries,29418018.56,,26433767.64,,Fruit and nuts,Cherries,204,Goulburn Broken,,,
4204358,Fruit and nuts - Stone fruit - Cherries,895223.13,**,804409.05,**,Fruit and nuts,Cherries,206,North Central,,,
4204358,Fruit and nuts - Stone fruit - Cherries,7727922.35,^,6943979.02,^,Fruit and nuts,Cherries,207,North East,,,
4204358,Fruit and nuts - Stone fruit - Cherries,11033438.31,*,9914173.65,*,Fruit and nuts,Cherries,208,Port Phillip and Western Port,,,
4204358,Fruit and nuts - Stone fruit - Cherries,268.69,**,241.44,**,Fruit and nuts,Cherries,209,West Gippsland,,,
4204358,Fruit and nuts - Stone fruit - Cherries,36680.59,*,31931.55,*,Fruit and nuts,Cherries,309,Queensland Murray Darling Basin,,,
4204358,Fruit and nuts - Stone fruit - Cherries,11291898.43,^,9955613.57,^,Fruit and nuts,Cherries,401,Adelaide and Mount Lofty Ranges,,,
4204358,Fruit and nuts - Stone fruit - Cherries,22300.29,**,19661.27,**,Fruit and nuts,Cherries,405,Northern and Yorke,,,
4204358,Fruit and nuts - Stone fruit - Cherries,839584.5,**,740227.95,**,Fruit and nuts,Cherries,407,South Australian Murray Darling Basin,,,
4204358,Fruit and nuts - Stone fruit - Cherries,18773.08,**,16573.48,**,Fruit and nuts,Cherries,503,Perth,,,
4204358,Fruit and nuts - Stone fruit - Cherries,31443.23,^,27759.09,^,Fruit and nuts,Cherries,505,South Coast,,,
4204358,Fruit and nuts - Stone fruit - Cherries,1570330.31,^,1386337.83,^,Fruit and nuts,Cherries,506,South West,,,
4204358,Fruit and nuts - Stone fruit - Cherries,2562167.47,,2386789.96,,Fruit and nuts,Cherries,601,Cradle Coast,,,
4204358,Fruit and nuts - Stone fruit - Cherries,4308248.86,*,4013354.03,*,Fruit and nuts,Cherries,602,North,,,
4204358,Fruit and nuts - Stone fruit - Cherries,49875004.07,,46461115.58,,Fruit and nuts,Cherries,603,South,,,
