Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRMR_Code,NRMR name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
4201458,Fruit and nuts - Citrus fruit - Mandarins,234887.59,*,188040.62,*,Fruit and nuts,Mandarins,103,Greater Sydney,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,91.37,**,73.15,**,Fruit and nuts,Mandarins,104,Hunter,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,1836579.94,*,1470284.71,*,Fruit and nuts,Mandarins,105,Murray,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,4695.81,**,3759.26,**,Fruit and nuts,Mandarins,106,North Coast,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,4271538.24,,3419604.69,,Fruit and nuts,Mandarins,110,Riverina,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,399.14,*,319.53,*,Fruit and nuts,Mandarins,111,South East NSW,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,9429183.51,*,7548587.49,*,Fruit and nuts,Mandarins,112,Western,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,12815259.33,,11040251.48,,Fruit and nuts,Mandarins,205,Mallee,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,168571.63,,145223.21,,Fruit and nuts,Mandarins,206,North Central,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,437.7,**,377.08,**,Fruit and nuts,Mandarins,207,North East,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,4346.13,**,3744.16,**,Fruit and nuts,Mandarins,208,Port Phillip and Western Port,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,234.54,**,202.05,**,Fruit and nuts,Mandarins,209,West Gippsland,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,140699560,^,116684170.7,^,Fruit and nuts,Mandarins,301,Burnett Mary,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,753849.73,,625178.43,,Fruit and nuts,Mandarins,306,Fitzroy Basin,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,4080.19,*,3383.76,*,Fruit and nuts,Mandarins,310,Reef Catchments,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,29263.29,*,24268.47,*,Fruit and nuts,Mandarins,311,South East Queensland,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,173399.87,**,143803.01,**,Fruit and nuts,Mandarins,314,Terrain NRM,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,48425009.24,,40346976.36,,Fruit and nuts,Mandarins,407,South Australian Murray Darling Basin,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,3111921.28,,2586436.71,,Fruit and nuts,Mandarins,501,Northern Agricultural,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,1717837.45,,1427760.36,,Fruit and nuts,Mandarins,502,Peel-Harvey,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,194224,**,161426.99,**,Fruit and nuts,Mandarins,503,Perth,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,749.07,,622.58,,Fruit and nuts,Mandarins,505,South Coast,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,5762.42,**,4789.36,**,Fruit and nuts,Mandarins,506,South West,,,
4201458,Fruit and nuts - Citrus fruit - Mandarins,105837.07,**,87965.24,**,Fruit and nuts,Mandarins,507,Wheatbelt,,,
