Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRMR_Code,NRMR name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
4205558,Fruit and nuts - Stone fruit - Nectarines,11939.14,**,10194.04,**,Fruit and nuts,Nectarines,101,Central Tablelands,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,210588.82,,179807.76,,Fruit and nuts,Nectarines,102,Central West,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,2387260.91,^,2038323.05,^,Fruit and nuts,Nectarines,103,Greater Sydney,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,2181174.28,,1862359.41,,Fruit and nuts,Nectarines,105,Murray,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,245115.11,*,209287.47,*,Fruit and nuts,Nectarines,106,North Coast,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,52728.84,**,45021.64,**,Fruit and nuts,Nectarines,108,North West NSW,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,7304.76,^,6237.05,^,Fruit and nuts,Nectarines,109,Northern Tablelands,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,13383.45,**,11427.23,**,Fruit and nuts,Nectarines,110,Riverina,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,184040.52,^,157139.94,^,Fruit and nuts,Nectarines,111,South East NSW,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,2011.87,**,1706.35,**,Fruit and nuts,Nectarines,201,Corangamite,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,12931.32,**,10967.6,**,Fruit and nuts,Nectarines,202,East Gippsland,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,25833719.16,^,21910653.46,^,Fruit and nuts,Nectarines,204,Goulburn Broken,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,13497700.51,^,11447962.12,^,Fruit and nuts,Nectarines,205,Mallee,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,44186662.49,^,37476549.29,^,Fruit and nuts,Nectarines,206,North Central,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,1325.76,*,1124.43,*,Fruit and nuts,Nectarines,207,North East,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,309405.85,**,262419.99,**,Fruit and nuts,Nectarines,208,Port Phillip and Western Port,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,778.12,**,659.95,**,Fruit and nuts,Nectarines,209,West Gippsland,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,341528.82,,282450.65,,Fruit and nuts,Nectarines,301,Burnett Mary,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,1307458.38,^,1081292.27,^,Fruit and nuts,Nectarines,309,Queensland Murray Darling Basin,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,112820.12,,93304.33,,Fruit and nuts,Nectarines,311,South East Queensland,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,15953.67,**,13453.24,**,Fruit and nuts,Nectarines,401,Adelaide and Mount Lofty Ranges,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,6735702.01,^,5680008.9,^,Fruit and nuts,Nectarines,407,South Australian Murray Darling Basin,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,528351.21,,449749.36,,Fruit and nuts,Nectarines,501,Northern Agricultural,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,26008.56,*,22139.31,*,Fruit and nuts,Nectarines,502,Peel-Harvey,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,6566716.58,*,5589798.05,*,Fruit and nuts,Nectarines,503,Perth,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,34067.34,**,28999.2,**,Fruit and nuts,Nectarines,505,South Coast,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,4925741.91,,4192948.21,,Fruit and nuts,Nectarines,506,South West,,,
4205558,Fruit and nuts - Stone fruit - Nectarines,577.54,**,483.56,**,Fruit and nuts,Nectarines,603,South,,,
