Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
4209058,Fruit and nuts - Nuts - Macadamias,51279.83,*,50332.21,*,103,Greater Sydney
4209058,Fruit and nuts - Nuts - Macadamias,28072.62,,27553.85,,104,Hunter
4209058,Fruit and nuts - Nuts - Macadamias,105673617.2,,103720829.2,,106,North Coast
4209058,Fruit and nuts - Nuts - Macadamias,149529.91,*,146766.68,*,109,Northern Tablelands
4209058,Fruit and nuts - Nuts - Macadamias,120725413.5,,118294432,,301,Burnett Mary
4209058,Fruit and nuts - Nuts - Macadamias,464162.4,^,454815.82,^,306,Fitzroy Basin
4209058,Fruit and nuts - Nuts - Macadamias,112860,,110587.4,,310,Reef Catchments
4209058,Fruit and nuts - Nuts - Macadamias,16797521.27,^,16459278.78,^,311,South East Queensland
4209058,Fruit and nuts - Nuts - Macadamias,1319029.28,**,1292468.71,**,314,Terrain NRM
4209058,Fruit and nuts - Nuts - Macadamias,2314.64,,2250.53,,501,Northern Agricultural
4209058,Fruit and nuts - Nuts - Macadamias,79712.29,**,77504.71,**,502,Peel-Harvey
4209058,Fruit and nuts - Nuts - Macadamias,78337.64,**,76168.13,**,506,South West
