Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,34410.6,**,31904.84,**,102,Central West
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,993237.67,**,920910.71,**,103,Greater Sydney
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,4562788.66,*,4230529.16,*,106,North Coast
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,3814603.63,**,3536826.52,**,110,Riverina
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,2379.15,*,2205.9,*,111,South East NSW
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,628072.37,**,605719.99,**,204,Goulburn Broken
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,264622.54,**,255204.93,**,205,Mallee
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,6005.42,**,5791.7,**,206,North Central
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,14113.2,**,13610.93,**,209,West Gippsland
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,2758768.09,*,2551185.84,*,301,Burnett Mary
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,15323.29,*,14170.29,*,302,Cape York
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,306384.23,*,283330.49,*,306,Fitzroy Basin
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,3363662.81,**,3110565.53,**,307,North Queensland Dry Tropics
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,7597533.07,^,7025860.15,^,308,Northern Gulf
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,24019.2,*,22211.88,*,309,Queensland Murray Darling Basin
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,113088.55,^,104579.25,^,310,Reef Catchments
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,1766217.48,*,1633319.25,*,311,South East Queensland
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,5824112.72,*,5385880.01,*,314,Terrain NRM
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,718305.65,**,692741.98,**,401,Adelaide and Mount Lofty Ranges
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,92690.3,,89391.56,,407,South Australian Murray Darling Basin
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,26748.43,^,23317.59,^,501,Northern Agricultural
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,14865.57,**,12958.87,**,503,Perth
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,203590.75,*,177477.52,*,504,Rangelands
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,115755.5,**,100908.31,**,506,South West
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,318169.85,^,302242.6,^,701,Northern Territory
