Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRMR_Code,NRMR name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
4206258,Fruit and nuts - Stone fruit - Peaches,8399.33,**,7059.95,**,Fruit and nuts,Peaches,101,Central Tablelands,,,
4206258,Fruit and nuts - Stone fruit - Peaches,303222.83,*,254869.95,*,Fruit and nuts,Peaches,102,Central West,,,
4206258,Fruit and nuts - Stone fruit - Peaches,1335816.59,^,1122803.03,^,Fruit and nuts,Peaches,103,Greater Sydney,,,
4206258,Fruit and nuts - Stone fruit - Peaches,1983753.51,,1667417.87,,Fruit and nuts,Peaches,105,Murray,,,
4206258,Fruit and nuts - Stone fruit - Peaches,1561455.87,*,1312461.15,*,Fruit and nuts,Peaches,106,North Coast,,,
4206258,Fruit and nuts - Stone fruit - Peaches,42056.95,**,35350.42,**,Fruit and nuts,Peaches,108,North West NSW,,,
4206258,Fruit and nuts - Stone fruit - Peaches,10827.6,,9101,,Fruit and nuts,Peaches,109,Northern Tablelands,,,
4206258,Fruit and nuts - Stone fruit - Peaches,11856.45,**,9965.79,**,Fruit and nuts,Peaches,110,Riverina,,,
4206258,Fruit and nuts - Stone fruit - Peaches,321022.55,*,269831.27,*,Fruit and nuts,Peaches,111,South East NSW,,,
4206258,Fruit and nuts - Stone fruit - Peaches,1123.26,**,989.29,**,Fruit and nuts,Peaches,201,Corangamite,,,
4206258,Fruit and nuts - Stone fruit - Peaches,6615.43,**,5826.46,**,Fruit and nuts,Peaches,202,East Gippsland,,,
4206258,Fruit and nuts - Stone fruit - Peaches,35386491.27,,31166222.72,,Fruit and nuts,Peaches,204,Goulburn Broken,,,
4206258,Fruit and nuts - Stone fruit - Peaches,2813428.89,^,2477893.35,^,Fruit and nuts,Peaches,205,Mallee,,,
4206258,Fruit and nuts - Stone fruit - Peaches,7207920.3,^,6348288.33,^,Fruit and nuts,Peaches,206,North Central,,,
4206258,Fruit and nuts - Stone fruit - Peaches,6773.85,**,5965.99,**,Fruit and nuts,Peaches,207,North East,,,
4206258,Fruit and nuts - Stone fruit - Peaches,318387.03,*,280415.51,*,Fruit and nuts,Peaches,208,Port Phillip and Western Port,,,
4206258,Fruit and nuts - Stone fruit - Peaches,217.22,**,191.31,**,Fruit and nuts,Peaches,209,West Gippsland,,,
4206258,Fruit and nuts - Stone fruit - Peaches,538567.43,,472206,,Fruit and nuts,Peaches,301,Burnett Mary,,,
4206258,Fruit and nuts - Stone fruit - Peaches,1465828.55,^,1285211.46,^,Fruit and nuts,Peaches,309,Queensland Murray Darling Basin,,,
4206258,Fruit and nuts - Stone fruit - Peaches,130166.51,,114127.6,,Fruit and nuts,Peaches,311,South East Queensland,,,
4206258,Fruit and nuts - Stone fruit - Peaches,11550.34,**,9922.22,**,Fruit and nuts,Peaches,401,Adelaide and Mount Lofty Ranges,,,
4206258,Fruit and nuts - Stone fruit - Peaches,34508.74,**,29644.44,**,Fruit and nuts,Peaches,405,Northern and Yorke,,,
4206258,Fruit and nuts - Stone fruit - Peaches,5478717.33,^,4706444.79,^,Fruit and nuts,Peaches,407,South Australian Murray Darling Basin,,,
4206258,Fruit and nuts - Stone fruit - Peaches,520.3,**,446.96,**,Fruit and nuts,Peaches,408,South East,,,
4206258,Fruit and nuts - Stone fruit - Peaches,446126.83,,377342.28,,Fruit and nuts,Peaches,501,Northern Agricultural,,,
4206258,Fruit and nuts - Stone fruit - Peaches,33342.3,*,28201.53,*,Fruit and nuts,Peaches,502,Peel-Harvey,,,
4206258,Fruit and nuts - Stone fruit - Peaches,2878439.36,*,2434636.92,*,Fruit and nuts,Peaches,503,Perth,,,
4206258,Fruit and nuts - Stone fruit - Peaches,27146.78,**,22961.25,**,Fruit and nuts,Peaches,505,South Coast,,,
4206258,Fruit and nuts - Stone fruit - Peaches,482008.49,*,407691.64,*,Fruit and nuts,Peaches,506,South West,,,
4206258,Fruit and nuts - Stone fruit - Peaches,281.9,**,226.53,**,Fruit and nuts,Peaches,603,South,,,
