Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRMR_Code,NRMR name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
3308158,Hay - Other crops cut for hay,88071.24,*,88071.24,*,Hay,Other crops cut for hay,101,Central Tablelands,,,
3308158,Hay - Other crops cut for hay,2148766.03,*,2148766.03,*,Hay,Other crops cut for hay,102,Central West,,,
3308158,Hay - Other crops cut for hay,112937.7,,112937.7,,Hay,Other crops cut for hay,103,Greater Sydney,,,
3308158,Hay - Other crops cut for hay,147432.04,**,147432.04,**,Hay,Other crops cut for hay,104,Hunter,,,
3308158,Hay - Other crops cut for hay,3985462.31,^,3985462.31,^,Hay,Other crops cut for hay,105,Murray,,,
3308158,Hay - Other crops cut for hay,416102.49,**,416102.49,**,Hay,Other crops cut for hay,106,North Coast,,,
3308158,Hay - Other crops cut for hay,1066761.82,*,1066761.82,*,Hay,Other crops cut for hay,108,North West NSW,,,
3308158,Hay - Other crops cut for hay,541953.04,*,541953.04,*,Hay,Other crops cut for hay,109,Northern Tablelands,,,
3308158,Hay - Other crops cut for hay,3118861.67,^,3118861.67,^,Hay,Other crops cut for hay,110,Riverina,,,
3308158,Hay - Other crops cut for hay,56675.31,**,56675.31,**,Hay,Other crops cut for hay,111,South East NSW,,,
3308158,Hay - Other crops cut for hay,158443.27,**,158443.27,**,Hay,Other crops cut for hay,112,Western,,,
3308158,Hay - Other crops cut for hay,2844348.09,*,2844348.09,*,Hay,Other crops cut for hay,201,Corangamite,,,
3308158,Hay - Other crops cut for hay,411965.29,*,411965.29,*,Hay,Other crops cut for hay,202,East Gippsland,,,
3308158,Hay - Other crops cut for hay,3281351.72,*,3281351.72,*,Hay,Other crops cut for hay,203,Glenelg Hopkins,,,
3308158,Hay - Other crops cut for hay,2787784.9,*,2787784.9,*,Hay,Other crops cut for hay,204,Goulburn Broken,,,
3308158,Hay - Other crops cut for hay,12912351.88,^,12912351.88,^,Hay,Other crops cut for hay,205,Mallee,,,
3308158,Hay - Other crops cut for hay,12428593.26,*,12428593.26,*,Hay,Other crops cut for hay,206,North Central,,,
3308158,Hay - Other crops cut for hay,402076.4,*,402076.4,*,Hay,Other crops cut for hay,207,North East,,,
3308158,Hay - Other crops cut for hay,960360.45,**,960360.45,**,Hay,Other crops cut for hay,208,Port Phillip and Western Port,,,
3308158,Hay - Other crops cut for hay,125345.25,^,125345.25,^,Hay,Other crops cut for hay,209,West Gippsland,,,
3308158,Hay - Other crops cut for hay,4456932.03,*,4456932.03,*,Hay,Other crops cut for hay,210,Wimmera,,,
3308158,Hay - Other crops cut for hay,1374946.18,*,1374946.18,*,Hay,Other crops cut for hay,301,Burnett Mary,,,
3308158,Hay - Other crops cut for hay,4203550.56,**,4203550.56,**,Hay,Other crops cut for hay,303,Condamine,,,
3308158,Hay - Other crops cut for hay,110455.88,^,110455.88,^,Hay,Other crops cut for hay,305,Desert Channels,,,
3308158,Hay - Other crops cut for hay,,,np,,Hay,Other crops cut for hay,306,Fitzroy Basin,,,
3308158,Hay - Other crops cut for hay,12591.99,*,12591.99,*,Hay,Other crops cut for hay,307,North Queensland Dry Tropics,,,
