Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
9200159,Livestock Products - Wool,112838210,,107966954.2,,101,Central Tablelands
9200159,Livestock Products - Wool,231229940.2,,221247681.6,,102,Central West
9200159,Livestock Products - Wool,362322.35,^,346680.79,^,103,Greater Sydney
9200159,Livestock Products - Wool,6778958.6,*,6486309.14,*,104,Hunter
9200159,Livestock Products - Wool,113216422,,108328838.7,,105,Murray
9200159,Livestock Products - Wool,81139.85,*,77637.02,*,106,North Coast
9200159,Livestock Products - Wool,48478019.59,,46385210.46,,108,North West NSW
9200159,Livestock Products - Wool,76406075.35,,73107604.55,,109,Northern Tablelands
9200159,Livestock Products - Wool,222032772.9,,212447558.4,,110,Riverina
9200159,Livestock Products - Wool,134588201.2,,128777992.4,,111,South East NSW
9200159,Livestock Products - Wool,148971688.6,,142540540.8,,112,Western
9200159,Livestock Products - Wool,85388764.34,^,82520149.07,^,201,Corangamite
9200159,Livestock Products - Wool,13928546.72,^,13460620.5,^,202,East Gippsland
9200159,Livestock Products - Wool,310962804.2,,300516082.6,,203,Glenelg Hopkins
9200159,Livestock Products - Wool,80225756.49,^,77530591.24,^,204,Goulburn Broken
9200159,Livestock Products - Wool,34066623.33,^,32922163.2,^,205,Mallee
9200159,Livestock Products - Wool,167595211.8,,161964890.4,,206,North Central
9200159,Livestock Products - Wool,15783658.06,,15253409.81,,207,North East
9200159,Livestock Products - Wool,7782664.21,^,7521207.45,^,208,Port Phillip and Western Port
9200159,Livestock Products - Wool,23250557.48,^,22469460.52,^,209,West Gippsland
9200159,Livestock Products - Wool,118737293.1,,114748341.9,,210,Wimmera
9200159,Livestock Products - Wool,155467.09,*,148900.16,*,301,Burnett Mary
9200159,Livestock Products - Wool,403.95,*,386.89,*,302,Cape York
9200159,Livestock Products - Wool,1931215.74,*,1849641.13,*,303,Condamine
9200159,Livestock Products - Wool,25092710.37,,24032793.49,,305,Desert Channels
9200159,Livestock Products - Wool,78253.82,**,74948.38,**,306,Fitzroy Basin
9200159,Livestock Products - Wool,63324.67,**,60649.84,**,308,Northern Gulf
9200159,Livestock Products - Wool,27418884.7,^,26260710.15,^,309,Queensland Murray Darling Basin
9200159,Livestock Products - Wool,9312.93,**,8919.56,**,310,Reef Catchments
9200159,Livestock Products - Wool,14227.99,,13627,,311,South East Queensland
9200159,Livestock Products - Wool,20807617.81,^,19928703.38,^,312,South West Queensland
9200159,Livestock Products - Wool,916058.62,**,877364.27,**,313,Southern Gulf
9200159,Livestock Products - Wool,3624.06,**,3470.98,**,314,Terrain NRM
9200159,Livestock Products - Wool,17119208.22,,16368051.4,,401,Adelaide and Mount Lofty Ranges
9200159,Livestock Products - Wool,1158684.23,,1107843.47,,402,Alinytjara Wilurara
9200159,Livestock Products - Wool,79289132.37,,75810082.88,,403,Eyre Peninsula
9200159,Livestock Products - Wool,25659074.34,,24533205.17,,404,Kangaroo Island
9200159,Livestock Products - Wool,97930979.92,,93633963.22,,405,Northern and Yorke
9200159,Livestock Products - Wool,44248021.43,,42306506.23,,406,South Australian Arid Lands
9200159,Livestock Products - Wool,85696053.08,,81935880.64,,407,South Australian Murray Darling Basin
9200159,Livestock Products - Wool,141868507.9,,135643599.9,,408,South East
9200159,Livestock Products - Wool,107421169.4,,103446002.7,,501,Northern Agricultural
9200159,Livestock Products - Wool,53433513.34,,51456183.12,,502,Peel-Harvey
9200159,Livestock Products - Wool,579511.38,^,558066.31,^,503,Perth
9200159,Livestock Products - Wool,13376463.92,^,12881462.1,^,504,Rangelands
9200159,Livestock Products - Wool,182213474.3,,175470586.1,,505,South Coast
9200159,Livestock Products - Wool,216415849.6,,208407287.7,,506,South West
9200159,Livestock Products - Wool,3195559.45,,3095196.47,,601,Cradle Coast
9200159,Livestock Products - Wool,52267350.33,,50625788.94,,602,North
9200159,Livestock Products - Wool,52438443.04,,50791508.14,,603,South
9200159,Livestock Products - Wool,2198926.36,,2148928.02,,801,ACT
