Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
9100358,Livestock slaughtered and other disposals - Pigs,2544344.07,*,2461250.12,*,101,Central Tablelands
9100358,Livestock slaughtered and other disposals - Pigs,867225.7,*,838903.58,*,102,Central West
9100358,Livestock slaughtered and other disposals - Pigs,7556.14,**,7309.37,**,103,Greater Sydney
9100358,Livestock slaughtered and other disposals - Pigs,5350968.78,**,5176215.25,**,104,Hunter
9100358,Livestock slaughtered and other disposals - Pigs,141646944.6,^,137020996.5,^,105,Murray
9100358,Livestock slaughtered and other disposals - Pigs,11605425.47,^,11226412.04,^,106,North Coast
9100358,Livestock slaughtered and other disposals - Pigs,5850708.69,**,5659634.5,**,108,North West NSW
9100358,Livestock slaughtered and other disposals - Pigs,8775.03,**,8488.45,**,109,Northern Tablelands
9100358,Livestock slaughtered and other disposals - Pigs,55932063.29,,54105417.33,,110,Riverina
9100358,Livestock slaughtered and other disposals - Pigs,516440.39,**,499574.33,**,111,South East NSW
9100358,Livestock slaughtered and other disposals - Pigs,92914.54,**,89880.1,**,112,Western
9100358,Livestock slaughtered and other disposals - Pigs,27613838.49,,26717356.01,,201,Corangamite
9100358,Livestock slaughtered and other disposals - Pigs,124087.68,*,120059.17,*,202,East Gippsland
9100358,Livestock slaughtered and other disposals - Pigs,12497797.34,,12092056.71,,203,Glenelg Hopkins
9100358,Livestock slaughtered and other disposals - Pigs,37521938.29,*,36303789.63,*,204,Goulburn Broken
9100358,Livestock slaughtered and other disposals - Pigs,10592329.68,**,10248450,**,205,Mallee
9100358,Livestock slaughtered and other disposals - Pigs,156480767,^,151400623.4,^,206,North Central
9100358,Livestock slaughtered and other disposals - Pigs,6862491.18,**,6639700.6,**,207,North East
9100358,Livestock slaughtered and other disposals - Pigs,16524660.79,,15988188.15,,208,Port Phillip and Western Port
9100358,Livestock slaughtered and other disposals - Pigs,6418956.12,^,6210564.9,^,209,West Gippsland
9100358,Livestock slaughtered and other disposals - Pigs,31707429.56,**,30678048.77,**,210,Wimmera
9100358,Livestock slaughtered and other disposals - Pigs,63511385.05,^,61259579.35,^,301,Burnett Mary
9100358,Livestock slaughtered and other disposals - Pigs,8192.47,*,7902,*,302,Cape York
9100358,Livestock slaughtered and other disposals - Pigs,142585258.5,^,137529876.8,^,303,Condamine
9100358,Livestock slaughtered and other disposals - Pigs,13720.6,**,13234.13,**,304,Cooperative Management Area
9100358,Livestock slaughtered and other disposals - Pigs,3322.16,^,3204.37,^,305,Desert Channels
9100358,Livestock slaughtered and other disposals - Pigs,6731387.91,^,6492725.54,^,306,Fitzroy Basin
9100358,Livestock slaughtered and other disposals - Pigs,71979501.35,^,69427457.31,^,309,Queensland Murray Darling Basin
9100358,Livestock slaughtered and other disposals - Pigs,12054.93,**,11627.52,**,310,Reef Catchments
9100358,Livestock slaughtered and other disposals - Pigs,8134776.31,*,7846356.59,*,311,South East Queensland
9100358,Livestock slaughtered and other disposals - Pigs,58535.2,**,56459.82,**,312,South West Queensland
9100358,Livestock slaughtered and other disposals - Pigs,17817.18,**,17185.47,**,313,Southern Gulf
9100358,Livestock slaughtered and other disposals - Pigs,5804.58,**,5598.78,**,314,Terrain NRM
9100358,Livestock slaughtered and other disposals - Pigs,63880461.87,,58399052.25,,401,Adelaide and Mount Lofty Ranges
9100358,Livestock slaughtered and other disposals - Pigs,,,,,403,Eyre Peninsula
9100358,Livestock slaughtered and other disposals - Pigs,,,,,404,Kangaroo Island
9100358,Livestock slaughtered and other disposals - Pigs,81402401.72,,74417481.85,,405,Northern and Yorke
9100358,Livestock slaughtered and other disposals - Pigs,126633504.1,,115767425.7,,407,South Australian Murray Darling Basin
9100358,Livestock slaughtered and other disposals - Pigs,73928101.18,,67584530.82,,408,South East
9100358,Livestock slaughtered and other disposals - Pigs,59611527.58,,54544019.37,,501,Northern Agricultural
9100358,Livestock slaughtered and other disposals - Pigs,20564995.16,,18816788.3,,502,Peel-Harvey
9100358,Livestock slaughtered and other disposals - Pigs,7973.97,^,7296.11,^,504,Rangelands
9100358,Livestock slaughtered and other disposals - Pigs,49782095.26,,45550175.92,,505,South Coast
9100358,Livestock slaughtered and other disposals - Pigs,18569370.31,,16990809.24,,506,South West
9100358,Livestock slaughtered and other disposals - Pigs,169889.89,,155343.44,,601,Cradle Coast
9100358,Livestock slaughtered and other disposals - Pigs,7509452.02,^,6866471.89,^,602,North
9100358,Livestock slaughtered and other disposals - Pigs,588281.3,*,537911.02,*,603,South
