Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRMR_Code,NRMR name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",4882943.57,^,4394649.21,^,"Nurseries, cut flowers or cultivated turf",Undercover,101,Central Tablelands,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",1358984.21,,1223085.79,,"Nurseries, cut flowers or cultivated turf",Undercover,102,Central West,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",42197977.36,^,37978179.63,^,"Nurseries, cut flowers or cultivated turf",Undercover,103,Greater Sydney,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",13131722.75,^,11818550.47,^,"Nurseries, cut flowers or cultivated turf",Undercover,103,Greater Sydney,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",6917257.24,*,6225531.52,*,"Nurseries, cut flowers or cultivated turf",Undercover,104,Hunter,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",3922739.88,^,3530465.89,^,"Nurseries, cut flowers or cultivated turf",Undercover,104,Hunter,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",324230,**,291807,**,"Nurseries, cut flowers or cultivated turf",Undercover,105,Murray,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",28263930.94,^,25437537.84,^,"Nurseries, cut flowers or cultivated turf",Undercover,106,North Coast,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",1787305.52,^,1608574.96,^,"Nurseries, cut flowers or cultivated turf",Undercover,106,North Coast,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",1340903.32,^,1206812.99,^,"Nurseries, cut flowers or cultivated turf",Undercover,109,Northern Tablelands,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",173124.02,*,155811.62,*,"Nurseries, cut flowers or cultivated turf",Undercover,109,Northern Tablelands,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",1911204.17,^,1720083.75,^,"Nurseries, cut flowers or cultivated turf",Undercover,110,Riverina,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",4019497.31,*,3617547.58,*,"Nurseries, cut flowers or cultivated turf",Undercover,111,South East NSW,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",302412.6,**,272171.34,**,"Nurseries, cut flowers or cultivated turf",Undercover,111,South East NSW,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",135441.06,**,121896.95,**,"Nurseries, cut flowers or cultivated turf",Undercover,112,Western,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",16422510.33,^,14780259.3,^,"Nurseries, cut flowers or cultivated turf",Undercover,201,Corangamite,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",671048.73,*,603943.85,*,"Nurseries, cut flowers or cultivated turf",Undercover,201,Corangamite,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",877822,*,790039.8,*,"Nurseries, cut flowers or cultivated turf",Undercover,202,East Gippsland,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",33813.91,*,30432.52,*,"Nurseries, cut flowers or cultivated turf",Undercover,202,East Gippsland,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",2378691.01,**,2140821.91,**,"Nurseries, cut flowers or cultivated turf",Undercover,203,Glenelg Hopkins,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",11667179.8,**,10500461.82,**,"Nurseries, cut flowers or cultivated turf",Undercover,204,Goulburn Broken,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",2856339.15,,2570705.24,,"Nurseries, cut flowers or cultivated turf",Undercover,204,Goulburn Broken,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",4507370.69,*,4056633.62,*,"Nurseries, cut flowers or cultivated turf",Undercover,205,Mallee,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",268714.95,**,241843.46,**,"Nurseries, cut flowers or cultivated turf",Undercover,206,North Central,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",1393879.42,**,1254491.48,**,"Nurseries, cut flowers or cultivated turf",Undercover,207,North East,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",296059.97,*,266453.97,*,"Nurseries, cut flowers or cultivated turf",Undercover,207,North East,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",50169253.85,^,45152328.47,^,"Nurseries, cut flowers or cultivated turf",Undercover,208,Port Phillip and Western Port,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",58944505.01,^,53050054.51,^,"Nurseries, cut flowers or cultivated turf",Undercover,208,Port Phillip and Western Port,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",5751946.14,*,5176751.53,*,"Nurseries, cut flowers or cultivated turf",Undercover,209,West Gippsland,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",58617.9,,52756.11,,"Nurseries, cut flowers or cultivated turf",Undercover,210,Wimmera,,,
1919158,"Nurseries, cut flowers or cultivated turf - Nurseries - Undercover",4761668.02,^,4285501.21,^,"Nurseries, cut flowers or cultivated turf",Undercover,301,Burnett Mary,,,
1919358,"Nurseries, cut flowers or cultivated turf - Cut flowers - Undercover",547362.24,*,492626.01,*,"Nurseries, cut flowers or cultivated turf",Undercover,301,Burnett Mary,,,
