Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRMR_Code,NRMR name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
3630016,Vegetables for human consumption - All other vegetables n.e.c.,9858599.27,^,8379810.02,^,Vegetables for human consumption,All other vegetables n.e.c.,101,Central Tablelands,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,57223741.69,^,48640184.17,^,Vegetables for human consumption,All other vegetables n.e.c.,103,Greater Sydney,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,401046.8,**,340889.81,**,Vegetables for human consumption,All other vegetables n.e.c.,104,Hunter,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,4813624.55,**,4091581.18,**,Vegetables for human consumption,All other vegetables n.e.c.,105,Murray,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,13677329.32,^,11625730.81,^,Vegetables for human consumption,All other vegetables n.e.c.,106,North Coast,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,909356.84,**,772953.37,**,Vegetables for human consumption,All other vegetables n.e.c.,108,North West NSW,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,376524.9,*,320046.19,*,Vegetables for human consumption,All other vegetables n.e.c.,109,Northern Tablelands,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,12981036.61,,11033881.97,,Vegetables for human consumption,All other vegetables n.e.c.,110,Riverina,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,3357772.34,^,2854106.7,^,Vegetables for human consumption,All other vegetables n.e.c.,111,South East NSW,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,5501924.74,**,4676636.39,**,Vegetables for human consumption,All other vegetables n.e.c.,112,Western,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,1285388.65,*,1092580.19,*,Vegetables for human consumption,All other vegetables n.e.c.,201,Corangamite,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,15095134.23,,12830862.24,,Vegetables for human consumption,All other vegetables n.e.c.,202,East Gippsland,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,735292.5,,624998.53,,Vegetables for human consumption,All other vegetables n.e.c.,203,Glenelg Hopkins,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,20376269.18,^,17319826.3,^,Vegetables for human consumption,All other vegetables n.e.c.,204,Goulburn Broken,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,11141734.5,^,9470472.95,^,Vegetables for human consumption,All other vegetables n.e.c.,205,Mallee,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,3528920.77,^,2999582.22,^,Vegetables for human consumption,All other vegetables n.e.c.,206,North Central,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,106056382.4,,90147911.97,,Vegetables for human consumption,All other vegetables n.e.c.,208,Port Phillip and Western Port,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,14978225.83,,12731490.12,,Vegetables for human consumption,All other vegetables n.e.c.,209,West Gippsland,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,,,np,,Vegetables for human consumption,All other vegetables n.e.c.,301,Burnett Mary,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,106512.18,,90535.36,,Vegetables for human consumption,All other vegetables n.e.c.,302,Cape York,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,,,np,,Vegetables for human consumption,All other vegetables n.e.c.,303,Condamine,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,,,np,,Vegetables for human consumption,All other vegetables n.e.c.,306,Fitzroy Basin,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,21938774.48,*,18647959.75,*,Vegetables for human consumption,All other vegetables n.e.c.,307,North Queensland Dry Tropics,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,,,np,,Vegetables for human consumption,All other vegetables n.e.c.,308,Northern Gulf,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,52600727.75,^,44710622.05,^,Vegetables for human consumption,All other vegetables n.e.c.,309,Queensland Murray Darling Basin,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,11287565.78,,9594431.66,,Vegetables for human consumption,All other vegetables n.e.c.,310,Reef Catchments,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,72755041.11,^,61841789.73,^,Vegetables for human consumption,All other vegetables n.e.c.,311,South East Queensland,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,5500698.46,**,4675594.05,**,Vegetables for human consumption,All other vegetables n.e.c.,314,Terrain NRM,,,
3630016,Vegetables for human consumption - All other vegetables n.e.c.,12342954.96,^,10491511.71,^,Vegetables for human consumption,All other vegetables n.e.c.,401,Adelaide and Mount Lofty Ranges,,,
