Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRMR_Code,NRMR name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
3601758,Vegetables for human consumption - Broccoli,565139.4,,470732.22,,Vegetables for human consumption,Broccoli,101,Central Tablelands,,,
3601758,Vegetables for human consumption - Broccoli,14701.45,,12245.55,,Vegetables for human consumption,Broccoli,102,Central West,,,
3601758,Vegetables for human consumption - Broccoli,672621.31,*,560259.16,*,Vegetables for human consumption,Broccoli,103,Greater Sydney,,,
3601758,Vegetables for human consumption - Broccoli,8191.96,**,6823.48,**,Vegetables for human consumption,Broccoli,106,North Coast,,,
3601758,Vegetables for human consumption - Broccoli,4811233.71,,4007511.68,,Vegetables for human consumption,Broccoli,110,Riverina,,,
3601758,Vegetables for human consumption - Broccoli,13386.81,^,11150.53,^,Vegetables for human consumption,Broccoli,111,South East NSW,,,
3601758,Vegetables for human consumption - Broccoli,154975.35,**,131400.21,**,Vegetables for human consumption,Broccoli,201,Corangamite,,,
3601758,Vegetables for human consumption - Broccoli,10101619.33,,8564942.21,,Vegetables for human consumption,Broccoli,202,East Gippsland,,,
3601758,Vegetables for human consumption - Broccoli,1798707.34,^,1525084.64,^,Vegetables for human consumption,Broccoli,204,Goulburn Broken,,,
3601758,Vegetables for human consumption - Broccoli,1017142.23,*,862412.66,*,Vegetables for human consumption,Broccoli,205,Mallee,,,
3601758,Vegetables for human consumption - Broccoli,593.74,*,503.42,*,Vegetables for human consumption,Broccoli,206,North Central,,,
3601758,Vegetables for human consumption - Broccoli,57550594.19,*,48795890.78,*,Vegetables for human consumption,Broccoli,208,Port Phillip and Western Port,,,
3601758,Vegetables for human consumption - Broccoli,5673179.25,,4810164.68,,Vegetables for human consumption,Broccoli,209,West Gippsland,,,
3601758,Vegetables for human consumption - Broccoli,35653.15,^,29928.3,^,Vegetables for human consumption,Broccoli,301,Burnett Mary,,,
3601758,Vegetables for human consumption - Broccoli,5545349.11,^,4654929.05,^,Vegetables for human consumption,Broccoli,303,Condamine,,,
3601758,Vegetables for human consumption - Broccoli,5526.55,**,4639.15,**,Vegetables for human consumption,Broccoli,306,Fitzroy Basin,,,
3601758,Vegetables for human consumption - Broccoli,5153724.92,^,4326188.19,^,Vegetables for human consumption,Broccoli,309,Queensland Murray Darling Basin,,,
3601758,Vegetables for human consumption - Broccoli,32159197.9,,26995376.02,,Vegetables for human consumption,Broccoli,311,South East Queensland,,,
3601758,Vegetables for human consumption - Broccoli,1944265.41,*,1651838.66,*,Vegetables for human consumption,Broccoli,401,Adelaide and Mount Lofty Ranges,,,
3601758,Vegetables for human consumption - Broccoli,1190575.45,,1011507.25,,Vegetables for human consumption,Broccoli,407,South Australian Murray Darling Basin,,,
3601758,Vegetables for human consumption - Broccoli,5758729.64,,4901501.46,,Vegetables for human consumption,Broccoli,501,Northern Agricultural,,,
3601758,Vegetables for human consumption - Broccoli,1360909.82,,1158328.64,,Vegetables for human consumption,Broccoli,502,Peel-Harvey,,,
3601758,Vegetables for human consumption - Broccoli,1942863.65,,1653654.47,,Vegetables for human consumption,Broccoli,503,Perth,,,
3601758,Vegetables for human consumption - Broccoli,124,**,105.54,**,Vegetables for human consumption,Broccoli,504,Rangelands,,,
3601758,Vegetables for human consumption - Broccoli,404063.44,^,343915.7,^,Vegetables for human consumption,Broccoli,505,South Coast,,,
3601758,Vegetables for human consumption - Broccoli,17753535.42,*,15110794.45,*,Vegetables for human consumption,Broccoli,506,South West,,,
3601758,Vegetables for human consumption - Broccoli,2154320.77,^,1972759.83,^,Vegetables for human consumption,Broccoli,601,Cradle Coast,,,
3601758,Vegetables for human consumption - Broccoli,1651784.07,*,1512575.7,*,Vegetables for human consumption,Broccoli,602,North,,,
