Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRMR_Code,NRMR name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,2888891.2,^,2616041.64,^,Vegetables for human consumption,Fresh market and processing,101,Central Tablelands,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,3797333.44,,3438683.46,,Vegetables for human consumption,Fresh market and processing,103,Greater Sydney,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,392029.27,**,355002.95,**,Vegetables for human consumption,Fresh market and processing,104,Hunter,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,25720025.18,,23290824.1,,Vegetables for human consumption,Fresh market and processing,105,Murray,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,1546106.8,*,1400080.34,*,Vegetables for human consumption,Fresh market and processing,106,North Coast,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,476380.28,*,431387.19,*,Vegetables for human consumption,Fresh market and processing,109,Northern Tablelands,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,27153351.47,,24588775.8,,Vegetables for human consumption,Fresh market and processing,110,Riverina,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,2942182.26,^,2664299.48,^,Vegetables for human consumption,Fresh market and processing,111,South East NSW,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,22516499.22,*,20763372.18,*,Vegetables for human consumption,Fresh market and processing,201,Corangamite,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,13141.8,**,12118.59,**,Vegetables for human consumption,Fresh market and processing,202,East Gippsland,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,3256633.67,**,3003073.28,**,Vegetables for human consumption,Fresh market and processing,203,Glenelg Hopkins,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,40546.35,,37389.42,,Vegetables for human consumption,Fresh market and processing,204,Goulburn Broken,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,24465792,*,22560893.69,*,Vegetables for human consumption,Fresh market and processing,205,Mallee,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,35684851.84,^,32906441.31,^,Vegetables for human consumption,Fresh market and processing,206,North Central,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,7402346.29,*,6826002.1,*,Vegetables for human consumption,Fresh market and processing,208,Port Phillip and Western Port,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,23593620.27,*,21756628.95,*,Vegetables for human consumption,Fresh market and processing,209,West Gippsland,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,8140775.91,^,7409164.33,^,Vegetables for human consumption,Fresh market and processing,301,Burnett Mary,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,617694.32,*,562182.13,*,Vegetables for human consumption,Fresh market and processing,303,Condamine,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,5381937.43,^,4898262.68,^,Vegetables for human consumption,Fresh market and processing,307,North Queensland Dry Tropics,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,14688961.08,,13368864.07,,Vegetables for human consumption,Fresh market and processing,311,South East Queensland,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,12493682.57,^,11370875.25,^,Vegetables for human consumption,Fresh market and processing,314,Terrain NRM,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,10891396.52,,9811881.48,,Vegetables for human consumption,Fresh market and processing,401,Adelaide and Mount Lofty Ranges,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,235497.58,*,212155.93,*,Vegetables for human consumption,Fresh market and processing,404,Kangaroo Island,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,2152539.25,,1939187.5,,Vegetables for human consumption,Fresh market and processing,405,Northern and Yorke,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,90397359.95,,81437507.09,,Vegetables for human consumption,Fresh market and processing,407,South Australian Murray Darling Basin,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,64771534.22,,58351618.68,,Vegetables for human consumption,Fresh market and processing,408,South East,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,4114635.12,,3688986.21,,Vegetables for human consumption,Fresh market and processing,501,Northern Agricultural,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,6143176.58,,5507680.03,,Vegetables for human consumption,Fresh market and processing,502,Peel-Harvey,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,1718.11,*,1540.37,*,Vegetables for human consumption,Fresh market and processing,505,South Coast,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,39119914.87,^,35073055.63,^,Vegetables for human consumption,Fresh market and processing,506,South West,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,59857058.1,^,59855857.39,^,Vegetables for human consumption,Fresh market and processing,601,Cradle Coast,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,48567577.55,,48566603.31,,Vegetables for human consumption,Fresh market and processing,602,North,,,
3505958,Vegetables for human consumption - Potatoes - Fresh market and processing,2116418.58,,2116376.12,,Vegetables for human consumption,Fresh market and processing,603,South,,,
