Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
3610658,Vegetables for human consumption - Lettuces - Total,1269312.83,,1198724.99,,101,Central Tablelands
3610658,Vegetables for human consumption - Lettuces - Total,10990025.14,*,10378858.15,*,103,Greater Sydney
3610658,Vegetables for human consumption - Lettuces - Total,1055292.24,**,996606.31,**,106,North Coast
3610658,Vegetables for human consumption - Lettuces - Total,1246802.16,^,1177466.16,^,110,Riverina
3610658,Vegetables for human consumption - Lettuces - Total,10907.48,^,10300.91,^,111,South East NSW
3610658,Vegetables for human consumption - Lettuces - Total,1234315.44,,1020432.94,,201,Corangamite
3610658,Vegetables for human consumption - Lettuces - Total,14558713.98,,12035976.27,,202,East Gippsland
3610658,Vegetables for human consumption - Lettuces - Total,89.46,**,73.96,**,204,Goulburn Broken
3610658,Vegetables for human consumption - Lettuces - Total,7091839.48,,5862963.7,,205,Mallee
3610658,Vegetables for human consumption - Lettuces - Total,51330.78,*,42436.17,*,206,North Central
3610658,Vegetables for human consumption - Lettuces - Total,132772.41,*,109765.58,*,207,North East
3610658,Vegetables for human consumption - Lettuces - Total,46949205.26,,38813834.88,,208,Port Phillip and Western Port
3610658,Vegetables for human consumption - Lettuces - Total,24421932.83,,20190094.02,,209,West Gippsland
3610658,Vegetables for human consumption - Lettuces - Total,4159221.2,,3379792.47,,301,Burnett Mary
3610658,Vegetables for human consumption - Lettuces - Total,29288859.55,,23800192.98,,303,Condamine
3610658,Vegetables for human consumption - Lettuces - Total,8722653.11,^,7088047.49,^,309,Queensland Murray Darling Basin
3610658,Vegetables for human consumption - Lettuces - Total,45362961.89,,36862044.6,,311,South East Queensland
3610658,Vegetables for human consumption - Lettuces - Total,3491619.41,*,2932429.76,*,401,Adelaide and Mount Lofty Ranges
3610658,Vegetables for human consumption - Lettuces - Total,7701998.25,,6468508.24,,407,South Australian Murray Darling Basin
3610658,Vegetables for human consumption - Lettuces - Total,15931811.47,,13254093.11,,501,Northern Agricultural
3610658,Vegetables for human consumption - Lettuces - Total,2393521.01,,1991233.1,,502,Peel-Harvey
3610658,Vegetables for human consumption - Lettuces - Total,1958388.83,^,1629235.19,^,503,Perth
3610658,Vegetables for human consumption - Lettuces - Total,82710.04,^,68808.65,^,505,South Coast
3610658,Vegetables for human consumption - Lettuces - Total,4827833.58,*,4016401.77,*,506,South West
3610658,Vegetables for human consumption - Lettuces - Total,1305875.28,^,1089864.96,^,603,South
3610658,Vegetables for human consumption - Lettuces - Total,14646.5,**,11866,**,701,Northern Territory
