Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
3606758,Vegetables for human consumption - Peas - Green - Fresh market,289887.74,**,250843.88,**,103,Greater Sydney
3606758,Vegetables for human consumption - Peas - Green - Fresh market,196529.55,**,170059.75,**,104,Hunter
3606758,Vegetables for human consumption - Peas - Green - Fresh market,8484.85,**,7342.06,**,106,North Coast
3606758,Vegetables for human consumption - Peas - Green - Fresh market,6320.07,*,5468.85,*,111,South East NSW
3606758,Vegetables for human consumption - Peas - Green - Fresh market,17925.49,**,15702.43,**,201,Corangamite
3606758,Vegetables for human consumption - Peas - Green - Fresh market,1344879.35,^,1178091.52,^,202,East Gippsland
3606758,Vegetables for human consumption - Peas - Green - Fresh market,70003.97,**,61322.3,**,204,Goulburn Broken
3606758,Vegetables for human consumption - Peas - Green - Fresh market,722500.16,*,632897.89,*,205,Mallee
3606758,Vegetables for human consumption - Peas - Green - Fresh market,1379921.92,,1208788.21,,208,Port Phillip and Western Port
3606758,Vegetables for human consumption - Peas - Green - Fresh market,6203236.6,*,5433930.13,*,209,West Gippsland
3606758,Vegetables for human consumption - Peas - Green - Fresh market,3120508.35,*,2731130.4,*,301,Burnett Mary
3606758,Vegetables for human consumption - Peas - Green - Fresh market,25697.53,,22490.98,,308,Northern Gulf
3606758,Vegetables for human consumption - Peas - Green - Fresh market,63519.82,^,55593.8,^,309,Queensland Murray Darling Basin
3606758,Vegetables for human consumption - Peas - Green - Fresh market,208303.85,*,182311.63,*,311,South East Queensland
3606758,Vegetables for human consumption - Peas - Green - Fresh market,11460.2,**,10037.33,**,407,South Australian Murray Darling Basin
3606758,Vegetables for human consumption - Peas - Green - Fresh market,612588,*,536921.88,*,602,North
3606758,Vegetables for human consumption - Peas - Green - Fresh market,3595,,3150.95,,603,South
