Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRMR_Code,NRMR name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
3608458,Vegetables for human consumption - Tomatoes - Processing,522606.59,^,522606.59,^,Vegetables for human consumption,Processing,105,Murray,,,
3608458,Vegetables for human consumption - Tomatoes - Processing,2536.56,*,2536.56,*,Vegetables for human consumption,Processing,111,South East NSW,,,
3608458,Vegetables for human consumption - Tomatoes - Processing,13802698.68,,13802698.68,,Vegetables for human consumption,Processing,204,Goulburn Broken,,,
3608458,Vegetables for human consumption - Tomatoes - Processing,5267255.07,,5267255.07,,Vegetables for human consumption,Processing,206,North Central,,,
3608458,Vegetables for human consumption - Tomatoes - Processing,349638.05,,349638.05,,Vegetables for human consumption,Processing,209,West Gippsland,,,
3608458,Vegetables for human consumption - Tomatoes - Processing,,,np,,Vegetables for human consumption,Processing,307,North Queensland Dry Tropics,,,
3608458,Vegetables for human consumption - Tomatoes - Processing,,,np,,Vegetables for human consumption,Processing,308,Northern Gulf,,,
3608458,Vegetables for human consumption - Tomatoes - Processing,38251.78,**,38251.78,**,Vegetables for human consumption,Processing,401,Adelaide and Mount Lofty Ranges,,,
3606658,Vegetables for human consumption - Peas - Green - Processing,19951.02,,19951.02,,Vegetables for human consumption,Processing,503,Perth,,,
3608458,Vegetables for human consumption - Tomatoes - Processing,,,np,,Vegetables for human consumption,Processing,503,Perth,,,
3608458,Vegetables for human consumption - Tomatoes - Processing,22320.93,,22320.93,,Vegetables for human consumption,Processing,505,South Coast,,,
3606658,Vegetables for human consumption - Peas - Green - Processing,2203057.48,^,2203057.48,^,Vegetables for human consumption,Processing,601,Cradle Coast,,,
3606658,Vegetables for human consumption - Peas - Green - Processing,6554707.26,^,6554707.26,^,Vegetables for human consumption,Processing,602,North,,,
