Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRMR_Code,NRMR name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
3607158,Vegetables for human consumption - Pumpkins,1517256.38,,1009377.68,,Vegetables for human consumption,Pumpkins,101,Central Tablelands,,,
3607158,Vegetables for human consumption - Pumpkins,524321.16,,348812.55,,Vegetables for human consumption,Pumpkins,102,Central West,,,
3607158,Vegetables for human consumption - Pumpkins,563206.42,*,374681.56,*,Vegetables for human consumption,Pumpkins,103,Greater Sydney,,,
3607158,Vegetables for human consumption - Pumpkins,1851060.27,**,1231445.75,**,Vegetables for human consumption,Pumpkins,105,Murray,,,
3607158,Vegetables for human consumption - Pumpkins,57772.6,*,38434.09,*,Vegetables for human consumption,Pumpkins,106,North Coast,,,
3607158,Vegetables for human consumption - Pumpkins,2702.11,*,1797.62,*,Vegetables for human consumption,Pumpkins,109,Northern Tablelands,,,
3607158,Vegetables for human consumption - Pumpkins,10371778.99,^,6899982.32,^,Vegetables for human consumption,Pumpkins,110,Riverina,,,
3607158,Vegetables for human consumption - Pumpkins,94699.04,^,62999.96,^,Vegetables for human consumption,Pumpkins,111,South East NSW,,,
3607158,Vegetables for human consumption - Pumpkins,6224444.61,**,4140905.61,**,Vegetables for human consumption,Pumpkins,112,Western,,,
3607158,Vegetables for human consumption - Pumpkins,637507.75,,595594.98,,Vegetables for human consumption,Pumpkins,202,East Gippsland,,,
3607158,Vegetables for human consumption - Pumpkins,920363.29,,859854.27,,Vegetables for human consumption,Pumpkins,204,Goulburn Broken,,,
3607158,Vegetables for human consumption - Pumpkins,544522.7,^,508723.21,^,Vegetables for human consumption,Pumpkins,205,Mallee,,,
3607158,Vegetables for human consumption - Pumpkins,98701.01,*,92211.94,*,Vegetables for human consumption,Pumpkins,206,North Central,,,
3607158,Vegetables for human consumption - Pumpkins,1788,**,1670.45,**,Vegetables for human consumption,Pumpkins,209,West Gippsland,,,
3607158,Vegetables for human consumption - Pumpkins,2001011.02,*,1370274.45,*,Vegetables for human consumption,Pumpkins,301,Burnett Mary,,,
3607158,Vegetables for human consumption - Pumpkins,112614.07,,77117.11,,Vegetables for human consumption,Pumpkins,302,Cape York,,,
3607158,Vegetables for human consumption - Pumpkins,1020892.59,^,699098.12,^,Vegetables for human consumption,Pumpkins,303,Condamine,,,
3607158,Vegetables for human consumption - Pumpkins,1235843.26,**,846294.41,**,Vegetables for human consumption,Pumpkins,306,Fitzroy Basin,,,
3607158,Vegetables for human consumption - Pumpkins,12399479.9,^,8491052.94,^,Vegetables for human consumption,Pumpkins,307,North Queensland Dry Tropics,,,
3607158,Vegetables for human consumption - Pumpkins,3636542.49,*,2490271.77,*,Vegetables for human consumption,Pumpkins,308,Northern Gulf,,,
3607158,Vegetables for human consumption - Pumpkins,1357367.09,*,929512.85,*,Vegetables for human consumption,Pumpkins,309,Queensland Murray Darling Basin,,,
3607158,Vegetables for human consumption - Pumpkins,161270.54,*,110436.62,*,Vegetables for human consumption,Pumpkins,310,Reef Catchments,,,
3607158,Vegetables for human consumption - Pumpkins,13897104.83,,9516613.1,,Vegetables for human consumption,Pumpkins,311,South East Queensland,,,
3607158,Vegetables for human consumption - Pumpkins,3214072.04,*,2200967.79,*,Vegetables for human consumption,Pumpkins,314,Terrain NRM,,,
3607158,Vegetables for human consumption - Pumpkins,1520978.45,^,1235054.14,^,Vegetables for human consumption,Pumpkins,407,South Australian Murray Darling Basin,,,
3607158,Vegetables for human consumption - Pumpkins,193285.42,,132081.83,,Vegetables for human consumption,Pumpkins,501,Northern Agricultural,,,
3607158,Vegetables for human consumption - Pumpkins,,,np,,Vegetables for human consumption,Pumpkins,502,Peel-Harvey,,,
3607158,Vegetables for human consumption - Pumpkins,,,np,,Vegetables for human consumption,Pumpkins,503,Perth,,,
3607158,Vegetables for human consumption - Pumpkins,,,np,,Vegetables for human consumption,Pumpkins,504,Rangelands,,,
3607158,Vegetables for human consumption - Pumpkins,19064.32,^,13027.62,^,Vegetables for human consumption,Pumpkins,505,South Coast,,,
3607158,Vegetables for human consumption - Pumpkins,4042512.19,*,2762455.65,*,Vegetables for human consumption,Pumpkins,506,South West,,,
3607158,Vegetables for human consumption - Pumpkins,156165.42,**,103273.49,**,Vegetables for human consumption,Pumpkins,601,Cradle Coast,,,
3607158,Vegetables for human consumption - Pumpkins,185733.61,^,122827.18,^,Vegetables for human consumption,Pumpkins,602,North,,,
3607158,Vegetables for human consumption - Pumpkins,331603.28,^,227078.96,^,Vegetables for human consumption,Pumpkins,701,Northern Territory,,,
