Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
3608458,Vegetables for human consumption - Tomatoes - Processing,522606.59,^,522606.59,^,105,Murray
3608458,Vegetables for human consumption - Tomatoes - Processing,2536.56,*,2536.56,*,111,South East NSW
3608458,Vegetables for human consumption - Tomatoes - Processing,13802698.68,,13802698.68,,204,Goulburn Broken
3608458,Vegetables for human consumption - Tomatoes - Processing,5267255.07,,5267255.07,,206,North Central
3608458,Vegetables for human consumption - Tomatoes - Processing,349638.05,,349638.05,,209,West Gippsland
3608458,Vegetables for human consumption - Tomatoes - Processing,,,,,307,North Queensland Dry Tropics
3608458,Vegetables for human consumption - Tomatoes - Processing,,,,,308,Northern Gulf
3608458,Vegetables for human consumption - Tomatoes - Processing,38251.78,**,38251.78,**,401,Adelaide and Mount Lofty Ranges
3608458,Vegetables for human consumption - Tomatoes - Processing,,,,,503,Perth
3608458,Vegetables for human consumption - Tomatoes - Processing,22320.93,,22320.93,,505,South Coast
