Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
4204158,Fruit and nuts - Orchard fruit - Avocados,1606583.61,*,1369249.2,*,103,Greater Sydney
4204158,Fruit and nuts - Orchard fruit - Avocados,1433827.84,,1222013.98,,105,Murray
4204158,Fruit and nuts - Orchard fruit - Avocados,28478685.62,*,24271639.17,*,106,North Coast
4204158,Fruit and nuts - Orchard fruit - Avocados,5245381.17,^,4470501.23,^,109,Northern Tablelands
4204158,Fruit and nuts - Orchard fruit - Avocados,714833.73,**,609234.1,**,112,Western
4204158,Fruit and nuts - Orchard fruit - Avocados,7209413.26,^,6278252.99,^,205,Mallee
4204158,Fruit and nuts - Orchard fruit - Avocados,20675.92,,18005.44,,207,North East
4204158,Fruit and nuts - Orchard fruit - Avocados,66.82,**,58.19,**,208,Port Phillip and Western Port
4204158,Fruit and nuts - Orchard fruit - Avocados,37546.04,**,32696.63,**,209,West Gippsland
4204158,Fruit and nuts - Orchard fruit - Avocados,75928020.96,,64666860.23,,301,Burnett Mary
4204158,Fruit and nuts - Orchard fruit - Avocados,50808.5,,43272.9,,302,Cape York
4204158,Fruit and nuts - Orchard fruit - Avocados,162002.94,,137975.7,,303,Condamine
4204158,Fruit and nuts - Orchard fruit - Avocados,92962.38,**,79174.79,**,306,Fitzroy Basin
4204158,Fruit and nuts - Orchard fruit - Avocados,14982989.62,*,12760807.98,*,308,Northern Gulf
4204158,Fruit and nuts - Orchard fruit - Avocados,24451412.58,^,20824934.72,^,311,South East Queensland
4204158,Fruit and nuts - Orchard fruit - Avocados,42547487.02,,36237114.59,,314,Terrain NRM
4204158,Fruit and nuts - Orchard fruit - Avocados,13191.33,^,11339.57,^,401,Adelaide and Mount Lofty Ranges
4204158,Fruit and nuts - Orchard fruit - Avocados,8039135.3,^,6910629.61,^,407,South Australian Murray Darling Basin
4204158,Fruit and nuts - Orchard fruit - Avocados,591737.59,*,509508.17,*,501,Northern Agricultural
4204158,Fruit and nuts - Orchard fruit - Avocados,5373821.01,**,4627060.68,**,503,Perth
4204158,Fruit and nuts - Orchard fruit - Avocados,1093785.27,^,941789.99,^,505,South Coast
4204158,Fruit and nuts - Orchard fruit - Avocados,80528858.35,,69338355.96,,506,South West
4204158,Fruit and nuts - Orchard fruit - Avocados,651293.68,**,560377.23,**,601,Cradle Coast
