Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
4200758,Fruit and nuts - Citrus fruit - Oranges,8329330.7,^,6687500.15,^,102,Central West
4200758,Fruit and nuts - Citrus fruit - Oranges,1651480.87,^,1325950.3,^,103,Greater Sydney
4200758,Fruit and nuts - Citrus fruit - Oranges,66.65,**,53.51,**,104,Hunter
4200758,Fruit and nuts - Citrus fruit - Oranges,3564383.31,**,2861792.23,**,105,Murray
4200758,Fruit and nuts - Citrus fruit - Oranges,3013.26,**,2419.3,**,106,North Coast
4200758,Fruit and nuts - Citrus fruit - Oranges,4373527.02,,3511442.11,,108,North West NSW
4200758,Fruit and nuts - Citrus fruit - Oranges,143902060.1,,115536899.9,,110,Riverina
4200758,Fruit and nuts - Citrus fruit - Oranges,33002.91,**,26497.57,**,111,South East NSW
4200758,Fruit and nuts - Citrus fruit - Oranges,43923814.17,*,35265800.36,*,112,Western
4200758,Fruit and nuts - Citrus fruit - Oranges,2819678.54,**,2271753.44,**,204,Goulburn Broken
4200758,Fruit and nuts - Citrus fruit - Oranges,39592943.87,,31899170.44,,205,Mallee
4200758,Fruit and nuts - Citrus fruit - Oranges,112468.77,**,90613.63,**,206,North Central
4200758,Fruit and nuts - Citrus fruit - Oranges,370.74,**,298.7,**,207,North East
4200758,Fruit and nuts - Citrus fruit - Oranges,1509.91,**,1216.5,**,208,Port Phillip and Western Port
4200758,Fruit and nuts - Citrus fruit - Oranges,581,**,468.1,**,209,West Gippsland
4200758,Fruit and nuts - Citrus fruit - Oranges,4387305.87,^,3575788.97,^,301,Burnett Mary
4200758,Fruit and nuts - Citrus fruit - Oranges,355196.65,**,289496.18,**,308,Northern Gulf
4200758,Fruit and nuts - Citrus fruit - Oranges,1225.07,*,998.47,*,309,Queensland Murray Darling Basin
4200758,Fruit and nuts - Citrus fruit - Oranges,2066.38,*,1684.16,*,310,Reef Catchments
4200758,Fruit and nuts - Citrus fruit - Oranges,163139113.5,,134606467.9,,407,South Australian Murray Darling Basin
4200758,Fruit and nuts - Citrus fruit - Oranges,15091973.66,,12478438.06,,501,Northern Agricultural
4200758,Fruit and nuts - Citrus fruit - Oranges,306930.53,,253778.18,,502,Peel-Harvey
4200758,Fruit and nuts - Citrus fruit - Oranges,94522.41,**,78153.6,**,503,Perth
4200758,Fruit and nuts - Citrus fruit - Oranges,7430.51,^,6143.74,^,504,Rangelands
4200758,Fruit and nuts - Citrus fruit - Oranges,2303.5,,1904.59,,505,South Coast
4200758,Fruit and nuts - Citrus fruit - Oranges,201687.51,**,166760.5,**,506,South West
