Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
3308158,Hay - Other crops cut for hay,88071.24,*,88071.24,*,101,Central Tablelands
3308158,Hay - Other crops cut for hay,2148766.03,*,2148766.03,*,102,Central West
3308158,Hay - Other crops cut for hay,112937.7,,112937.7,,103,Greater Sydney
3308158,Hay - Other crops cut for hay,147432.04,**,147432.04,**,104,Hunter
3308158,Hay - Other crops cut for hay,3985462.31,^,3985462.31,^,105,Murray
3308158,Hay - Other crops cut for hay,416102.49,**,416102.49,**,106,North Coast
3308158,Hay - Other crops cut for hay,1066761.82,*,1066761.82,*,108,North West NSW
3308158,Hay - Other crops cut for hay,541953.04,*,541953.04,*,109,Northern Tablelands
3308158,Hay - Other crops cut for hay,3118861.67,^,3118861.67,^,110,Riverina
3308158,Hay - Other crops cut for hay,56675.31,**,56675.31,**,111,South East NSW
3308158,Hay - Other crops cut for hay,158443.27,**,158443.27,**,112,Western
3308158,Hay - Other crops cut for hay,2844348.09,*,2844348.09,*,201,Corangamite
3308158,Hay - Other crops cut for hay,411965.29,*,411965.29,*,202,East Gippsland
3308158,Hay - Other crops cut for hay,3281351.72,*,3281351.72,*,203,Glenelg Hopkins
3308158,Hay - Other crops cut for hay,2787784.9,*,2787784.9,*,204,Goulburn Broken
3308158,Hay - Other crops cut for hay,12912351.88,^,12912351.88,^,205,Mallee
3308158,Hay - Other crops cut for hay,12428593.26,*,12428593.26,*,206,North Central
3308158,Hay - Other crops cut for hay,402076.4,*,402076.4,*,207,North East
3308158,Hay - Other crops cut for hay,960360.45,**,960360.45,**,208,Port Phillip and Western Port
3308158,Hay - Other crops cut for hay,125345.25,^,125345.25,^,209,West Gippsland
3308158,Hay - Other crops cut for hay,4456932.03,*,4456932.03,*,210,Wimmera
3308158,Hay - Other crops cut for hay,1374946.18,*,1374946.18,*,301,Burnett Mary
3308158,Hay - Other crops cut for hay,4203550.56,**,4203550.56,**,303,Condamine
3308158,Hay - Other crops cut for hay,110455.88,^,110455.88,^,305,Desert Channels
3308158,Hay - Other crops cut for hay,,,,,306,Fitzroy Basin
3308158,Hay - Other crops cut for hay,12591.99,*,12591.99,*,307,North Queensland Dry Tropics
3308158,Hay - Other crops cut for hay,,,,,308,Northern Gulf
3308158,Hay - Other crops cut for hay,,,,,309,Queensland Murray Darling Basin
3308158,Hay - Other crops cut for hay,5944834.8,**,5944834.8,**,311,South East Queensland
3308158,Hay - Other crops cut for hay,1148828.31,**,1148828.31,**,313,Southern Gulf
3308158,Hay - Other crops cut for hay,489917.78,**,489917.78,**,314,Terrain NRM
3308158,Hay - Other crops cut for hay,1594747.59,*,1594747.59,*,401,Adelaide and Mount Lofty Ranges
3308158,Hay - Other crops cut for hay,900872.54,*,900872.54,*,403,Eyre Peninsula
3308158,Hay - Other crops cut for hay,780555.16,^,780555.16,^,404,Kangaroo Island
3308158,Hay - Other crops cut for hay,10824848.82,*,10824848.82,*,405,Northern and Yorke
3308158,Hay - Other crops cut for hay,70348.04,**,70348.04,**,406,South Australian Arid Lands
3308158,Hay - Other crops cut for hay,2346111.65,^,2346111.65,^,407,South Australian Murray Darling Basin
3308158,Hay - Other crops cut for hay,2483022.01,*,2483022.01,*,408,South East
3308158,Hay - Other crops cut for hay,402612.32,*,402612.32,*,501,Northern Agricultural
3308158,Hay - Other crops cut for hay,607215.55,^,607215.55,^,502,Peel-Harvey
3308158,Hay - Other crops cut for hay,20095.05,^,20095.05,^,503,Perth
3308158,Hay - Other crops cut for hay,3918716.78,^,3918716.78,^,504,Rangelands
3308158,Hay - Other crops cut for hay,1216931.89,**,1216931.89,**,505,South Coast
3308158,Hay - Other crops cut for hay,1668053.45,*,1668053.45,*,506,South West
3308158,Hay - Other crops cut for hay,4944081.8,*,4944081.8,*,507,Wheatbelt
3308158,Hay - Other crops cut for hay,259542.94,*,259542.94,*,601,Cradle Coast
3308158,Hay - Other crops cut for hay,1185407.17,^,1185407.17,^,602,North
3308158,Hay - Other crops cut for hay,207859.21,^,207859.21,^,603,South
3308158,Hay - Other crops cut for hay,1993080.17,^,1993080.17,^,701,Northern Territory
