Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
9100916,Livestock slaughtered and other disposals - Other n.e.c.,950643.87,^,906788.29,^,101,Central Tablelands
9100916,Livestock slaughtered and other disposals - Other n.e.c.,600369.87,*,572673.3,*,102,Central West
9100916,Livestock slaughtered and other disposals - Other n.e.c.,197952.78,*,188820.72,*,103,Greater Sydney
9100916,Livestock slaughtered and other disposals - Other n.e.c.,515631.33,*,491843.97,*,104,Hunter
9100916,Livestock slaughtered and other disposals - Other n.e.c.,266346.62,^,254059.38,^,105,Murray
9100916,Livestock slaughtered and other disposals - Other n.e.c.,2505133.53,**,2389565.47,**,106,North Coast
9100916,Livestock slaughtered and other disposals - Other n.e.c.,263373.11,^,251223.05,^,108,North West NSW
9100916,Livestock slaughtered and other disposals - Other n.e.c.,442992.68,*,422556.32,*,109,Northern Tablelands
9100916,Livestock slaughtered and other disposals - Other n.e.c.,910970.83,^,868945.47,^,110,Riverina
9100916,Livestock slaughtered and other disposals - Other n.e.c.,343519.53,*,327672.12,*,111,South East NSW
9100916,Livestock slaughtered and other disposals - Other n.e.c.,5362323.14,^,5114945.79,^,112,Western
9100916,Livestock slaughtered and other disposals - Other n.e.c.,15476773.22,^,14761707.59,^,201,Corangamite
9100916,Livestock slaughtered and other disposals - Other n.e.c.,891707.32,^,850508.21,^,202,East Gippsland
9100916,Livestock slaughtered and other disposals - Other n.e.c.,6082069.95,**,5801063.11,**,203,Glenelg Hopkins
9100916,Livestock slaughtered and other disposals - Other n.e.c.,15920623.1,*,15185050.49,*,204,Goulburn Broken
9100916,Livestock slaughtered and other disposals - Other n.e.c.,380362.47,*,362788.78,*,205,Mallee
9100916,Livestock slaughtered and other disposals - Other n.e.c.,31556887.3,**,30098880.17,**,206,North Central
9100916,Livestock slaughtered and other disposals - Other n.e.c.,2928237.18,^,2792945.3,^,207,North East
9100916,Livestock slaughtered and other disposals - Other n.e.c.,6637565.15,^,6330893.04,^,208,Port Phillip and Western Port
9100916,Livestock slaughtered and other disposals - Other n.e.c.,35957899.92,**,34296554.99,**,209,West Gippsland
9100916,Livestock slaughtered and other disposals - Other n.e.c.,522761.28,*,498608.4,*,210,Wimmera
9100916,Livestock slaughtered and other disposals - Other n.e.c.,1726706.65,^,1605479.86,^,301,Burnett Mary
9100916,Livestock slaughtered and other disposals - Other n.e.c.,33617.54,^,31257.35,^,302,Cape York
9100916,Livestock slaughtered and other disposals - Other n.e.c.,2435311.84,*,2264336.06,*,303,Condamine
9100916,Livestock slaughtered and other disposals - Other n.e.c.,21065.56,*,19586.61,*,304,Cooperative Management Area
9100916,Livestock slaughtered and other disposals - Other n.e.c.,4201317.58,^,3906355.94,^,305,Desert Channels
9100916,Livestock slaughtered and other disposals - Other n.e.c.,4177368.8,*,3884088.53,*,306,Fitzroy Basin
9100916,Livestock slaughtered and other disposals - Other n.e.c.,878279.5,^,816618.19,^,307,North Queensland Dry Tropics
9100916,Livestock slaughtered and other disposals - Other n.e.c.,2781076.93,**,2585826.04,**,308,Northern Gulf
9100916,Livestock slaughtered and other disposals - Other n.e.c.,19889219.31,**,18492858.17,**,309,Queensland Murray Darling Basin
9100916,Livestock slaughtered and other disposals - Other n.e.c.,359417.84,*,334184.22,*,310,Reef Catchments
9100916,Livestock slaughtered and other disposals - Other n.e.c.,2818637.88,**,2620749.95,**,311,South East Queensland
9100916,Livestock slaughtered and other disposals - Other n.e.c.,6561853.45,*,6101165.83,*,312,South West Queensland
9100916,Livestock slaughtered and other disposals - Other n.e.c.,424863,*,395034.67,*,313,Southern Gulf
9100916,Livestock slaughtered and other disposals - Other n.e.c.,155232.58,^,144334.17,^,314,Terrain NRM
9100916,Livestock slaughtered and other disposals - Other n.e.c.,,,,,401,Adelaide and Mount Lofty Ranges
9100916,Livestock slaughtered and other disposals - Other n.e.c.,,,,,403,Eyre Peninsula
9100916,Livestock slaughtered and other disposals - Other n.e.c.,,,,,404,Kangaroo Island
9100916,Livestock slaughtered and other disposals - Other n.e.c.,,,,,405,Northern and Yorke
9100916,Livestock slaughtered and other disposals - Other n.e.c.,,,,,406,South Australian Arid Lands
9100916,Livestock slaughtered and other disposals - Other n.e.c.,,,,,407,South Australian Murray Darling Basin
9100916,Livestock slaughtered and other disposals - Other n.e.c.,,,,,408,South East
9100916,Livestock slaughtered and other disposals - Other n.e.c.,,,,,501,Northern Agricultural
9100916,Livestock slaughtered and other disposals - Other n.e.c.,,,,,502,Peel-Harvey
9100916,Livestock slaughtered and other disposals - Other n.e.c.,,,,,503,Perth
9100916,Livestock slaughtered and other disposals - Other n.e.c.,2517776.77,*,2357294.4,*,504,Rangelands
9100916,Livestock slaughtered and other disposals - Other n.e.c.,,,,,505,South Coast
9100916,Livestock slaughtered and other disposals - Other n.e.c.,,,,,506,South West
9100916,Livestock slaughtered and other disposals - Other n.e.c.,,,,,507,Wheatbelt
9100916,Livestock slaughtered and other disposals - Other n.e.c.,,,,,601,Cradle Coast
9100916,Livestock slaughtered and other disposals - Other n.e.c.,,,,,602,North
9100916,Livestock slaughtered and other disposals - Other n.e.c.,,,,,603,South
9100916,Livestock slaughtered and other disposals - Other n.e.c.,29058290,^,26501380,^,701,Northern Territory
