Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,NRMR_Code,NRMR name
1901916,Broadacre crops - Non-cereal crops - Other pulses,1342862.41,*,1282945.69,*,101,Central Tablelands
1901916,Broadacre crops - Non-cereal crops - Other pulses,141935026.2,^,135602075.3,^,102,Central West
1901916,Broadacre crops - Non-cereal crops - Other pulses,45642.01,,43605.52,,103,Greater Sydney
1901916,Broadacre crops - Non-cereal crops - Other pulses,22678025.99,^,21666162.83,^,105,Murray
1901916,Broadacre crops - Non-cereal crops - Other pulses,61953.76,^,59189.46,^,106,North Coast
1901916,Broadacre crops - Non-cereal crops - Other pulses,547883327.4,,523437506.7,,108,North West NSW
1901916,Broadacre crops - Non-cereal crops - Other pulses,21497253.9,^,20538075.21,^,109,Northern Tablelands
1901916,Broadacre crops - Non-cereal crops - Other pulses,69617700.1,,66511451.51,,110,Riverina
1901916,Broadacre crops - Non-cereal crops - Other pulses,1840659.18,**,1758531.43,**,111,South East NSW
1901916,Broadacre crops - Non-cereal crops - Other pulses,9492874.11,*,9069314.78,*,112,Western
1901916,Broadacre crops - Non-cereal crops - Other pulses,12377492.18,^,11736774.03,^,201,Corangamite
1901916,Broadacre crops - Non-cereal crops - Other pulses,446531.22,**,423416.63,**,202,East Gippsland
1901916,Broadacre crops - Non-cereal crops - Other pulses,10471236.19,^,9929194.96,^,203,Glenelg Hopkins
1901916,Broadacre crops - Non-cereal crops - Other pulses,1243466.24,*,1179098.48,*,204,Goulburn Broken
1901916,Broadacre crops - Non-cereal crops - Other pulses,176249281.7,^,167125776.5,^,205,Mallee
1901916,Broadacre crops - Non-cereal crops - Other pulses,70942293.98,^,67269981.8,^,206,North Central
1901916,Broadacre crops - Non-cereal crops - Other pulses,772439.08,*,732453.94,*,207,North East
1901916,Broadacre crops - Non-cereal crops - Other pulses,4055134.01,**,3845220.89,**,208,Port Phillip and Western Port
1901916,Broadacre crops - Non-cereal crops - Other pulses,511539.6,**,485059.87,**,209,West Gippsland
1901916,Broadacre crops - Non-cereal crops - Other pulses,170486107.9,^,161660932.1,^,210,Wimmera
1901916,Broadacre crops - Non-cereal crops - Other pulses,3524605.44,^,3401376.63,^,301,Burnett Mary
1901916,Broadacre crops - Non-cereal crops - Other pulses,192812338.2,^,186071148.5,^,303,Condamine
1901916,Broadacre crops - Non-cereal crops - Other pulses,903391.6,**,871806.82,**,304,Cooperative Management Area
1901916,Broadacre crops - Non-cereal crops - Other pulses,189501393.1,,182875962,,306,Fitzroy Basin
1901916,Broadacre crops - Non-cereal crops - Other pulses,44624690.09,*,43064502.05,*,307,North Queensland Dry Tropics
1901916,Broadacre crops - Non-cereal crops - Other pulses,42733.17,,41239.11,,308,Northern Gulf
1901916,Broadacre crops - Non-cereal crops - Other pulses,308115658.3,,297343183.2,,309,Queensland Murray Darling Basin
1901916,Broadacre crops - Non-cereal crops - Other pulses,97142.25,**,93745.92,**,310,Reef Catchments
1901916,Broadacre crops - Non-cereal crops - Other pulses,2553452.17,*,2464177.25,*,311,South East Queensland
1901916,Broadacre crops - Non-cereal crops - Other pulses,1582965.12,^,1527620.8,^,312,South West Queensland
1901916,Broadacre crops - Non-cereal crops - Other pulses,260101.8,*,251008.01,*,314,Terrain NRM
1901916,Broadacre crops - Non-cereal crops - Other pulses,23516113.65,,22663036.13,,401,Adelaide and Mount Lofty Ranges
1901916,Broadacre crops - Non-cereal crops - Other pulses,67255501.83,,64815721.26,,403,Eyre Peninsula
1901916,Broadacre crops - Non-cereal crops - Other pulses,3827268.77,^,3688429.63,^,404,Kangaroo Island
1901916,Broadacre crops - Non-cereal crops - Other pulses,307759522.8,,296595146.9,,405,Northern and Yorke
1901916,Broadacre crops - Non-cereal crops - Other pulses,229579.74,,221251.44,,406,South Australian Arid Lands
1901916,Broadacre crops - Non-cereal crops - Other pulses,45108707.67,^,43472330.78,^,407,South Australian Murray Darling Basin
1901916,Broadacre crops - Non-cereal crops - Other pulses,48336087.78,^,46582633.49,^,408,South East
1901916,Broadacre crops - Non-cereal crops - Other pulses,140960252.1,^,131313156.5,^,501,Northern Agricultural
1901916,Broadacre crops - Non-cereal crops - Other pulses,1673827.93,^,1559273.8,^,502,Peel-Harvey
1901916,Broadacre crops - Non-cereal crops - Other pulses,408616.22,^,380651.17,^,504,Rangelands
1901916,Broadacre crops - Non-cereal crops - Other pulses,17416760.14,^,16224784.77,^,505,South Coast
1901916,Broadacre crops - Non-cereal crops - Other pulses,6232358.62,^,5805825.91,^,506,South West
1901916,Broadacre crops - Non-cereal crops - Other pulses,54333458.35,,50614962.84,,507,Wheatbelt
1901916,Broadacre crops - Non-cereal crops - Other pulses,150367.02,^,146374,^,601,Cradle Coast
1901916,Broadacre crops - Non-cereal crops - Other pulses,,,,,602,North
1901916,Broadacre crops - Non-cereal crops - Other pulses,,,,,603,South
1901916,Broadacre crops - Non-cereal crops - Other pulses,168522.79,^,162630.82,^,701,Northern Territory
1901916,Broadacre crops - Non-cereal crops - Other pulses,,,,,801,ACT
