Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,NRM_Code,NRM name
1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",203332656.4,,182999390.7,,"Nurseries, cut flowers or cultivated turf",Outdoor,1,New South Wales
1919458,"Nurseries, cut flowers or cultivated turf - Cut flowers - Outdoor",13423891.27,,12081502.14,,"Nurseries, cut flowers or cultivated turf",Outdoor,1,New South Wales
1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",296070604.5,,266463544.1,,"Nurseries, cut flowers or cultivated turf",Outdoor,2,Victoria
1919458,"Nurseries, cut flowers or cultivated turf - Cut flowers - Outdoor",94202621.79,,84782359.61,,"Nurseries, cut flowers or cultivated turf",Outdoor,2,Victoria
1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",135065404,^,121558863.6,^,"Nurseries, cut flowers or cultivated turf",Outdoor,3,Queensland
1919458,"Nurseries, cut flowers or cultivated turf - Cut flowers - Outdoor",15382606.57,^,13844345.92,^,"Nurseries, cut flowers or cultivated turf",Outdoor,3,Queensland
1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",41429970.55,,37286973.49,,"Nurseries, cut flowers or cultivated turf",Outdoor,4,South Australia
1919458,"Nurseries, cut flowers or cultivated turf - Cut flowers - Outdoor",3090839.19,*,2781755.27,*,"Nurseries, cut flowers or cultivated turf",Outdoor,4,South Australia
1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",np,,np,,"Nurseries, cut flowers or cultivated turf",Outdoor,5,Western Australia
1919458,"Nurseries, cut flowers or cultivated turf - Cut flowers - Outdoor",np,,np,,"Nurseries, cut flowers or cultivated turf",Outdoor,5,Western Australia
1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",26329840.26,,23696856.23,,"Nurseries, cut flowers or cultivated turf",Outdoor,6,Tasmania
1919458,"Nurseries, cut flowers or cultivated turf - Cut flowers - Outdoor",np,,np,,"Nurseries, cut flowers or cultivated turf",Outdoor,6,Tasmania
1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",4580024.64,,4122022.17,,"Nurseries, cut flowers or cultivated turf",Outdoor,7,Northern Territory
1919458,"Nurseries, cut flowers or cultivated turf - Cut flowers - Outdoor",250221.34,,225199.21,,"Nurseries, cut flowers or cultivated turf",Outdoor,7,Northern Territory
1919258,"Nurseries, cut flowers or cultivated turf - Nurseries - Outdoor",np,,np,,"Nurseries, cut flowers or cultivated turf",Outdoor,8,Australian Capital Territory
