Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
1501758,Broadacre crops - Cereal crops - Barley for grain,9677155.46,**,8416992.37,**,Broadacre crops,Barley for grain,101,Capital Region,,,
1501758,Broadacre crops - Cereal crops - Barley for grain,95026033.08,,82651704.72,,Broadacre crops,Barley for grain,103,Central West,,,
1501758,Broadacre crops - Cereal crops - Barley for grain,144318.5,**,125525.28,**,Broadacre crops,Barley for grain,104,Coffs Harbour - Grafton,,,
1501758,Broadacre crops - Cereal crops - Barley for grain,85161923.66,^,74072103.61,^,Broadacre crops,Barley for grain,105,Far West and Orana,,,
1501758,Broadacre crops - Cereal crops - Barley for grain,1893487.73,*,1646917,*,Broadacre crops,Barley for grain,106,Hunter Valley excluding Newcastle,,,
1501758,Broadacre crops - Cereal crops - Barley for grain,105665089.9,,91905339.23,,Broadacre crops,Barley for grain,109,Murray,,,
1501758,Broadacre crops - Cereal crops - Barley for grain,174181674.7,,151499666.7,,Broadacre crops,Barley for grain,110,New England and North West,,,
1501758,Broadacre crops - Cereal crops - Barley for grain,127899070,,111244001.5,,Broadacre crops,Barley for grain,113,Riverina,,,
1501758,Broadacre crops - Cereal crops - Barley for grain,254553.66,,221405.58,,Broadacre crops,Barley for grain,122,Sydney - Northern Beaches,,,
1501758,Broadacre crops - Cereal crops - Barley for grain,869725,,756469.06,,Broadacre crops,Barley for grain,127,Sydney - South West,,,
1501758,Broadacre crops - Cereal crops - Barley for grain,23762548.75,^,20559857.68,^,Broadacre crops,Barley for grain,201,Ballarat,,,
1501758,Broadacre crops - Cereal crops - Barley for grain,65779964.02,^,56914210.35,^,Broadacre crops,Barley for grain,202,Bendigo,,,
1501758,Broadacre crops - Cereal crops - Barley for grain,6873757.02,^,5947319.35,^,Broadacre crops,Barley for grain,203,Geelong,,,
1501758,Broadacre crops - Cereal crops - Barley for grain,577722.45,^,499857.63,^,Broadacre crops,Barley for grain,204,Hume,,,
1501758,Broadacre crops - Cereal crops - Barley for grain,1551935.15,**,1342766.98,**,Broadacre crops,Barley for grain,205,Latrobe - Gippsland,,,
1501758,Broadacre crops - Cereal crops - Barley for grain,272273.6,**,235576.86,**,Broadacre crops,Barley for grain,210,Melbourne - North West,,,
1501758,Broadacre crops - Cereal crops - Barley for grain,209573.16,,181327.11,,Broadacre crops,Barley for grain,213,Melbourne - West,,,
1501758,Broadacre crops - Cereal crops - Barley for grain,449718693.5,,389106085.7,,Broadacre crops,Barley for grain,215,North West,,,
1501758,Broadacre crops - Cereal crops - Barley for grain,12274140.07,^,10619844.51,^,Broadacre crops,Barley for grain,216,Shepparton,,,
1501758,Broadacre crops - Cereal crops - Barley for grain,12765058.23,*,11044597.24,*,Broadacre crops,Barley for grain,217,Warrnambool and South West,,,
