Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,29630824.42,^,25316808.57,^,Broadacre crops,Cut for crushing,104,Coffs Harbour - Grafton,,,
1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,3998048.46,**,3415963.93,**,Broadacre crops,Cut for crushing,110,New England and North West,,,
1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,63566103.32,^,54311376.79,^,Broadacre crops,Cut for crushing,112,Richmond - Tweed,,,
1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,326033775.5,,321334189.5,,Broadacre crops,Cut for crushing,306,Cairns,,,
1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,8862525.81,*,8734777.69,*,Broadacre crops,Cut for crushing,309,Gold Coast,,,
1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,460627582,,453987905.1,,Broadacre crops,Cut for crushing,312,Mackay - Isaac - Whitsunday,,,
1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,15313220.75,,15092489.64,,Broadacre crops,Cut for crushing,315,Queensland - Outback,,,
1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,1321897.45,*,1302843.08,*,Broadacre crops,Cut for crushing,316,Sunshine Coast,,,
1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,519242802.1,,511758221.2,,Broadacre crops,Cut for crushing,318,Townsville,,,
1902158,Broadacre crops - Non-cereal crops - Sugar cane - Cut for crushing,195858830.4,,193035640,,Broadacre crops,Cut for crushing,319,Wide Bay,,,
