Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,542983.07,^,526829.2,^,103,Central West
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,451712.54,^,438273.99,^,104,Coffs Harbour - Grafton
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,3257204.7,*,3160302.14,*,105,Far West and Orana
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,1223323.61,**,1186929.46,**,108,Mid North Coast
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,114692.45,^,111280.33,^,109,Murray
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,14264972.46,^,13840586.35,^,110,New England and North West
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,4287022.76,*,4159482.88,*,112,Richmond - Tweed
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,7928193.41,^,7692327.89,^,113,Riverina
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,382951.07,**,371558.19,**,201,Ballarat
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,417411.96,**,404993.86,**,203,Geelong
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,31388,,30454.2,,205,Latrobe - Gippsland
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,1745427.86,,1693500.99,,215,North West
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,58292,,56557.8,,216,Shepparton
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,189776.98,*,184131.08,*,217,Warrnambool and South West
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,738554.54,**,716582.37,**,306,Cairns
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,2513193.66,*,2438425.58,*,307,Darling Downs - Maranoa
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,631431.37,^,612646.14,^,308,Central Queensland
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,672504.69,**,652497.53,**,310,Ipswich
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,1303748.49,**,1264961.69,**,311,Logan - Beaudesert
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,730069.46,,708349.73,,312,Mackay - Isaac - Whitsunday
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,41505.45,**,40270.66,**,315,Queensland - Outback
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,92989.2,**,90222.75,**,318,Townsville
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,2433514.75,*,2361117.15,*,319,Wide Bay
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,462371.21,**,448615.56,**,405,Barossa - Yorke - Mid North
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,41461.77,**,40228.28,**,407,South Australia - South East
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,345312.97,**,335039.83,**,509,Western Australia - Wheat Belt
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,589197.6,,571668.84,,510,Western Australia - Outback (North)
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,467513.02,^,453604.4,^,602,Launceston and North East
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,47734.52,*,46314.41,*,603,South East
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,2364417.54,*,2294075.6,*,604,West and North West
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,3449.23,*,3346.62,*,702,Northern Territory - Outback
