Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,542983.07,^,526829.2,^,Broadacre crops,Other oilseeds,103,Central West,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,451712.54,^,438273.99,^,Broadacre crops,Other oilseeds,104,Coffs Harbour - Grafton,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,3257204.7,*,3160302.14,*,Broadacre crops,Other oilseeds,105,Far West and Orana,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,1223323.61,**,1186929.46,**,Broadacre crops,Other oilseeds,108,Mid North Coast,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,114692.45,^,111280.33,^,Broadacre crops,Other oilseeds,109,Murray,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,14264972.46,^,13840586.35,^,Broadacre crops,Other oilseeds,110,New England and North West,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,4287022.76,*,4159482.88,*,Broadacre crops,Other oilseeds,112,Richmond - Tweed,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,7928193.41,^,7692327.89,^,Broadacre crops,Other oilseeds,113,Riverina,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,382951.07,**,371558.19,**,Broadacre crops,Other oilseeds,201,Ballarat,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,417411.96,**,404993.86,**,Broadacre crops,Other oilseeds,203,Geelong,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,31388,,30454.2,,Broadacre crops,Other oilseeds,205,Latrobe - Gippsland,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,1745427.86,,1693500.99,,Broadacre crops,Other oilseeds,215,North West,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,58292,,56557.8,,Broadacre crops,Other oilseeds,216,Shepparton,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,189776.98,*,184131.08,*,Broadacre crops,Other oilseeds,217,Warrnambool and South West,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,738554.54,**,716582.37,**,Broadacre crops,Other oilseeds,306,Cairns,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,2513193.66,*,2438425.58,*,Broadacre crops,Other oilseeds,307,Darling Downs - Maranoa,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,631431.37,^,612646.14,^,Broadacre crops,Other oilseeds,308,Central Queensland,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,672504.69,**,652497.53,**,Broadacre crops,Other oilseeds,310,Ipswich,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,1303748.49,**,1264961.69,**,Broadacre crops,Other oilseeds,311,Logan - Beaudesert,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,730069.46,,708349.73,,Broadacre crops,Other oilseeds,312,Mackay - Isaac - Whitsunday,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,41505.45,**,40270.66,**,Broadacre crops,Other oilseeds,315,Queensland - Outback,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,92989.2,**,90222.75,**,Broadacre crops,Other oilseeds,318,Townsville,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,2433514.75,*,2361117.15,*,Broadacre crops,Other oilseeds,319,Wide Bay,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,462371.21,**,448615.56,**,Broadacre crops,Other oilseeds,405,Barossa - Yorke - Mid North,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,41461.77,**,40228.28,**,Broadacre crops,Other oilseeds,407,South Australia - South East,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,345312.97,**,335039.83,**,Broadacre crops,Other oilseeds,509,Western Australia - Wheat Belt,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,589197.6,,571668.84,,Broadacre crops,Other oilseeds,510,Western Australia - Outback (North),,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,467513.02,^,453604.4,^,Broadacre crops,Other oilseeds,602,Launceston and North East,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,47734.52,*,46314.41,*,Broadacre crops,Other oilseeds,603,South East,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,2364417.54,*,2294075.6,*,Broadacre crops,Other oilseeds,604,West and North West,,,
1901716,Broadacre crops - Non-cereal crops - Oilseeds - Other oilseeds,3449.23,*,3346.62,*,Broadacre crops,Other oilseeds,702,Northern Territory - Outback,,,
