Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
1504158,Broadacre crops - Cereal crops - Sorghum for grain,612457.09,*,544762.63,*,Broadacre crops,Sorghum for grain,103,Central West,,,
1504158,Broadacre crops - Cereal crops - Sorghum for grain,8995769.65,*,8001473.5,*,Broadacre crops,Sorghum for grain,105,Far West and Orana,,,
1504158,Broadacre crops - Cereal crops - Sorghum for grain,153946.18,^,136930.62,^,Broadacre crops,Sorghum for grain,109,Murray,,,
1504158,Broadacre crops - Cereal crops - Sorghum for grain,84168761.83,,74865647.3,,Broadacre crops,Sorghum for grain,110,New England and North West,,,
1504158,Broadacre crops - Cereal crops - Sorghum for grain,1694408.2,,1507126.44,,Broadacre crops,Sorghum for grain,113,Riverina,,,
1504158,Broadacre crops - Cereal crops - Sorghum for grain,999676.99,,889183.39,,Broadacre crops,Sorghum for grain,122,Sydney - Northern Beaches,,,
1504158,Broadacre crops - Cereal crops - Sorghum for grain,86563.31,^,78029.08,^,Broadacre crops,Sorghum for grain,205,Latrobe - Gippsland,,,
1504158,Broadacre crops - Cereal crops - Sorghum for grain,110432.61,,99545.12,,Broadacre crops,Sorghum for grain,215,North West,,,
1504158,Broadacre crops - Cereal crops - Sorghum for grain,111187.02,**,95848.55,**,Broadacre crops,Sorghum for grain,306,Cairns,,,
1504158,Broadacre crops - Cereal crops - Sorghum for grain,99893281.42,,86112799.77,,Broadacre crops,Sorghum for grain,307,Darling Downs - Maranoa,,,
1504158,Broadacre crops - Cereal crops - Sorghum for grain,21644807.4,^,18658862.13,^,Broadacre crops,Sorghum for grain,308,Central Queensland,,,
1504158,Broadacre crops - Cereal crops - Sorghum for grain,536590.77,**,462566.98,**,Broadacre crops,Sorghum for grain,310,Ipswich,,,
1504158,Broadacre crops - Cereal crops - Sorghum for grain,13209182.73,^,11386949.07,^,Broadacre crops,Sorghum for grain,312,Mackay - Isaac - Whitsunday,,,
1504158,Broadacre crops - Cereal crops - Sorghum for grain,1632017.66,,1406877.5,,Broadacre crops,Sorghum for grain,315,Queensland - Outback,,,
1504158,Broadacre crops - Cereal crops - Sorghum for grain,905744.55,**,780795.25,**,Broadacre crops,Sorghum for grain,317,Toowoomba,,,
1504158,Broadacre crops - Cereal crops - Sorghum for grain,202908.74,^,174917.07,^,Broadacre crops,Sorghum for grain,318,Townsville,,,
1504158,Broadacre crops - Cereal crops - Sorghum for grain,1263152.19,*,1088897.77,*,Broadacre crops,Sorghum for grain,319,Wide Bay,,,
1504158,Broadacre crops - Cereal crops - Sorghum for grain,5455.48,**,4852.49,**,Broadacre crops,Sorghum for grain,407,South Australia - South East,,,
1504158,Broadacre crops - Cereal crops - Sorghum for grain,586698.3,*,540719.27,*,Broadacre crops,Sorghum for grain,510,Western Australia - Outback (North),,,
