Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,30202.55,*,28668.81,*,Fruit and nuts,All other nuts n.e.c.,101,Capital Region,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,326214.27,**,309648.59,**,Fruit and nuts,All other nuts n.e.c.,105,Far West and Orana,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,43386.08,**,41182.86,**,Fruit and nuts,All other nuts n.e.c.,106,Hunter Valley excluding Newcastle,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,265658.03,**,252167.49,**,Fruit and nuts,All other nuts n.e.c.,108,Mid North Coast,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,17313148.95,**,16433960.03,**,Fruit and nuts,All other nuts n.e.c.,109,Murray,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,4233810.65,,4018811.09,,Fruit and nuts,All other nuts n.e.c.,110,New England and North West,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,337149.75,**,320028.75,**,Fruit and nuts,All other nuts n.e.c.,112,Richmond - Tweed,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,30521195.53,,28971281.24,,Fruit and nuts,All other nuts n.e.c.,113,Riverina,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,296.77,*,281.7,*,Fruit and nuts,All other nuts n.e.c.,114,Southern Highlands and Shoalhaven,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,110.55,**,104.93,**,Fruit and nuts,All other nuts n.e.c.,124,Sydney - Outer West and Blue Mountains,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,2903.27,**,2755.84,**,Fruit and nuts,All other nuts n.e.c.,201,Ballarat,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,513088.92,**,487033.46,**,Fruit and nuts,All other nuts n.e.c.,202,Bendigo,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,2468863.95,*,2343491.16,*,Fruit and nuts,All other nuts n.e.c.,204,Hume,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,34627.77,**,32869.32,**,Fruit and nuts,All other nuts n.e.c.,205,Latrobe - Gippsland,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,7944592.25,**,7541153.36,**,Fruit and nuts,All other nuts n.e.c.,215,North West,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,150672.97,,143021.56,,Fruit and nuts,All other nuts n.e.c.,310,Ipswich,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,110493.51,,104882.48,,Fruit and nuts,All other nuts n.e.c.,317,Toowoomba,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,894997.43,^,849548.05,^,Fruit and nuts,All other nuts n.e.c.,319,Wide Bay,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,9547.37,**,9062.54,**,Fruit and nuts,All other nuts n.e.c.,401,Adelaide - Central and Hills,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,16300.11,**,15472.37,**,Fruit and nuts,All other nuts n.e.c.,403,Adelaide - South,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,477.37,**,453.13,**,Fruit and nuts,All other nuts n.e.c.,405,Barossa - Yorke - Mid North,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,368895.13,**,350162.06,**,Fruit and nuts,All other nuts n.e.c.,407,South Australia - South East,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,3988009.76,**,3785492.36,**,Fruit and nuts,All other nuts n.e.c.,501,Bunbury,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,13506.84,,12820.95,,Fruit and nuts,All other nuts n.e.c.,509,Western Australia - Wheat Belt,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,135605.67,,128719.4,,Fruit and nuts,All other nuts n.e.c.,601,Hobart,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,567854.62,*,539018.07,*,Fruit and nuts,All other nuts n.e.c.,602,Launceston and North East,,,
4209758,Fruit and nuts - Nuts - All other nuts n.e.c.,6540979.41,^,6208818.19,^,Fruit and nuts,All other nuts n.e.c.,603,South East,,,
