Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,2379.15,*,2205.9,*,Fruit and nuts,All other orchard fruit n.e.c.,101,Capital Region,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,10305.97,*,9555.5,*,Fruit and nuts,All other orchard fruit n.e.c.,104,Coffs Harbour - Grafton,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,34410.6,**,31904.84,**,Fruit and nuts,All other orchard fruit n.e.c.,105,Far West and Orana,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,220027.38,**,204005.12,**,Fruit and nuts,All other orchard fruit n.e.c.,108,Mid North Coast,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,4332455.3,*,4016968.54,*,Fruit and nuts,All other orchard fruit n.e.c.,112,Richmond - Tweed,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,3814603.63,**,3536826.52,**,Fruit and nuts,All other orchard fruit n.e.c.,113,Riverina,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,844747.43,**,783233.44,**,Fruit and nuts,All other orchard fruit n.e.c.,115,Sydney - Baulkham Hills and Hawkesbury,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,147638.26,*,136887.33,*,Fruit and nuts,All other orchard fruit n.e.c.,124,Sydney - Outer West and Blue Mountains,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,851.97,**,789.93,**,Fruit and nuts,All other orchard fruit n.e.c.,127,Sydney - South West,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,6005.42,**,5791.7,**,Fruit and nuts,All other orchard fruit n.e.c.,202,Bendigo,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,14113.2,**,13610.93,**,Fruit and nuts,All other orchard fruit n.e.c.,205,Latrobe - Gippsland,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,264622.54,**,255204.93,**,Fruit and nuts,All other orchard fruit n.e.c.,215,North West,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,628072.37,**,605719.99,**,Fruit and nuts,All other orchard fruit n.e.c.,216,Shepparton,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,30658.53,**,28351.64,**,Fruit and nuts,All other orchard fruit n.e.c.,304,Brisbane - West,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,5532758.13,*,5116448.27,*,Fruit and nuts,All other orchard fruit n.e.c.,306,Cairns,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,24019.2,*,22211.88,*,Fruit and nuts,All other orchard fruit n.e.c.,307,Darling Downs - Maranoa,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,306384.23,*,283330.49,*,Fruit and nuts,All other orchard fruit n.e.c.,308,Central Queensland,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,26560.36,**,24561.84,**,Fruit and nuts,All other orchard fruit n.e.c.,309,Gold Coast,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,15673.56,**,14494.21,**,Fruit and nuts,All other orchard fruit n.e.c.,310,Ipswich,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,113088.55,^,104579.25,^,Fruit and nuts,All other orchard fruit n.e.c.,312,Mackay - Isaac - Whitsunday,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,8393.37,^,7761.82,^,Fruit and nuts,All other orchard fruit n.e.c.,313,Moreton Bay - North,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,7904210.95,^,7309462.19,^,Fruit and nuts,All other orchard fruit n.e.c.,315,Queensland - Outback,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,1454164.09,*,1344746.18,*,Fruit and nuts,All other orchard fruit n.e.c.,316,Sunshine Coast,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,230767.56,,213403.56,,Fruit and nuts,All other orchard fruit n.e.c.,317,Toowoomba,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,3363662.81,**,3110565.53,**,Fruit and nuts,All other orchard fruit n.e.c.,318,Townsville,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,2758768.09,*,2551185.84,*,Fruit and nuts,All other orchard fruit n.e.c.,319,Wide Bay,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,718305.65,**,692741.98,**,Fruit and nuts,All other orchard fruit n.e.c.,401,Adelaide - Central and Hills,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,92690.3,,89391.56,,Fruit and nuts,All other orchard fruit n.e.c.,407,South Australia - South East,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,115755.5,**,100908.31,**,Fruit and nuts,All other orchard fruit n.e.c.,501,Bunbury,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,14865.57,**,12958.87,**,Fruit and nuts,All other orchard fruit n.e.c.,506,Perth - South East,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,26748.43,^,23317.59,^,Fruit and nuts,All other orchard fruit n.e.c.,509,Western Australia - Wheat Belt,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,203590.75,*,177477.52,*,Fruit and nuts,All other orchard fruit n.e.c.,510,Western Australia - Outback (North),,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,173966.4,^,165257.82,^,Fruit and nuts,All other orchard fruit n.e.c.,701,Darwin,,,
4207858,Fruit and nuts - Orchard fruit - All other orchard fruit n.e.c.,144203.46,*,136984.78,*,Fruit and nuts,All other orchard fruit n.e.c.,702,Northern Territory - Outback,,,
