Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,5945225.05,^,5180953.9,^,Fruit and nuts,All other stone fruit n.e.c.,101,Capital Region,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,278253.92,**,242483.79,**,Fruit and nuts,All other stone fruit n.e.c.,102,Central Coast,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,472755.46,*,411981.75,*,Fruit and nuts,All other stone fruit n.e.c.,103,Central West,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,53844.7,**,46922.85,**,Fruit and nuts,All other stone fruit n.e.c.,104,Coffs Harbour - Grafton,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,22093.74,**,19253.54,**,Fruit and nuts,All other stone fruit n.e.c.,109,Murray,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,1215.97,,1059.65,,Fruit and nuts,All other stone fruit n.e.c.,110,New England and North West,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,5499908.03,^,4792883.32,^,Fruit and nuts,All other stone fruit n.e.c.,113,Riverina,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,171947.79,*,149843.54,*,Fruit and nuts,All other stone fruit n.e.c.,115,Sydney - Baulkham Hills and Hawkesbury,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,25907.93,*,22577.41,*,Fruit and nuts,All other stone fruit n.e.c.,123,Sydney - Outer South West,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,4503.99,*,3925,*,Fruit and nuts,All other stone fruit n.e.c.,124,Sydney - Outer West and Blue Mountains,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,66407.08,**,57562.42,**,Fruit and nuts,All other stone fruit n.e.c.,204,Hume,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,21782.36,**,18881.2,**,Fruit and nuts,All other stone fruit n.e.c.,205,Latrobe - Gippsland,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,94210.49,**,81662.73,**,Fruit and nuts,All other stone fruit n.e.c.,211,Melbourne - Outer East,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,16965.64,**,14706.01,**,Fruit and nuts,All other stone fruit n.e.c.,214,Mornington Peninsula,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,3090520.93,,2678898.89,,Fruit and nuts,All other stone fruit n.e.c.,215,North West,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,15479272.49,^,13417610.43,^,Fruit and nuts,All other stone fruit n.e.c.,216,Shepparton,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,3990861.17,,3630262.08,,Fruit and nuts,All other stone fruit n.e.c.,307,Darling Downs - Maranoa,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,151862.34,**,138140.63,**,Fruit and nuts,All other stone fruit n.e.c.,315,Queensland - Outback,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,14334.27,,13039.08,,Fruit and nuts,All other stone fruit n.e.c.,319,Wide Bay,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,190267.05,**,169050.79,**,Fruit and nuts,All other stone fruit n.e.c.,401,Adelaide - Central and Hills,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,66785.44,^,59338.34,^,Fruit and nuts,All other stone fruit n.e.c.,403,Adelaide - South,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,611853.82,^,543627.33,^,Fruit and nuts,All other stone fruit n.e.c.,407,South Australia - South East,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,6507885.12,*,5822069.26,*,Fruit and nuts,All other stone fruit n.e.c.,501,Bunbury,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,3040940.75,*,2720479.44,*,Fruit and nuts,All other stone fruit n.e.c.,506,Perth - South East,,,
4207358,Fruit and nuts - Stone fruit - All other stone fruit n.e.c.,100853.12,^,90224.99,^,Fruit and nuts,All other stone fruit n.e.c.,509,Western Australia - Wheat Belt,,,
