Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
4800558,Fruit and nuts - Grapes - All other uses,78134916.92,*,71052292.09,*,Fruit and nuts,All other uses,109,Murray,,,
4800558,Fruit and nuts - Grapes - All other uses,2106272.29,*,1915346.94,*,Fruit and nuts,All other uses,110,New England and North West,,,
4800558,Fruit and nuts - Grapes - All other uses,5446667.77,**,4952948.63,**,Fruit and nuts,All other uses,113,Riverina,,,
4800558,Fruit and nuts - Grapes - All other uses,4990185.28,**,4818747.69,**,Fruit and nuts,All other uses,211,Melbourne - Outer East,,,
4800558,Fruit and nuts - Grapes - All other uses,360788382.8,^,348393513.9,^,Fruit and nuts,All other uses,215,North West,,,
4800558,Fruit and nuts - Grapes - All other uses,272583.65,*,263219.05,*,Fruit and nuts,All other uses,216,Shepparton,,,
4800558,Fruit and nuts - Grapes - All other uses,8960597.21,^,7999126.09,^,Fruit and nuts,All other uses,307,Darling Downs - Maranoa,,,
4800558,Fruit and nuts - Grapes - All other uses,16900427.81,,15087013.72,,Fruit and nuts,All other uses,308,Central Queensland,,,
4800558,Fruit and nuts - Grapes - All other uses,831305.92,,742106.88,,Fruit and nuts,All other uses,315,Queensland - Outback,,,
4800558,Fruit and nuts - Grapes - All other uses,797473.03,^,711904.26,^,Fruit and nuts,All other uses,318,Townsville,,,
4800558,Fruit and nuts - Grapes - All other uses,4955364.52,,4423654.44,,Fruit and nuts,All other uses,319,Wide Bay,,,
4800558,Fruit and nuts - Grapes - All other uses,605007.81,**,591138.59,**,Fruit and nuts,All other uses,407,South Australia - South East,,,
4800558,Fruit and nuts - Grapes - All other uses,442171.87,*,398917.97,*,Fruit and nuts,All other uses,501,Bunbury,,,
4800558,Fruit and nuts - Grapes - All other uses,260687.96,,235187.07,,Fruit and nuts,All other uses,502,Mandurah,,,
4800558,Fruit and nuts - Grapes - All other uses,3639364.89,*,3283356.84,*,Fruit and nuts,All other uses,504,Perth - North East,,,
4800558,Fruit and nuts - Grapes - All other uses,399740.57,^,360637.35,^,Fruit and nuts,All other uses,509,Western Australia - Wheat Belt,,,
4800558,Fruit and nuts - Grapes - All other uses,9344579.96,^,8430479.33,^,Fruit and nuts,All other uses,511,Western Australia - Outback (South),,,
4800558,Fruit and nuts - Grapes - All other uses,5328463.89,,4927621.62,,Fruit and nuts,All other uses,702,Northern Territory - Outback,,,
