Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
4204158,Fruit and nuts - Orchard fruit - Avocados,1606521.54,*,1369196.31,*,102,Central Coast
4204158,Fruit and nuts - Orchard fruit - Avocados,629798.04,**,536760.4,**,104,Coffs Harbour - Grafton
4204158,Fruit and nuts - Orchard fruit - Avocados,18913830.81,*,16119763.5,*,108,Mid North Coast
4204158,Fruit and nuts - Orchard fruit - Avocados,2148661.57,^,1831248.08,^,109,Murray
4204158,Fruit and nuts - Orchard fruit - Avocados,5245381.17,^,4470501.23,^,110,New England and North West
4204158,Fruit and nuts - Orchard fruit - Avocados,8935056.77,*,7615115.27,*,112,Richmond - Tweed
4204158,Fruit and nuts - Orchard fruit - Avocados,62.06,**,52.89,**,124,Sydney - Outer West and Blue Mountains
4204158,Fruit and nuts - Orchard fruit - Avocados,20675.92,,18005.44,,204,Hume
4204158,Fruit and nuts - Orchard fruit - Avocados,37546.04,**,32696.63,**,205,Latrobe - Gippsland
4204158,Fruit and nuts - Orchard fruit - Avocados,66.82,**,58.19,**,214,Mornington Peninsula
4204158,Fruit and nuts - Orchard fruit - Avocados,7209413.26,^,6278252.99,^,215,North West
4204158,Fruit and nuts - Orchard fruit - Avocados,64773.66,**,55166.84,**,304,Brisbane - West
4204158,Fruit and nuts - Orchard fruit - Avocados,45593764.66,^,38831587.72,^,306,Cairns
4204158,Fruit and nuts - Orchard fruit - Avocados,14278288.9,^,12160623.98,^,307,Darling Downs - Maranoa
4204158,Fruit and nuts - Orchard fruit - Avocados,92962.38,**,79174.79,**,308,Central Queensland
4204158,Fruit and nuts - Orchard fruit - Avocados,394131.73,*,335676.62,*,309,Gold Coast
4204158,Fruit and nuts - Orchard fruit - Avocados,2798857.69,**,2383748.93,**,310,Ipswich
4204158,Fruit and nuts - Orchard fruit - Avocados,2406902.78,*,2049926.28,*,313,Moreton Bay - North
4204158,Fruit and nuts - Orchard fruit - Avocados,11987520.48,*,10209607.75,*,315,Queensland - Outback
4204158,Fruit and nuts - Orchard fruit - Avocados,4266044.98,^,3633332.35,^,316,Sunshine Coast
4204158,Fruit and nuts - Orchard fruit - Avocados,2430338.1,,2069885.82,,317,Toowoomba
4204158,Fruit and nuts - Orchard fruit - Avocados,73902098.65,,62941409.82,,319,Wide Bay
4204158,Fruit and nuts - Orchard fruit - Avocados,7195.27,^,6185.22,^,401,Adelaide - Central and Hills
4204158,Fruit and nuts - Orchard fruit - Avocados,5996.06,^,5154.35,^,403,Adelaide - South
4204158,Fruit and nuts - Orchard fruit - Avocados,8039135.3,^,6910629.61,^,407,South Australia - South East
4204158,Fruit and nuts - Orchard fruit - Avocados,80528858.35,,69338355.96,,501,Bunbury
4204158,Fruit and nuts - Orchard fruit - Avocados,4540654.65,**,3909673.31,**,505,Perth - North West
4204158,Fruit and nuts - Orchard fruit - Avocados,680259.82,*,585729.12,*,506,Perth - South East
4204158,Fruit and nuts - Orchard fruit - Avocados,1685522.86,^,1451298.16,^,509,Western Australia - Wheat Belt
4204158,Fruit and nuts - Orchard fruit - Avocados,651293.68,**,560377.23,**,604,West and North West
