Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
3308058,Hay - Cereal cut for hay,4588142.53,**,4588142.53,**,Hay,Cereal cut for hay,101,Capital Region,,,
3308058,Hay - Cereal cut for hay,24716160.96,^,24716160.96,^,Hay,Cereal cut for hay,103,Central West,,,
3308058,Hay - Cereal cut for hay,201266.24,^,201266.24,^,Hay,Cereal cut for hay,104,Coffs Harbour - Grafton,,,
3308058,Hay - Cereal cut for hay,16059853.13,^,16059853.13,^,Hay,Cereal cut for hay,105,Far West and Orana,,,
3308058,Hay - Cereal cut for hay,312386.46,**,312386.46,**,Hay,Cereal cut for hay,106,Hunter Valley excluding Newcastle,,,
3308058,Hay - Cereal cut for hay,28527966.09,^,28527966.09,^,Hay,Cereal cut for hay,109,Murray,,,
3308058,Hay - Cereal cut for hay,14563879.74,^,14563879.74,^,Hay,Cereal cut for hay,110,New England and North West,,,
3308058,Hay - Cereal cut for hay,895427.04,**,895427.04,**,Hay,Cereal cut for hay,112,Richmond - Tweed,,,
3308058,Hay - Cereal cut for hay,16329298.8,^,16329298.8,^,Hay,Cereal cut for hay,113,Riverina,,,
3308058,Hay - Cereal cut for hay,281336.41,*,281336.41,*,Hay,Cereal cut for hay,114,Southern Highlands and Shoalhaven,,,
3308058,Hay - Cereal cut for hay,6929.67,**,6929.67,**,Hay,Cereal cut for hay,115,Sydney - Baulkham Hills and Hawkesbury,,,
3308058,Hay - Cereal cut for hay,38373.35,**,38373.35,**,Hay,Cereal cut for hay,123,Sydney - Outer South West,,,
3308058,Hay - Cereal cut for hay,11015.38,**,11015.38,**,Hay,Cereal cut for hay,124,Sydney - Outer West and Blue Mountains,,,
3308058,Hay - Cereal cut for hay,20183242.36,^,20183242.36,^,Hay,Cereal cut for hay,201,Ballarat,,,
3308058,Hay - Cereal cut for hay,60998130.55,^,60998130.55,^,Hay,Cereal cut for hay,202,Bendigo,,,
3308058,Hay - Cereal cut for hay,3491902.95,*,3491902.95,*,Hay,Cereal cut for hay,203,Geelong,,,
3308058,Hay - Cereal cut for hay,8509543.56,*,8509543.56,*,Hay,Cereal cut for hay,204,Hume,,,
3308058,Hay - Cereal cut for hay,3220416.46,*,3220416.46,*,Hay,Cereal cut for hay,205,Latrobe - Gippsland,,,
3308058,Hay - Cereal cut for hay,1733070.98,**,1733070.98,**,Hay,Cereal cut for hay,213,Melbourne - West,,,
3308058,Hay - Cereal cut for hay,90131683.16,^,90131683.16,^,Hay,Cereal cut for hay,215,North West,,,
3308058,Hay - Cereal cut for hay,71326689.76,^,71326689.76,^,Hay,Cereal cut for hay,216,Shepparton,,,
