Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,SA4,SA4 name
3307859,Hay - Total,20062058.08,^,20062058.08,^,101,Capital Region
3307859,Hay - Total,1509.93,**,1509.93,**,102,Central Coast
3307859,Hay - Total,63832028.05,^,63832028.05,^,103,Central West
3307859,Hay - Total,2536133.42,**,2536133.42,**,104,Coffs Harbour - Grafton
3307859,Hay - Total,27827120.86,^,27827120.86,^,105,Far West and Orana
3307859,Hay - Total,11772306.84,^,11772306.84,^,106,Hunter Valley excluding Newcastle
3307859,Hay - Total,4483550.87,**,4483550.87,**,108,Mid North Coast
3307859,Hay - Total,77852333.66,^,77852333.66,^,109,Murray
3307859,Hay - Total,32627501.96,^,32627501.96,^,110,New England and North West
3307859,Hay - Total,2087716.94,**,2087716.94,**,112,Richmond - Tweed
3307859,Hay - Total,53762242.42,^,53762242.42,^,113,Riverina
3307859,Hay - Total,1404161.71,*,1404161.71,*,114,Southern Highlands and Shoalhaven
3307859,Hay - Total,95010.84,**,95010.84,**,115,Sydney - Baulkham Hills and Hawkesbury
3307859,Hay - Total,5143.89,**,5143.89,**,121,Sydney - North Sydney and Hornsby
3307859,Hay - Total,45083.33,,45083.33,,122,Sydney - Northern Beaches
3307859,Hay - Total,103902.42,*,103902.42,*,123,Sydney - Outer South West
3307859,Hay - Total,23735.58,**,23735.58,**,124,Sydney - Outer West and Blue Mountains
3307859,Hay - Total,3878474.33,**,3878474.33,**,127,Sydney - South West
3307859,Hay - Total,43648222.73,^,43648222.73,^,201,Ballarat
3307859,Hay - Total,89063580.8,^,89063580.8,^,202,Bendigo
3307859,Hay - Total,11669494.27,^,11669494.27,^,203,Geelong
3307859,Hay - Total,26760063.34,^,26760063.34,^,204,Hume
3307859,Hay - Total,65730429.77,^,65730429.77,^,205,Latrobe - Gippsland
3307859,Hay - Total,1509710.85,**,1509710.85,**,209,Melbourne - North East
3307859,Hay - Total,834618.72,*,834618.72,*,210,Melbourne - North West
3307859,Hay - Total,1595801.61,**,1595801.61,**,211,Melbourne - Outer East
3307859,Hay - Total,7211902.29,*,7211902.29,*,212,Melbourne - South East
3307859,Hay - Total,2303591.97,**,2303591.97,**,213,Melbourne - West
3307859,Hay - Total,1537598.76,**,1537598.76,**,214,Mornington Peninsula
3307859,Hay - Total,165343207.5,^,165343207.5,^,215,North West
3307859,Hay - Total,137576972.5,^,137576972.5,^,216,Shepparton
3307859,Hay - Total,104242588,,104242588,,217,Warrnambool and South West
3307859,Hay - Total,41308.11,,41308.11,,301,Brisbane - East
3307859,Hay - Total,10206819.5,**,10206819.5,**,306,Cairns
3307859,Hay - Total,23355998.07,^,23355998.07,^,307,Darling Downs - Maranoa
3307859,Hay - Total,16409585.46,^,16409585.46,^,308,Central Queensland
3307859,Hay - Total,4536559.81,**,4536559.81,**,309,Gold Coast
3307859,Hay - Total,12503443.11,*,12503443.11,*,310,Ipswich
3307859,Hay - Total,3214836.75,*,3214836.75,*,311,Logan - Beaudesert
3307859,Hay - Total,1394700.62,^,1394700.62,^,312,Mackay - Isaac - Whitsunday
3307859,Hay - Total,836351.37,**,836351.37,**,313,Moreton Bay - North
3307859,Hay - Total,6940390.3,*,6940390.3,*,315,Queensland - Outback
3307859,Hay - Total,4358.17,**,4358.17,**,316,Sunshine Coast
3307859,Hay - Total,4004515.32,**,4004515.32,**,317,Toowoomba
3307859,Hay - Total,1395641.86,**,1395641.86,**,318,Townsville
3307859,Hay - Total,11209499.34,^,11209499.34,^,319,Wide Bay
3307859,Hay - Total,3187575.2,*,3187575.2,*,401,Adelaide - Central and Hills
3307859,Hay - Total,1653767.37,*,1653767.37,*,402,Adelaide - North
3307859,Hay - Total,445106.29,**,445106.29,**,403,Adelaide - South
3307859,Hay - Total,178248492.4,,178248492.4,,405,Barossa - Yorke - Mid North
3307859,Hay - Total,10603914.64,^,10603914.64,^,406,South Australia - Outback
3307859,Hay - Total,136791498.1,,136791498.1,,407,South Australia - South East
3307859,Hay - Total,30642770.69,^,30642770.69,^,501,Bunbury
3307859,Hay - Total,1856744.56,*,1856744.56,*,502,Mandurah
3307859,Hay - Total,75404.81,,75404.81,,504,Perth - North East
3307859,Hay - Total,1882790.84,**,1882790.84,**,506,Perth - South East
3307859,Hay - Total,251342687.3,^,251342687.3,^,509,Western Australia - Wheat Belt
3307859,Hay - Total,5328408.68,^,5328408.68,^,510,Western Australia - Outback (North)
3307859,Hay - Total,23197340.08,^,23197340.08,^,511,Western Australia - Outback (South)
3307859,Hay - Total,639438.56,*,639438.56,*,601,Hobart
3307859,Hay - Total,31511589.85,,31511589.85,,602,Launceston and North East
3307859,Hay - Total,4958713.46,,4958713.46,,603,South East
3307859,Hay - Total,21649556.05,^,21649556.05,^,604,West and North West
3307859,Hay - Total,568190.78,*,568190.78,*,701,Darwin
3307859,Hay - Total,11569396.71,,11569396.71,,702,Northern Territory - Outback
3307859,Hay - Total,27050,,27050,,801,Australian Capital Territory
