Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
9200348,Livestock products - Eggs,24360561.32,^,21315655.38,^,Livestock products,Eggs,101,Capital Region,,,
9200348,Livestock products - Eggs,789211.42,^,690565.31,^,Livestock products,Eggs,102,Central Coast,,,
9200348,Livestock products - Eggs,68055863.38,^,59549339.24,^,Livestock products,Eggs,103,Central West,,,
9200348,Livestock products - Eggs,4065.27,**,3557.14,**,Livestock products,Eggs,104,Coffs Harbour - Grafton,,,
9200348,Livestock products - Eggs,13926.36,**,12185.66,**,Livestock products,Eggs,105,Far West and Orana,,,
9200348,Livestock products - Eggs,19941391.32,,17448851.84,,Livestock products,Eggs,106,Hunter Valley excluding Newcastle,,,
9200348,Livestock products - Eggs,26232016.26,*,22953191.07,*,Livestock products,Eggs,108,Mid North Coast,,,
9200348,Livestock products - Eggs,5782125.16,^,5059398.49,^,Livestock products,Eggs,109,Murray,,,
9200348,Livestock products - Eggs,16323052.27,,14282780.77,,Livestock products,Eggs,110,New England and North West,,,
9200348,Livestock products - Eggs,3904791.74,,3416719.09,,Livestock products,Eggs,111,Newcastle and Lake Macquarie,,,
9200348,Livestock products - Eggs,628904.65,*,550295.81,*,Livestock products,Eggs,112,Richmond - Tweed,,,
9200348,Livestock products - Eggs,823187.61,**,720294.71,**,Livestock products,Eggs,113,Riverina,,,
9200348,Livestock products - Eggs,8928993.36,**,7812929.39,**,Livestock products,Eggs,114,Southern Highlands and Shoalhaven,,,
9200348,Livestock products - Eggs,13333044.56,*,11666503.88,*,Livestock products,Eggs,115,Sydney - Baulkham Hills and Hawkesbury,,,
9200348,Livestock products - Eggs,10984070.97,**,9611136.14,**,Livestock products,Eggs,116,Sydney - Blacktown,,,
9200348,Livestock products - Eggs,3797530.86,,3322865.11,,Livestock products,Eggs,123,Sydney - Outer South West,,,
9200348,Livestock products - Eggs,34955675.92,,30586452.08,,Livestock products,Eggs,124,Sydney - Outer West and Blue Mountains,,,
9200348,Livestock products - Eggs,16656418.03,*,14574478.07,*,Livestock products,Eggs,127,Sydney - South West,,,
