Commodity code,Commodity description,Gross value ($),Gross value - Relative Standard Errors,Local value ($),Local value - Relative Standard Errors,Commodity,Commodity subcategory,SA4,SA4 name,Local value($),Local value($) - Relative Standard Errors,Gross value ($) - Relative Standard Errors
9200258,Livestock products - Milk,75164730.69,^,75164730.69,^,Livestock products,Milk,101,Capital Region,,,
9200258,Livestock products - Milk,41604891.05,,41604891.05,,Livestock products,Milk,103,Central West,,,
9200258,Livestock products - Milk,9786010.84,**,9786010.84,**,Livestock products,Milk,104,Coffs Harbour - Grafton,,,
9200258,Livestock products - Milk,18759770.45,*,18759770.45,*,Livestock products,Milk,105,Far West and Orana,,,
9200258,Livestock products - Milk,43008658.65,^,43008658.65,^,Livestock products,Milk,106,Hunter Valley excluding Newcastle,,,
9200258,Livestock products - Milk,17789851.64,*,17789851.64,*,Livestock products,Milk,107,Illawarra,,,
9200258,Livestock products - Milk,92858253.8,^,92858253.8,^,Livestock products,Milk,108,Mid North Coast,,,
9200258,Livestock products - Milk,50852346.55,*,50852346.55,*,Livestock products,Milk,109,Murray,,,
9200258,Livestock products - Milk,19126849.73,*,19126849.73,*,Livestock products,Milk,110,New England and North West,,,
9200258,Livestock products - Milk,66543053.4,**,66543053.4,**,Livestock products,Milk,112,Richmond - Tweed,,,
9200258,Livestock products - Milk,25888264.78,*,25888264.78,*,Livestock products,Milk,113,Riverina,,,
9200258,Livestock products - Milk,71918311.19,^,71918311.19,^,Livestock products,Milk,114,Southern Highlands and Shoalhaven,,,
9200258,Livestock products - Milk,395949.68,**,395949.68,**,Livestock products,Milk,116,Sydney - Blacktown,,,
9200258,Livestock products - Milk,7253887.43,*,7253887.43,*,Livestock products,Milk,123,Sydney - Outer South West,,,
9200258,Livestock products - Milk,7841604.55,,7841604.55,,Livestock products,Milk,127,Sydney - South West,,,
9200258,Livestock products - Milk,16190436.81,**,16190436.81,**,Livestock products,Milk,201,Ballarat,,,
9200258,Livestock products - Milk,50669608.04,**,50669608.04,**,Livestock products,Milk,202,Bendigo,,,
9200258,Livestock products - Milk,15513251.7,**,15513251.7,**,Livestock products,Milk,203,Geelong,,,
9200258,Livestock products - Milk,72925266.69,^,72925266.69,^,Livestock products,Milk,204,Hume,,,
9200258,Livestock products - Milk,592386205,,592386205,,Livestock products,Milk,205,Latrobe - Gippsland,,,
9200258,Livestock products - Milk,78830763.37,*,78830763.37,*,Livestock products,Milk,212,Melbourne - South East,,,
9200258,Livestock products - Milk,4834298.47,**,4834298.47,**,Livestock products,Milk,213,Melbourne - West,,,
9200258,Livestock products - Milk,93230781.51,*,93230781.51,*,Livestock products,Milk,215,North West,,,
9200258,Livestock products - Milk,463684372.8,^,463684372.8,^,Livestock products,Milk,216,Shepparton,,,
9200258,Livestock products - Milk,807927701.5,,807927701.5,,Livestock products,Milk,217,Warrnambool and South West,,,
9200258,Livestock products - Milk,34101721.1,^,34101721.1,^,Livestock products,Milk,306,Cairns,,,
9200258,Livestock products - Milk,63190129.24,^,63190129.24,^,Livestock products,Milk,307,Darling Downs - Maranoa,,,
9200258,Livestock products - Milk,15035824.1,*,15035824.1,*,Livestock products,Milk,308,Central Queensland,,,
9200258,Livestock products - Milk,1636640.69,**,1636640.69,**,Livestock products,Milk,309,Gold Coast,,,
9200258,Livestock products - Milk,21788359.76,*,21788359.76,*,Livestock products,Milk,310,Ipswich,,,
9200258,Livestock products - Milk,20993747.15,*,20993747.15,*,Livestock products,Milk,311,Logan - Beaudesert,,,
9200258,Livestock products - Milk,2285611.73,^,2285611.73,^,Livestock products,Milk,312,Mackay - Isaac - Whitsunday,,,
9200258,Livestock products - Milk,9511064.09,**,9511064.09,**,Livestock products,Milk,313,Moreton Bay - North,,,
9200258,Livestock products - Milk,3948742.9,**,3948742.9,**,Livestock products,Milk,314,Moreton Bay - South,,,
9200258,Livestock products - Milk,79894.75,*,79894.75,*,Livestock products,Milk,315,Queensland - Outback,,,
9200258,Livestock products - Milk,14811510.01,*,14811510.01,*,Livestock products,Milk,316,Sunshine Coast,,,
9200258,Livestock products - Milk,11908275.47,**,11908275.47,**,Livestock products,Milk,317,Toowoomba,,,
9200258,Livestock products - Milk,710053.66,**,710053.66,**,Livestock products,Milk,318,Townsville,,,
9200258,Livestock products - Milk,50924475.99,*,50924475.99,*,Livestock products,Milk,319,Wide Bay,,,
9200258,Livestock products - Milk,4245789.71,*,4245789.71,*,Livestock products,Milk,401,Adelaide - Central and Hills,,,
9200258,Livestock products - Milk,8337382.52,^,8337382.52,^,Livestock products,Milk,405,Barossa - Yorke - Mid North,,,
9200258,Livestock products - Milk,168188686.2,,168188686.2,,Livestock products,Milk,407,South Australia - South East,,,
9200258,Livestock products - Milk,168541903.3,^,168541903.3,^,Livestock products,Milk,501,Bunbury,,,
9200258,Livestock products - Milk,2292494.53,*,2292494.53,*,Livestock products,Milk,502,Mandurah,,,
9200258,Livestock products - Milk,3849550.91,**,3849550.91,**,Livestock products,Milk,506,Perth - South East,,,
9200258,Livestock products - Milk,13178030.05,,13178030.05,,Livestock products,Milk,509,Western Australia - Wheat Belt,,,
9200258,Livestock products - Milk,4188595.86,,4188595.86,,Livestock products,Milk,511,Western Australia - Outback (South),,,
9200258,Livestock products - Milk,1850544.32,*,1850544.32,*,Livestock products,Milk,601,Hobart,,,
9200258,Livestock products - Milk,123842969,,123842969,,Livestock products,Milk,602,Launceston and North East,,,
